key,0
#,Text
int32,str
0,""
1,"OK"
2,"Cancel"
3,"Yes."
4,"No."
5,"Quit"
6,"<Switch(IntegerParameter(1))><Case(1)><UIForeground>F20225</UIForeground><UIGlow>F20226</UIGlow></Case><Case(2)><UIForeground>F20227</UIForeground><UIGlow>F20228</UIGlow></Case><Case(3)><UIForeground>F20229</UIForeground><UIGlow>F2022A</UIGlow></Case><Case(4)><UIForeground>F2022B</UIForeground><UIGlow>F2022C</UIGlow></Case><Case(5)><UIForeground>F2022D</UIForeground><UIGlow>F2022E</UIGlow></Case><Case(6)><UIForeground>F2022F</UIForeground><UIGlow>F20230</UIGlow></Case><Case(7)><UIForeground>F20231</UIForeground><UIGlow>F20232</UIGlow></Case><Case(8)><UIForeground>F20233</UIForeground><UIGlow>F20234</UIGlow></Case></Switch>"
7,"None"
8,"..."
9," "
10,"Japanese"
11,"English"
12,"German"
13,"French"
14,"Simplified Chinese"
15,"Online ID: <Highlight>StringParameter(1)</Highlight>"
16,"..."
17,"<Format(IntegerParameter(1),FF022C)/>"
18,"<Format(IntegerParameter(1),FF022C)/>"
19,"<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>"
20,"<Format(IntegerParameter(1),FF022C)/>"
21,"<Time(IntegerParameter(1))/><If(Equal(PlayerParameter(77),3))><Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(222)</Value><Else/><Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(222)</Value></If> <Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
22,"<Time(IntegerParameter(1))/><If(Equal(PlayerParameter(77),3))><Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(221)</Value>/<TwoDigitValue>TopLevelParameter(222)</TwoDigitValue><Else/><Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(219)</Value>/<TwoDigitValue>TopLevelParameter(222)</TwoDigitValue></If> <Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
23,"<Time(IntegerParameter(1))/><If(Equal(PlayerParameter(77),3))><Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(222)</Value><Else/><Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(222)</Value></If>"
24,"<Time(IntegerParameter(1))/><If(Equal(PlayerParameter(77),3))><Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(221)</Value>/<TwoDigitValue>TopLevelParameter(222)</TwoDigitValue><Else/><Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(219)</Value>/<TwoDigitValue>TopLevelParameter(222)</TwoDigitValue></If>"
25,"<Time(IntegerParameter(1))/><If(Equal(PlayerParameter(77),3))><Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(221)</Value><Else/><Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(219)</Value></If>"
26,"<Time(IntegerParameter(1))/><If(Equal(PlayerParameter(77),3))><Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(222)</Value><Else/><Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(222)</Value></If>"
27,"<Time(IntegerParameter(1))/><If(Equal(PlayerParameter(77),3))><Value>TopLevelParameter(219)</Value>/<Value>TopLevelParameter(221)</Value><Else/><Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(219)</Value></If>"
28,"<Time(IntegerParameter(1))/><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>1</Case><Case(14)>2</Case><Case(15)>3</Case><Case(16)>4</Case><Case(17)>5</Case><Case(18)>6</Case><Case(19)>7</Case><Case(20)>8</Case><Case(21)>9</Case><Case(22)>10</Case><Case(23)>11</Case></Switch><Else/>12</If>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue> <If(GreaterThanOrEqualTo(TopLevelParameter(218),12))>p.m.<Else/>a.m.</If>"
29,"<Time(IntegerParameter(1))/><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>1</Case><Case(14)>2</Case><Case(15)>3</Case><Case(16)>4</Case><Case(17)>5</Case><Case(18)>6</Case><Case(19)>7</Case><Case(20)>8</Case><Case(21)>9</Case><Case(22)>10</Case><Case(23)>11</Case></Switch><Else/>12</If>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue> <If(GreaterThanOrEqualTo(TopLevelParameter(218),12))>p.m.<Else/>a.m.</If>"
30,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>:<TwoDigitValue>TopLevelParameter(216)</TwoDigitValue>"
31,"<Time(IntegerParameter(1))/><If(LessThan(TopLevelParameter(218), 12))><Value>TopLevelParameter(218)</Value><Else/><Value>TopLevelParameter(218)</Value></If>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>:<TwoDigitValue>TopLevelParameter(216)</TwoDigitValue>"
32,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(217)</Value>:<TwoDigitValue>TopLevelParameter(216)</TwoDigitValue>:<TwoDigitValue>TopLevelParameter(215)</TwoDigitValue>"
33,"<Value>IntegerParameter(1)</Value>:<TwoDigitValue>IntegerParameter(2)</TwoDigitValue>"
34,"<If(PlayerParameter(11))><Switch(PlayerParameter(11))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>1</Case><Case(14)>2</Case><Case(15)>3</Case><Case(16)>4</Case><Case(17)>5</Case><Case(18)>6</Case><Case(19)>7</Case><Case(20)>8</Case><Case(21)>9</Case><Case(22)>10</Case><Case(23)>11</Case></Switch><Else/>12</If>:<TwoDigitValue>PlayerParameter(12)</TwoDigitValue> <If(GreaterThanOrEqualTo(PlayerParameter(11),12))>p.m.<Else/>a.m.</If>"
35,"Lv. <Value>IntegerParameter(1)</Value>"
36,"Lv. <If(GreaterThan(IntegerParameter(1),0))>+<Value>IntegerParameter(1)</Value><Else/><Value>IntegerParameter(1)</Value></If>"
37,"《<Highlight>StringParameter(1)</Highlight>》"
38,"<Highlight>StringParameter(1)</Highlight>.<Highlight>StringParameter(2)</Highlight>"
39,"A few minutes ago"
40,"<Value>IntegerParameter(1)</Value>m"
41,"<Value>IntegerParameter(1)</Value>h"
42,"<Value>IntegerParameter(1)</Value>d"
43,"<Value>IntegerParameter(1)</Value>"
44,"<Value>IntegerParameter(1)</Value>m"
45,"<Value>IntegerParameter(1)</Value>h"
46,"––/––/––––"
47,"––/––/––"
48,"––:––"
49,"<Value>IntegerParameter(1)</Value>s"
50,"Send Tell"
51,"View Search Info"
52,"Edit Search Info"
53,"Trade"
54,"Invite to Party"
55,"Promote"
56,"Kick from Party"
57,"Attack"
58,"Examine"
59,"Add to Blacklist"
60,"Remove from Blacklist"
61,"Send Friend Request"
62,"Cancel Friend Request"
63,"Accept Friend Request"
64,"Decline Friend Request"
65,"Remove from Friend List"
66,"View"
67,"Reply"
68,"Delete"
69,"Remove Item"
70,"Follow"
71,"Hide Linkshell Log"
72,"Show Linkshell Log"
73,"Activate Linkshell"
74,"Disband Linkshell"
75,"Accept Linkshell Invite"
76,"Decline Linkshell Invite"
77,"Quit Linkshell"
78,"Promote to Linkshell Master"
79,"Promote to Linkshell Leader"
80,"Demote from Linkshell Leader"
81,"Kick from Linkshell"
82,"Deactivate Linkshell"
83,"Invite to Linkshell"
84,"Step Down as Linkshell Leader"
85,"Remove"
86,"Split Tab"
87,"Delete Tab"
88,"Hand Over"
89,"Unequip"
90,"Use"
91,"Discard"
92,"Split"
93,"Sell"
94,"Attach"
95,"Trade"
96,"Equip"
97,"Entrust to Retainer"
98,"Retrieve from Retainer"
99,"Put Up for Sale"
100,"Copy"
101,"Paste"
102,"Cut"
103,"Execute"
104,"Delete"
105,"Undo"
106,"Redo"
107,"Repair"
108,"Leave party and abandon your current duty?"
109,"Abandon your current duty?"
110,"<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Discard <If(Equal(IntegerParameter(2),1))><SheetEn(Item,2,IntegerParameter(1),1,1)/><Else/><Value>IntegerParameter(2)</Value> <SheetEn(Item,3,IntegerParameter(1),IntegerParameter(2),1)/></If>?<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
111,"Return to <SheetEn(PlaceName,2,<Sheet(Aetheryte,IntegerParameter(1),8)/>,2,1)/>?"
112,"Accept Raise?"
113,"Accept Rebirth from <Highlight>StringParameter(1)</Highlight>?"
114,"Equip items in gear set <Value>IntegerParameter(2)</Value> (<Highlight>StringParameter(1)</Highlight>)?"
115,"Log out and return to the title screen?"
116,"Log out and exit the game?"
117,"Return to your home point?"
118,"Return to the starting point for
“<Highlight>ObjectParameter(56)</Highlight>”?"
