key,0,1,2
#,Icon,SortKey,Name
int32,Image,byte,str
0,61762,0,"None"
1,61801,20,"Dungeons"
2,61804,21,"Trials"
3,61802,22,"Raids"
4,61832,23,"Ultimate Raids"
5,61824,30,"Deep Dungeons"
6,61837,31,"Adventuring Forays"
7,61806,40,"PvP"
8,61836,51,"Blue Mage"
9,61808,52,"Treasure Hunts"
10,61819,53,"The Hunt"
11,61816,100,"Crafting"
12,61755,101,"Botany/Mining"
13,61756,102,"Fishing"
14,61757,10,"Main Scenario"
15,61820,54,"Gold Saucer"
16,61807,50,"Duty Roulette"
17,61752,150,"Leveling"
18,61751,151,"Role-playing"
19,61754,153,"Hardcore"
20,61753,152,"Casual"
21,61823,154,"New Adventurer"
22,61760,155,"Mentor"
23,61758,200,"Making Gil"
24,61764,204,"Group Pose"
25,61759,203,"Glamour"
26,61763,202,"Performance Mode"
27,61765,205,"Player Chat"
28,61761,201,"Housing"
29,61766,206,"Community Events"
30,0,0,""
