key,0,1,2,3,4
#,,,,,
int32,uint16,uint16,uint16,uint16,uint16
0,0,0,0,0,0
1,1,1,1,0,0
2,2,2,1,0,0
3,3,3,1,0,0
4,4,4,1,0,0
5,5,5,2,0,0
6,6,6,3,2,2
7,7,7,3,2,2
8,8,8,4,2,2
9,9,9,5,2,2
10,10,10,5,5,5
11,11,11,6,7,5
12,12,12,7,7,6
13,13,13,7,7,6
14,14,14,7,7,6
15,15,15,10,9,9
16,16,16,11,10,9
17,17,17,11,12,11
18,18,18,15,12,11
19,19,19,16,14,12
20,20,20,18,18,17
21,21,21,18,18,17
22,22,22,18,19,17
23,23,23,19,19,17
24,24,24,20,19,17
25,25,25,21,22,20
26,26,26,23,22,20
27,27,27,24,24,22
28,28,28,26,24,22
29,29,29,26,25,23
30,30,30,27,28,26
31,31,31,28,28,26
32,32,32,28,28,27
33,33,33,29,29,27
34,34,34,30,29,27
35,35,35,31,32,29
36,36,36,31,32,29
37,37,37,31,33,31
38,38,38,33,33,31
39,39,39,33,33,31
40,40,40,33,35,32
41,41,41,35,35,33
42,42,42,35,35,33
43,43,43,36,37,33
44,44,44,36,38,34
45,45,45,37,39,35
46,46,46,40,39,35
47,47,47,44,42,38
48,48,48,44,43,40
49,49,49,46,43,40
50,50,50,47,47,43
51,115,120,54,54,51
52,125,125,57,57,54
53,130,130,63,63,60
54,133,133,63,63,60
55,136,136,73,73,69
56,139,139,73,73,69
57,142,142,74,75,71
58,145,145,74,75,71
59,148,148,82,83,71
60,150,150,106,106,94
61,255,205,118,119,122
62,265,210,122,122,125
63,270,215,199,199,197
64,273,220,199,199,197
65,276,225,210,210,208
66,279,230,212,212,208
67,282,245,233,233,229
68,285,260,252,252,245
69,288,275,252,252,245
70,290,290,290,290,280
71,381,345,330,330,317
72,395,350,330,330,317
73,400,355,330,330,317
74,403,370,353,353,337
75,406,380,353,353,337
76,409,390,378,378,362
77,412,400,395,395,377
78,415,410,395,395,377
79,418,420,395,395,377
80,430,430,430,430,409
81,517,495,480,480,455
82,520,500,480,480,455
83,525,510,480,480,455
84,530,520,503,503,475
85,535,527,503,503,475
86,540,534,525,525,497
87,545,540,537,537,507
88,550,547,537,537,507
89,555,554,537,537,507
90,560,560,560,560,528
91,650,645,610,610,574
92,653,650,610,610,574
93,656,655,610,610,574
94,660,660,633,633,594
95,665,665,633,633,594
96,670,670,655,655,616
97,675,675,667,667,626
98,680,680,667,667,626
99,685,685,667,667,626
100,690,690,690,690,647
