key,0,1,2,3,4,5,6
#,,,Image,,,,
int32,byte,byte,Image,byte,str,str,str
0,0,0,0,0,"","",""
1,0,0,150011,0,"","",""
2,0,0,150012,0,"","",""
3,0,0,0,0,"","",""
4,0,0,0,0,"","",""
5,1,1,150021,1,"Non-player characters (NPCs) offering quests can be recognized by the <72>F201F4</72><73>F201F5</73>exclamation marks<73>01</73><72>01</72> above their heads. Right-click the mark to bring up the quest window.","Non-player characters (NPCs) offering quests can be recognized by the <72>F201F4</72><73>F201F5</73>exclamation marks<73>01</73><72>01</72> above their heads. Right-click the mark to bring up the quest window.","Non-player characters (NPCs) offering quests can be recognized by the <72>F201F4</72><73>F201F5</73>exclamation marks<73>01</73><72>01</72> above their heads. Right-click the mark to bring up the quest window."
6,1,1,150022,1,"Non-player characters (NPCs) offering quests can be recognized by the <72>F201F4</72><73>F201F5</73>exclamation marks<73>01</73><72>01</72> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <72>F201F4</72><73>F201F5</73>confirm<73>01</73><72>01</72> button.","Non-player characters (NPCs) offering quests can be recognized by the <72>F201F4</72><73>F201F5</73>exclamation marks<73>01</73><72>01</72> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <72>F201F4</72><73>F201F5</73>confirm<73>01</73><72>01</72> button.","Non-player characters (NPCs) offering quests can be recognized by the <72>F201F4</72><73>F201F5</73>exclamation marks<73>01</73><72>01</72> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <72>F201F4</72><73>F201F5</73>confirm<73>01</73><72>01</72> button."
7,0,0,0,0,"","",""
8,0,0,0,0,"","",""
9,0,0,0,0,"","",""
10,1,1,150121,0,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Click on the <72>F201F4</72><73>F201F5</73>Accept<73>01</73><72>01</72> button in the lower left to add the quest to your list of current duties.","",""
11,1,1,150121,0,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Press the <72>F201F4</72><73>F201F5</73>Accept<73>01</73><72>01</72> button in the lower left to add the quest to your list of current duties.","",""
12,0,0,0,0,"","",""
13,0,0,0,0,"","",""
14,0,0,0,0,"","",""
15,1,1,150811,1,"Complete a quest by right-clicking the NPC with a <72>F201F4</72><73>F201F5</73>check mark<73>01</73><72>01</72> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a <72>F201F4</72><73>F201F5</73>check mark<73>01</73><72>01</72> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a <72>F201F4</72><73>F201F5</73>check mark<73>01</73><72>01</72> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points."
16,1,1,150812,1,"Complete a quest by speaking to the NPC with a <72>F201F4</72><73>F201F5</73>check mark<73>01</73><72>01</72> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a <72>F201F4</72><73>F201F5</73>check mark<73>01</73><72>01</72> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a <72>F201F4</72><73>F201F5</73>check mark<73>01</73><72>01</72> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points."
17,0,0,0,0,"","",""
18,0,0,0,0,"","",""
19,0,0,0,0,"","",""
20,1,0,150141,0,"The <72>F201F4</72><73>F201F5</73>main menu<73>01</73><72>01</72> grants quick and easy access to most of the game's main features. For example, selecting Character under <72>F201F4</72><73>F201F5</73>Character<73>01</73><72>01</72> opens a window containing your character's various attributes and currently equipped gear. Selecting Journal under <72>F201F4</72><73>F201F5</73>Duty<73>01</73><72>01</72> displays a list of current and completed quests and levequests.","",""
21,1,0,150142,0,"If you wish to customize the game's various settings, including <72>F201F4</72><73>F201F5</73>key binding<73>01</73><72>01</72>, <72>F201F4</72><73>F201F5</73>HUD layout<73>01</73><72>01</72>, and <72>F201F4</72><73>F201F5</73>system configuration<73>01</73><72>01</72>, they all can be accessed via <72>F201F4</72><73>F201F5</73>System<73>01</73><72>01</72>.

Select <72>F201F4</72><73>F201F5</73>Active Help<73>01</73><72>01</72> to redisplay these tutorial messages.","",""
22,1,0,150143,0,"Game progress is saved automatically, so there are no in-game save or load functions. However, to prevent data from being lost or corrupted, it is strongly recommended that you end each playing session by selecting <72>F201F4</72><73>F201F5</73>Log Out<73>01</73><72>01</72> or <72>F201F4</72><73>F201F5</73>Exit Game<73>01</73><72>01</72> from the System menu.","",""
23,0,0,0,0,"","",""
24,0,0,0,0,"","",""
25,1,0,150131,0,"The spell <72>F201F4</72><73>F201F5</73>Return<73>01</73><72>01</72> can be used to instantly travel back to the aetheryte set as your <72>F201F4</72><73>F201F5</73>home point<73>01</73><72>01</72>. Casting the spell does not require any <72>F201F4</72><73>F201F5</73>MP<73>01</73><72>01</72> and can be accessed by selecting Return under <72>F201F4</72><73>F201F5</73>Travel<73>01</73><72>01</72> from the <72>F201F4</72><73>F201F5</73>main menu<73>01</73><72>01</72>. The sole limitation of the spell is that it can only be cast once every <72>F201F4</72><73>F201F5</73>15 minutes<73>01</73><72>01</72> (Earth time).","",""
26,1,0,150132,0,"Only one home point may be set at any time. To make an aetheryte your new home point, right-click on the crystal to bring up the aetheryte menu.","",""
27,1,0,150131,0,"The spell <72>F201F4</72><73>F201F5</73>Return<73>01</73><72>01</72> can be used to instantly travel back to the aetheryte set as your <72>F201F4</72><73>F201F5</73>home point<73>01</73><72>01</72>. Casting the spell does not require any <72>F201F4</72><73>F201F5</73>MP<73>01</73><72>01</72> and can be accessed by selecting <72>F201F4</72><73>F201F5</73>Return<73>01</73><72>01</72> under <72>F201F4</72><73>F201F5</73>Travel<73>01</73><72>01</72> from the <72>F201F4</72><73>F201F5</73>main menu<73>01</73><72>01</72>. The sole limitation of the spell is that it can only be cast once every <72>F201F4</72><73>F201F5</73>15 minutes<73>01</73><72>01</72> (Earth time).","",""
28,1,0,150133,0,"Only one home point may be set at any time. To make an aetheryte your new home point, target and select the crystal to bring up the aetheryte menu.","",""
29,0,0,0,0,"","",""
30,1,1,150041,0,"Pressing <72>F201F4</72><73>F201F5</73>M<73>01</73><72>01</72> on your keyboard, selecting the minimap, or selecting <72>F201F4</72><73>F201F5</73>Map<73>01</73><72>01</72> under <72>F201F4</72><73>F201F5</73>Travel<73>01</73><72>01</72> from the <72>F201F4</72><73>F201F5</73>main menu<73>01</73><72>01</72> in the lower right-hand corner of your screen will bring up the area map. If a quest objective is located in that area, it will be indicated with a special icon.","",""
31,1,1,150042,0,"The location of quest objectives can also be confirmed by clicking on the objective in the <72>F201F4</72><73>F201F5</73>duty list<73>01</73><72>01</72>. ","",""
32,1,1,150041,0,"Selecting <72>F201F4</72><73>F201F5</73>Map<73>01</73><72>01</72> from under <72>F201F4</72><73>F201F5</73>Travel<73>01</73><72>01</72> in the <72>F201F4</72><73>F201F5</73>main menu<73>01</73><72>01</72> or pressing <CommandIcon(10)/> on the controller will bring up the area map. If a quest objective is located in that area, it will be indicated with a special icon.","",""
33,1,1,150042,0,"The location of quest objectives can also be confirmed by selecting the objective in the <72>F201F4</72><73>F201F5</73>duty list<73>01</73><72>01</72>. ","",""
34,0,0,0,0,"","",""
35,1,0,150181,0,"You can view, equip, and remove gear by either selecting Character under <72>F201F4</72><73>F201F5</73>Character<73>01</73><72>01</72> from the <72>F201F4</72><73>F201F5</73>main menu<73>01</73><72>01</72>, or by pressing <72>F201F4</72><73>F201F5</73>C<73>01</73><72>01</72> on your keyboard.","",""
36,1,0,150182,0,"To equip an item, first select the desired slot. This will open your <72>F201F4</72><73>F201F5</73>Armoury Chest<73>01</73><72>01</72>, from which you can select the item you wish to equip. Finally, from the subcommand menu, select <72>F201F4</72><73>F201F5</73>Equip<73>01</73><72>01</72> to put on the gear.","",""
37,1,0,150181,0,"You can view, equip, and remove gear by selecting Character under <72>F201F4</72><73>F201F5</73>Character<73>01</73><72>01</72> from the <72>F201F4</72><73>F201F5</73>main menu<73>01</73><72>01</72>.","",""
38,0,0,0,0,"","",""
39,0,0,0,0,"","",""
40,1,0,150221,0,"The <72>F201F4</72><73>F201F5</73>moogle delivery service<73>01</73><72>01</72> can be accessed by speaking with one of the many <72>F201F4</72><73>F201F5</73>delivery moogles<73>01</73><72>01</72> stationed throughout Eorzea, or by clicking on a <72>F201F4</72><73>F201F5</73>moogle letter box<73>01</73><72>01</72>. The service can be used to send messages, items, and gil to anyone on your <72>F201F4</72><73>F201F5</73>friend list<73>01</73><72>01</72>.","",""
41,1,0,150222,0,"Clicking the <72>F201F4</72><73>F201F5</73>New<73>01</73><72>01</72> button located in the upper right-hand corner of the moogle delivery service window will open the <72>F201F4</72><73>F201F5</73>Letter Editor<73>01</73><72>01</72>. In addition to composing your message, this interface can be used to specify a recipient, as well as attach <72>F201F4</72><73>F201F5</73>gil<73>01</73><72>01</72> and <72>F201F4</72><73>F201F5</73>items<73>01</73><72>01</72>.","",""
42,1,0,150222,0,"Pressing the <72>F201F4</72><73>F201F5</73>New<73>01</73><72>01</72> button located in the upper right-hand corner of the moogle delivery service window will open the <72>F201F4</72><73>F201F5</73>Letter Editor<73>01</73><72>01</72>. In addition to composing your message, this interface can be used to specify a recipient, as well as attach <72>F201F4</72><73>F201F5</73>gil<73>01</73><72>01</72> and <72>F201F4</72><73>F201F5</73>items<73>01</73><72>01</72>.","",""
43,0,0,0,0,"","",""
44,0,0,0,0,"","",""
45,1,0,150191,0,"Attuning with the shard has granted you access to this city–state's <72>F201F4</72><73>F201F5</73>Aethernet<73>01</73><72>01</72>. The Aethernet can be used for quick intra-city travel.","",""
46,0,0,0,0,"","",""
47,0,0,0,0,"","",""
48,0,0,0,0,"","",""
49,0,0,0,0,"","",""
50,1,0,150151,0,"By learning the spell <72>F201F4</72><73>F201F5</73>Teleport<73>01</73><72>01</72>, you are now able to travel instantly between aetherytes to which you are attuned. Access the teleportation menu by selecting Teleport under <72>F201F4</72><73>F201F5</73>Travel<73>01</73><72>01</72> from the <72>F201F4</72><73>F201F5</73>main menu<73>01</73><72>01</72>.","",""
51,1,0,150152,0,"Unlike other spells, Teleport does not require MP to cast, and instead uses a type of naturally regenerating spiritual energy. A small fee of gil, however, must be paid to the keepers of the aetheryte so that they can maintain the crystals and defend them from those who would see them destroyed. The fee varies depending on travel distance and remoteness of aetheryte location.","",""
52,1,0,150153,0,"Registering an aetheryte as a <72>F201F4</72><73>F201F5</73>favored destination<73>01</73><72>01</72> will reduce the amount of gil required to travel there. Up to three favored destinations can be registered at any one time.","",""
53,0,0,0,0,"","",""
54,0,0,0,0,"","",""
55,0,0,0,0,"","",""
56,0,0,0,0,"","",""
57,0,0,0,0,"","",""
58,0,0,0,0,"","",""
59,0,0,0,0,"","",""
60,1,1,150031,0,"Upon accepting a quest, the current objectives will appear under the quest title in the <72>F201F4</72><73>F201F5</73>duty list<73>01</73><72>01</72> on the right side of the screen. A maximum of five quests can be displayed at once.","",""
61,1,1,150032,0,"Clicking on the title will open the quest in your <72>F201F4</72><73>F201F5</73>journal<73>01</73><72>01</72>, allowing you to review objectives and rewards.","",""
62,1,1,150032,0,"Selecting the title will open the quest in your <72>F201F4</72><73>F201F5</73>journal<73>01</73><72>01</72>, allowing you to review objectives and rewards.","",""
63,0,0,0,0,"","",""
64,0,0,0,0,"","",""
65,1,1,150051,0,"Key items can be used on targets by first right-clicking on the target, then right-clicking the appropriate icon from the <72>F201F4</72><73>F201F5</73>Key Items<73>01</73><72>01</72> window and selecting <72>F201F4</72><73>F201F5</73>Use<73>01</73><72>01</72>.","",""
66,1,1,150051,0,"Key items can be used on targets by first selecting the target, then selecting the appropriate icon from the <72>F201F4</72><73>F201F5</73>Key Items<73>01</73><72>01</72> window and choosing <72>F201F4</72><73>F201F5</73>Use<73>01</73><72>01</72>.","",""
67,0,0,0,0,"","",""
68,0,0,0,0,"","",""
69,0,0,0,0,"","",""
70,1,1,150061,0,"On some quests, you will encounter objects with which you can interact simply by approaching, then right-clicking.","",""
71,1,1,150061,0,"On some quests, you will encounter objects with which you can interact simply by approaching, then selecting.","",""
72,0,0,0,0,"","",""
73,0,0,0,0,"","",""
74,0,0,0,0,"","",""
75,0,0,0,0,"","",""
76,0,0,0,0,"","",""
77,0,0,0,0,"","",""
78,0,0,0,0,"","",""
79,0,0,0,0,"","",""
80,1,1,150381,0,"When words are just not enough, emotes can be used to express your feelings towards a person or situation. First, highlight a target (if necessary), then select <72>F201F4</72><73>F201F5</73>Social<73>01</73><72>01</72> from the <72>F201F4</72><73>F201F5</73>main menu<73>01</73><72>01</72>, and then <72>F201F4</72><73>F201F5</73>Emotes<73>01</73><72>01</72>.","",""
81,1,1,150382,1,"Finally, select the desired emote from the list.

In this case, select <72>F201F4</72><73>F201F5</73>Kneel<73>01</73><72>01</72> after targeting Rhoswen to complete the quest objectives.","Finally, select the desired emote from the list.

In this case, select <72>F201F4</72><73>F201F5</73>Bow<73>01</73><72>01</72> after targeting Aunillie to complete the quest objectives.","Finally, select the desired emote from the list.

In this case, select <72>F201F4</72><73>F201F5</73>Welcome<73>01</73><72>01</72> after targeting Juliana to complete the quest objectives."
82,1,1,150383,0,"Emotes can be set to your <72>F201F4</72><73>F201F5</73>hotbars<73>01</73><72>01</72> by simply dragging them from the Emote interface.

※In addition to emotes, <72>F201F4</72><73>F201F5</73>items<73>01</73><72>01</72> and <72>F201F4</72><73>F201F5</73>user macros<73>01</73><72>01</72> can also be set to your hotbars.","",""
83,1,1,150382,1,"Finally, select the desired emote from the list.

In this case, select <72>F201F4</72><73>F201F5</73>Kneel<73>01</73><72>01</72> after targeting Rhoswen to complete the quest objectives.","Finally, select the desired emote from the list.

In this case, select <72>F201F4</72><73>F201F5</73>Bow<73>01</73><72>01</72> after targeting Aunillie to complete the quest objectives.","Finally, select the desired emote from the list.

In this case, select <72>F201F4</72><73>F201F5</73>Welcome<73>01</73><72>01</72> after targeting Juliana to complete the quest objectives."
84,0,0,0,0,"","",""
85,0,0,0,0,"","",""
86,0,0,0,0,"","",""
87,0,0,0,0,"","",""
88,0,0,0,0,"","",""
89,0,0,0,0,"","",""
