key,0,1,2,3,4
#,Name,Icon,Category,Order,ClassJob
int32,str,Image,byte,byte,ClassJob
0,"",0,0,0,0
1,"Primary Arms",60102,0,0,0
2,"Primary Tools",60113,0,0,0
3,"Primary Tools",60120,0,0,0
4,"Armor",60126,0,0,0
5,"Accessories",60135,0,0,0
6,"Medicines",60136,0,0,0
7,"Materials",60137,0,0,0
8,"Other",60159,0,0,0
9,"Pugilist's Arms",60101,1,5,2
10,"Gladiator's Arms",60102,1,0,1
11,"Marauder's Arms",60103,1,1,3
12,"Archer's Arms",60105,1,8,5
13,"Lancer's Arms",60104,1,4,4
14,"Thaumaturge's Arms",60108,1,11,7
15,"Conjurer's Arms",60107,1,14,6
16,"Arcanist's Arms",60109,1,12,26
17,"Shields",60110,2,0,0
18,"Dancer's Arms",60111,0,0,0
19,"Carpenter's Tools",60112,1,17,8
20,"Blacksmith's Tools",60113,1,18,9
21,"Armorer's Tools",60114,1,19,10
22,"Goldsmith's Tools",60115,1,20,11
23,"Leatherworker's Tools",60116,1,21,12
24,"Weaver's Tools",60117,1,22,13
25,"Alchemist's Tools",60118,1,23,14
26,"Culinarian's Tools",60119,1,24,15
27,"Miner's Tools",60120,1,25,16
28,"Botanist's Tools",60121,1,26,17
29,"Fisher's Tools",60122,1,27,18
30,"Fishing Tackle",60123,1,28,18
31,"Head",60124,2,1,0
32,"Undershirts",60125,0,0,0
33,"Body",60126,2,2,0
34,"Undergarments",60127,0,0,0
35,"Legs",60128,2,5,0
36,"Hands",60129,2,3,0
37,"Feet",60130,2,6,0
38,"Waist",60131,2,4,0
39,"Necklaces",60132,2,9,0
40,"Earrings",60133,2,8,0
41,"Bracelets",60134,2,10,0
42,"Rings",60135,2,11,0
43,"Medicine",60136,3,0,0
44,"Ingredients",60137,3,1,0
45,"Meals",60146,3,2,0
46,"Seafood",60138,3,3,0
47,"Stone",60139,3,4,0
48,"Metal",60140,3,5,0
49,"Lumber",60141,3,6,0
50,"Cloth",60142,3,7,0
51,"Leather",60143,3,8,0
52,"Bone",60144,3,9,0
53,"Reagents",60145,3,10,0
54,"Dyes",60147,3,11,0
55,"Weapon Parts",60148,3,12,0
56,"Furnishings",60164,4,3,0
57,"Materia",60150,3,13,0
58,"Crystals",60151,3,14,0
59,"Catalysts",60152,3,15,0
60,"Miscellany",60153,3,16,0
61,"Soul Crystals",60157,0,0,0
62,"Arrows",60153,0,0,0
63,"Quest Items",60158,0,0,0
64,"Other",60159,0,0,0
65,"Exterior Fixtures",60160,4,0,0
66,"Interior Fixtures",60161,4,1,0
67,"Outdoor Furnishings",60168,4,2,0
68,"Chairs and Beds",60165,4,4,0
69,"Tables",60162,4,5,0
70,"Tabletop",60163,4,6,0
71,"Wall-mounted",60166,4,7,0
72,"Rugs",60167,4,8,0
73,"Rogue's Arms",60106,1,7,29
74,"Seasonal Miscellany",60154,3,17,0
75,"Minions",60155,3,18,0
76,"Dark Knight's Arms",60170,1,2,32
77,"Machinist's Arms",60172,1,9,31
78,"Astrologian's Arms",60171,1,16,33
79,"Airship/Submersible Components",60169,3,19,0
80,"Orchestrion Components",60173,3,20,0
81,"Gardening Items",60174,4,9,0
82,"Paintings",60175,4,10,0
83,"Samurai's Arms",60177,1,6,34
84,"Red Mage's Arms",60176,1,13,35
85,"Scholar's Arms",60178,1,15,28
86,"Gunbreaker's Arms",60181,1,3,37
87,"Dancer's Arms",60182,1,10,38
88,"",0,0,0,0
89,"",0,0,0,0
90,"",0,0,0,0
91,"",0,0,0,0
92,"",0,0,0,0
93,"",0,0,0,0
94,"",0,0,0,0
95,"",0,0,0,0
96,"",0,0,0,0
97,"",0,0,0,0
98,"",0,0,0,0
99,"",0,0,0,0
100,"",0,0,0,0
