key,0,1
#,,
int32,str,str
0,"TEXT_VOICEMAN_03003_000010_ALPHINAUD","Ishgard cannot well endure another assault. Even should her knights succeed in turning back the Horde, the casualties will be catastrophic."
1,"TEXT_VOICEMAN_03003_000020_TATARU","But what other choice do we have? It's not like we can talk it over with them. Dragons and men aren't exactly on speaking terms."
2,"TEXT_VOICEMAN_03003_000030_ALPHINAUD","...With certain notable exceptions."
3,"TEXT_VOICEMAN_03003_000040_TATARU","You don't mean...Iceheart!?"
4,"TEXT_VOICEMAN_03003_000050_ALPHINAUD","When last you spoke with her, she lamented her crimes, did she not?"
5,"TEXT_VOICEMAN_03003_000060_ALPHINAUD","Then there remains a sliver of hope. If we can persuade Iceheart to act as our intermediary, we may yet be able to convince Nidhogg to abandon his bloody course."
6,"TEXT_VOICEMAN_03003_000070_ESTINIEN","If there is to be a meeting, I would accompany you."
7,"TEXT_VOICEMAN_03003_000080_ALPHINAUD","...Estinien!?"
8,"TEXT_VOICEMAN_03003_000090_ESTINIEN","Even with your intermediary, Nidhogg's bloodrage may render him deaf to reason. However, the mere attempt may afford our forces precious time to prepare. "
9,"TEXT_VOICEMAN_03003_000100_ESTINIEN","Of course...you might also consider a more direct approach to ending this conflict. With the power of the Eye at my disposal, and the vaunted strength of the Warrior of Light, we could conceivably slay the beast outright..."
10,"TEXT_VOICEMAN_03003_000110_ALPHINAUD","If we are to risk a face-to-face meeting with the dread wyrm, I for one would feel safer in the company of the Azure Dragoon. However, I should only turn to your lance if my words failed to find their mark. Is that clear?"
11,"TEXT_VOICEMAN_03003_000120_ESTINIEN","Perfectly. I shall assume that Iceheart enjoys similar diplomatic protection until instructed otherwise."
12,"TEXT_VOICEMAN_03003_000130_ESTINIEN","A word of advice: think carefully before divulging the particulars of this plan to Ser Aymeric. 'Twould not do to have the lord commander accused of consorting with heretics."
13,"TEXT_VOICEMAN_03003_000140_ALPHINAUD","Indeed. I thank you for your counsel, Estinien. We shall be honored to have you with us."
14,"TEXT_VOICEMAN_03003_000150_ESTINIEN","I am glad to be of service."
15,"TEXT_VOICEMAN_03003_100010_AYMERIC","I want the defenses of the outer ward rechecked. See to it that the ballistas are in good repair and supplied with enough ammunition for a prolonged siege."
