#,Name,Description,Cost,Icon,FCRank,Order,Purchasable
0,,,0,0,0,0,True
1,Kampfroutine-Bonus,Die Routine beim Besiegen von Feinden ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).,3500,64213,5,1,True
2,Sammelroutine-Bonus,Die Routine beim Sammeln von Rohstoffen ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).,3500,64215,5,2,True
3,Syntheseroutine-Bonus,Die Routine bei der Synthese ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).,3500,64216,5,3,True
4,Mitstreiterroutine-Bonus,"Die Routine, die dein Mitstreiter erhält, ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).",2800,64214,5,4,True
5,Wolfsmarken-Bonus,Der Wolfsmarken-Erwerb ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).,2800,64217,5,5,True
6,Staatstaler-Bonus,Der Staatstaler-Erwerb ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).,2800,64218,5,6,True
7,Startbonus,"Für Kämpferdisziplinen bis Stufe 25 sind alle physischen Attribute um 10 % verbessert
(Wirkung: 24 Std. Erdenzeit).",1750,64201,5,8,True
8,Sammelgeschick-Bonus,Für Sammler ist das Sammelgeschick um 5 erhöht (Wirkung: 24 Std. Erdenzeit).,2800,64202,5,9,True
9,Expertisebonus,Für Sammler ist die Expertise um 5 erhöht (Wirkung: 24 Std. Erdenzeit).,2800,64203,5,10,True
10,Kunstfertigkeitsbonus,Für Handwerker ist die Kunst­fer­tig­keit um 5 erhöht (Wirkung: 24 Std. Erdenzeit).,2800,64204,5,11,True
11,Kontrolle-Bonus,Für Handwerker ist die Kontrolle um 5 erhöht (Wirkung: 24 Std. Erdenzeit).,2800,64205,5,12,True
12,Bindungsbonus,Das Ansteigen der emotionalen Bindung von Gegenständen durch Benutzung ist beschleunigt (Wirkung: 24 Std. Erdenzeit).,3500,64209,5,13,True
13,Längere Nahrungseffekte,Die Wirkung von Nahrung ist um 5 Minuten verlängert (Wirkung: 24 Std. Erdenzeit).,2800,64208,5,14,True
14,Verminderter Verschleiß,Der Verschleiß von Gegenständen bei Benutzung ist um 10 % verlangsamt (Wirkung: 24 Std. Erdenzeit).,3500,64210,5,15,True
15,Stadtsprint-Bonus,Die Dauer von Sprint ist in Städten um 25 % erhöht (Wirkung: 24 Std. Erdenzeit).,2800,64220,5,16,True
16,Vergünstigter Teleport,Die Gil-Kosten für den Teleport sind um 20 % verringert (Wirkung: 24 Std. Erdenzeit).,3500,64212,5,17,True
17,MGP-Bonus ,Der Manderville Gold Saucer-Punkte-Erwerb ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).,2800,64219,5,7,True
18,,,0,0,0,0,False
19,,,0,0,0,0,False
20,,,0,0,0,0,False
21,,,0,0,0,0,False
22,,,0,0,0,0,False
23,,,0,0,0,0,False
24,,,0,0,0,0,False
25,,,0,0,0,0,False
26,,,0,0,0,0,False
27,,,0,0,0,0,False
28,,,0,0,0,0,False
29,,,0,0,0,0,False
30,,,0,0,0,0,False
31,Kampfroutine-Bonus II,Die Routine beim Besiegen von Feinden ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).,7000,64238,8,18,True
32,Sammelroutine-Bonus II,"Die Routine beim Sammeln von Rohstoffen ist um
10 % erhöht (Wirkung: 24 Std. Erdenzeit).",7000,64240,8,19,True
33,Syntheseroutine-Bonus II,Die Routine bei der Synthese ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).,7000,64241,8,20,True
34,Mitstreiterroutine-Bonus II,"Die Routine, die dein Mitstreiter erhält, ist um 15 % erhöht (Wirkung: 24 Std. Erdenzeit).",7000,64239,8,21,True
35,Wolfsmarken-Bonus II,Der Wolfsmarken-Erwerb ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).,7000,64242,8,22,True
36,Staatstaler-Bonus II,Der Staatstaler-Erwerb ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).,7000,64243,8,23,True
37,Startbonus II,"Für Kämpferdisziplinen bis Stufe 49 sind alle physischen Attribute um 5 % verbessert
(Wirkung: 24 Std. Erdenzeit).",3500,64226,8,25,True
38,Sammelgeschick-Bonus II,Für Sammler ist das Sammelgeschick um 10 erhöht (Wirkung: 24 Std. Erdenzeit).,7000,64227,8,26,True
39,Expertisebonus II,Für Sammler ist die Expertise um 10 erhöht (Wirkung: 24 Std. Erdenzeit).,7000,64228,8,27,True
40,Kunstfertigkeitsbonus II,Für Handwerker ist die Kunst­fer­tig­keit um 10 erhöht (Wirkung: 24 Std. Erdenzeit).,7000,64229,8,28,True
41,Kontrolle-Bonus II,Für Handwerker ist die Kontrolle um 10 erhöht (Wirkung: 24 Std. Erdenzeit).,7000,64230,8,29,True
42,Bindungsbonus II,Das Ansteigen der emotionalen Bindung von Gegenständen durch Benutzung ist beschleunigt (Wirkung: 24 Std. Erdenzeit).,7000,64234,8,30,True
43,Längere Nahrungseffekte II,Die Wirkung von Nahrung ist um 10 Minuten verlängert (Wirkung: 24 Std. Erdenzeit).,7000,64233,8,31,True
44,Verminderter Verschleiß II,Der Verschleiß von Gegenständen bei Benutzung ist um 20 % verlangsamt (Wirkung: 24 Std. Erdenzeit).,7000,64235,8,32,True
45,Stadtsprint-Bonus II,Die Dauer von Sprint ist in Städten um 50 % erhöht (Wirkung: 24 Std. Erdenzeit).,5600,64245,8,33,True
46,Vergünstigter Teleport II,Die Gil-Kosten für den Teleport sind um 30 % verringert (Wirkung: 24 Std. Erdenzeit).,7000,64237,8,34,True
47,MGP-Bonus II,Der Manderville Gold Saucer-Punkte-Erwerb ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).,7000,64244,8,24,True
48,,,0,0,0,0,False
49,,,0,0,0,0,False
50,,,0,0,0,0,False
51,,,0,0,0,0,False
52,,,0,0,0,0,False
53,,,0,0,0,0,False
54,,,0,0,0,0,False
55,,,0,0,0,0,False
56,,,0,0,0,0,False
57,,,0,0,0,0,False
58,,,0,0,0,0,False
59,,,0,0,0,0,False
60,,,0,0,0,0,False
61,Kampfroutine-Bonus III,Die Routine beim Besiegen von Feinden ist um 15 % erhöht (Wirkung: 24 Std. Erdenzeit).,10500,64263,8,35,False
62,Sammelroutine-Bonus III,"Die Routine beim Sammeln von Rohstoffen ist um
20 % erhöht (Wirkung: 24 Std. Erdenzeit).",10500,64265,8,36,False
63,Syntheseroutine-Bonus III,Die Routine bei der Synthese ist um 20 % erhöht (Wirkung: 24 Std. Erdenzeit).,10500,64266,8,37,False
64,Mitstreiterroutine-Bonus III,"Die Routine, die dein Mitstreiter erhält, ist um 20 % erhöht (Wirkung: 24 Std. Erdenzeit).",10500,64264,8,38,False
65,Wolfsmarken-Bonus III,Der Wolfsmarken-Erwerb ist um 15 % erhöht (Wirkung: 24 Std. Erdenzeit).,10500,64267,8,39,False
66,Staatstaler-Bonus III,Der Staatstaler-Erwerb ist um 15 % erhöht (Wirkung: 24 Std. Erdenzeit).,10500,64268,8,40,False
67,,,0,0,0,0,False
68,Sammelgeschick-Bonus III,Für Sammler ist das Sammelgeschick um 15 erhöht (Wirkung: 24 Std. Erdenzeit).,10500,64252,8,43,False
69,Expertisebonus III,Für Sammler ist die Expertise um 15 erhöht (Wirkung: 24 Std. Erdenzeit).,10500,64253,8,44,False
70,Kunstfertigkeitsbonus III,Für Handwerker ist die Kunst­fer­tig­keit um 15 erhöht (Wirkung: 24 Std. Erdenzeit).,10500,64254,8,45,False
71,Kontrolle-Bonus III,Für Handwerker ist die Kontrolle um 15 erhöht (Wirkung: 24 Std. Erdenzeit).,10500,64255,8,46,False
72,Bindungsbonus III,Das Ansteigen der emotionalen Bindung von Gegenständen durch Benutzung ist beschleunigt (Wirkung: 24 Std. Erdenzeit).,10500,64259,8,47,False
73,Längere Nahrungseffekte III,Die Wirkung von Nahrung ist um 15 Minuten verlängert (Wirkung: 24 Std. Erdenzeit).,10500,64258,8,48,False
74,Verminderter Verschleiß III,Der Verschleiß von Gegenständen bei Benutzung ist um 30 % verlangsamt (Wirkung: 24 Std. Erdenzeit).,10500,64260,8,49,False
75,,,0,0,0,0,False
76,Vergünstigter Teleport III,Die Gil-Kosten für den Teleport sind um 40 % verringert (Wirkung: 24 Std. Erdenzeit).,10500,64262,8,51,False
77,MGP-Bonus III,Der Manderville Gold Saucer-Punkte-Erwerb ist um 15 % erhöht (Wirkung: 24 Std. Erdenzeit).,10500,64269,8,41,False
78,,,0,0,0,0,False
79,,,0,0,0,0,False
80,,,0,0,0,0,False
81,,,0,0,0,0,False
82,,,0,0,0,0,False
83,,,0,0,0,0,False
84,,,0,0,0,0,False
85,,,0,0,0,0,False
86,,,0,0,0,0,False
87,,,0,0,0,0,False
88,,,0,0,0,0,False
89,,,0,0,0,0,False
90,,,0,0,0,0,False
91,,,0,0,0,0,False
92,,,0,0,0,0,False
93,,,0,0,0,0,False
94,,,0,0,0,0,False
95,,,0,0,0,0,False
96,,,0,0,0,0,False
97,,,0,0,0,0,False
98,,,0,0,0,0,False
99,,,0,0,0,0,False
100,,,0,0,0,0,False
