#,Name,Unknown0,StampIcon,Unknown1,Category,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,Nicht festgelegt,0,0,0,0,0,0,10,False,False,False
1,Spielinhalt beginnt,0,120021,2,10,0,200,10,False,False,False
2,Spielinhalt beendet,0,120022,2,10,0,201,10,False,False,False
3,,0,0,0,0,0,0,0,False,False,False
4,Spielinhalt neu gestartet,0,120024,2,10,0,203,10,False,False,False
5,Auftrag angenommen,0,120001,2,11,0,100,10,False,False,False
6,Auftrag abgeschlossen,0,120002,2,11,0,101,10,False,False,False
7,FATE-Bereich,0,120081,2,12,0,303,10,False,False,False
8,FATE erfolgreich,0,120082,2,12,0,304,10,False,False,False
9,,0,0,0,0,0,0,0,False,False,False
10,Er­fah­rungs­stufe gestiegen,0,120111,2,5,0,10,10,False,False,False
11,GATE-Teilnahme,0,121561,2,13,0,400,10,False,False,False
12,GATE erfolgreich,0,121562,2,13,0,401,10,False,False,False
13,,0,0,0,0,0,0,0,False,False,False
14,Chocobo-Rennen: Start!,0,121551,2,13,0,403,10,False,False,False
15,Chocobo-Rennen: Ziel!,0,121552,2,13,0,404,10,False,False,False
16,Chocobo-Rennen: Spitzenreiter-Rallye bestanden!,0,121553,2,13,0,405,10,False,False,False
17,Bomberball: Treffer!,0,121501,2,13,0,406,10,False,False,False
18,Bomberball: Verfehlt,0,121502,2,13,0,407,10,False,False,False
19,Minispiel: Atomisierend!!!,0,121511,2,13,0,408,10,False,False,False
20,Minispiel: Zerschmetternd!,0,121512,2,13,0,409,10,False,False,False
21,Minispiel: Passabel,0,121513,2,13,0,410,10,False,False,False
22,,0,0,0,0,0,0,0,False,False,False
23,Leichter Trupp,0,120114,2,5,0,23,10,False,False,False
24,Voller Trupp,0,120115,2,5,0,24,10,False,False,False
25,Stufe gesunken,0,120119,2,5,0,11,10,False,False,False
26,FINAL FANTASY XIV Online (weiß),0,230651,2,16,0,2,10,True,False,False
27,FINAL FANTASY XIV Online (schwarz),0,230652,2,16,0,1,10,True,False,False
28,,0,0,0,0,0,0,0,False,False,False
29,Flagge von Alexandria,70495,230715,1,6,0,15,1,True,False,False
30,Triple Triad: ★,0,230111,1,4,0,1,10,True,False,False
31,Triple Triad: ★★,0,230112,1,4,0,2,10,True,False,False
32,Triple Triad: ★★★,0,230113,1,4,0,3,10,True,False,False
33,Triple Triad: ★★★★,0,230114,1,4,0,4,10,True,False,False
34,Triple Triad: ★★★★★,0,230115,1,4,0,5,10,True,False,False
35,Triple Triad: 1,0,230120,1,4,0,12,10,True,False,False
36,Triple Triad: 2,0,230121,1,4,0,13,10,True,False,False
37,Triple Triad: 3,0,230122,1,4,0,14,10,True,False,False
38,Triple Triad: 4,0,230123,1,4,0,15,10,True,False,False
39,Triple Triad: 5,0,230124,1,4,0,16,10,True,False,False
40,Triple Triad: 6,0,230125,1,4,0,17,10,True,False,False
41,Triple Triad: 7,0,230126,1,4,0,18,10,True,False,False
42,Triple Triad: 8,0,230127,1,4,0,19,10,True,False,False
43,Triple Triad: 9,0,230128,1,4,0,20,10,True,False,False
44,Triple Triad: A,0,230129,1,4,0,21,10,True,False,False
45,Triple Triad: 0,0,230119,1,4,0,11,10,True,False,False
46,Flagge von Sharlayan,0,230711,1,6,0,11,10,True,False,False
47,Flagge von Radz-at-Han,0,230713,1,6,0,12,10,True,False,False
48,Flagge von Garlemald,0,230712,1,6,0,13,10,True,False,False
49,Flagge von Tuliyollal,0,230714,1,6,0,14,10,True,False,False
50,Flagge von Gridania,0,230701,1,6,0,2,10,True,False,False
51,Flagge von Limsa Lominsa,0,230702,1,6,0,1,10,True,False,False
52,Flagge von Ul'dah,0,230703,1,6,0,3,10,True,False,False
53,Flagge von Ishgard,0,230704,1,6,0,4,10,True,False,False
54,Flagge von Ala Mhigo,0,230705,1,6,0,5,10,True,False,False
55,Flagge von Kugane,0,230706,1,6,0,6,10,True,False,False
56,Flagge von Doma,0,230707,1,6,0,7,10,True,False,False
57,Flagge von Crystarium,0,230708,1,6,0,8,10,True,False,False
58,Flagge von Eulmore,0,230709,1,6,0,9,10,True,False,False
59,Flagge von Bozja,0,230710,1,6,0,10,10,True,False,False
60,Neutrale Miene,0,230626,1,3,0,1,10,True,True,True
61,Lächelnd,0,230627,1,3,0,2,10,True,True,True
62,Grinsend,0,230628,1,3,0,3,10,True,True,True
63,Zwinkernd,0,230629,1,3,0,4,10,True,True,True
64,,0,0,0,0,0,0,0,False,False,False
65,Zuversichtlich,0,230631,1,3,0,5,10,True,True,True
66,Siegessicher,0,230632,1,3,0,6,10,True,True,True
67,Augen zu,0,230633,1,3,0,7,10,True,True,True
68,Sprachlos,0,230634,1,3,0,8,10,True,True,True
