key,0,1
#,,
int32,str,str
0,"TEXT_CMNRADENTERSHPOSHAE_00077_DPERJHA_1","Halt, die Sastasha-Höhle steht unter Observation der Gelbjacken."
1,"TEXT_CMNRADENTERSHPOSHAE_00077_Q1_1","Was willst du?"
2,"TEXT_CMNRADENTERSHPOSHAE_00077_A1_1","Die Bedingungen für den Zutritt erfahren."
3,"TEXT_CMNRADENTERSHPOSHAE_00077_A1_2","Die Sastasha-Höhle sofort betreten."
4,"TEXT_CMNRADENTERSHPOSHAE_00077_A1_3","Später wiederkommen."
5,"TEXT_CMNRADENTERSHPOSHAE_00077_DPERJHA_5","Die Sastasha-Höhle wurde als besondere Gefahrenzone deklariert, zu der nur schlagkräftige Gruppen Zugang erhalten. Damit sollen unnötige Todesfälle vermieden werden."
6,"TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_6","Für die Sastasha-Höhle ist eine Gruppe von 4 Abenteurern erforderlich, die mindestens Stufe 15 als Krieger oder Magier erreicht haben."
7,"TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_7","Alle Streifzüge durch die Sastasha-Höhle sind auf 90 Minuten (Erdenzeit) begrenzt."
8,"TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_8","Um die Instanz zu betreten, müssen die Teilnehmer die ersten Ziele des Auftrags „Das Geheimnis der Sastasha-Höhle“ erledigt haben. Charaktere der Stufe 19 oder höher werden bis zum Verlassen der Instanz auf Stufe 18 herabgesetzt."
9,"TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_9","Wenn beim Verlassen der Instanz noch Beutegut übrig ist, wird dir alles auf der Beutegutliste automatisch ins Inventar gestellt. Gegenstände, die nicht aufgenommen werden können, gehen verloren."
10,"TEXT_CMNRADENTERSHPOSHAE_00077_Q2_1","Willst du die Sastasha-Höhle betreten?"
11,"TEXT_CMNRADENTERSHPOSHAE_00077_A2_1","Ja"
12,"TEXT_CMNRADENTERSHPOSHAE_00077_A2_2","Nein"
13,"TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_10","Die Instanz „<Sheet(InstanceContent,IntegerParameter(2),3)/>“ konnte nicht betreten werden, da die Voraus<SoftHyphen/>setzungen nicht erfüllt sind."
14,"TEXT_CMNRADENTERSHPOSHAE_00077_DPERJHA_20","Halt! Ich darf niemanden in die Sastasha-Höhle lassen, der nicht von offizieller Stelle dazu autorisiert wurde."
15,"TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_20","Um die Instanz zu betreten, müssen die ersten Ziele des Auftrags „Das Geheimnis der Sastasha-Höhle“ erledigt sein."
