key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_JALZAHN_000_000","Die Seelenkraft in deinen Atma-Waffen kann ich zu voller Wirkung entfalten, <If(PlayerParameter(4))>Erbin<Else/>Erbe</If> der Zodiak-Streiter. Wie kann ich dir heute helfen?"
1,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_MENU_TITLE","Welche Atma-Waffe möchtest du verstärken?"
2,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_MENU_CHOICES","<Clickable(<Sheet(Item,IntegerParameter(1),9)/>)/> verstärken"
3,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_MENU_CANCEL","Keine"
4,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_YESNO_MESSAGE","<Clickable(<SheetDe(Item,2,IntegerParameter(1),1,4,1)/>)/> verstärken?"
5,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_YESNO_YES","Ja"
6,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_YESNO_NO","Nein"
7,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_JALZAHN_000_030","Ähem, die Waffe kann ich natürlich nur verstärken, wenn du sie in deinem Besitz hast und aus der Hand legst, <If(PlayerParameter(4))>meine Liebe<Else/>mein Lieber</If>. Komm doch noch einmal wieder, wenn du die Waffe zum Tausch bereit gemacht hast."
8,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_SYSTEM_000_035","Damit Jalzahn eine Atma-Waffe für dich verstärken kann, musst du alle neun Ephemeridentafeln dieser Waffe vervollständigen."
9,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_SYSTEM_100_035","Lege die Waffe dann in dein Arsenal oder dein Inventar und kehre zu Jalzahn zurück."
10,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_JALZAHN_000_040","Es tut mir aufrichtig leid, aber dieser Waffe wohnt noch nicht genug Seelenenergie inne. Studiere die Ephemeridentafeln ausgiebig und wandle auf den Spuren der Zodiak-Streiter, <If(PlayerParameter(4))>meine tapfere Freundin<Else/>mein tapferer Freund</If>!"
11,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_JALZAHN_100_040","（★未使用／削除予定★）"
12,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_JALZAHN_000_050","Wenn ich eine weitere Atma-Waffe für dich verstärken soll, musst du auch für diese die passenden Ephemeridentafeln erwerben und vervollständigen. Wandle auf den Spuren der Zodiak-Streiter, <If(PlayerParameter(4))>meine wackere Freundin<Else/>mein wackerer Freund</If>!"
13,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_SYSTEM_000_051","Wenn du eine weitere Atma-Waffe verstärken möchtest, musst du die dafür passenden neun Ephemeridentafeln erwerben und vervollständigen. Kehre dann zu Jalzahn zurück."
14,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_JALZAHN_000_060","Wie wandelt es sich auf den Spuren der Zodiak-Streiter, <If(PlayerParameter(4))>meine Gute<Else/>mein Freund</If>? Studiere die Ephemeridentafeln und besiege die Gegner, die auf ihnen verzeichnet sind. Auf diese Weise solltest du deine Atma-Waffe mit Seelenenergie füllen können. Komme zurück zu mir, wenn du alle Tafeln für eine Waffe vervollständigt hast."
15,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_JALZAHN_000_100","Du hast es tatsächlich vollbracht! Diese Atma-Waffe pulsiert vor Seelenkraft. Ich habe Hochachtung vor deiner Beharrlichkeit."
16,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_JALZAHN_000_101","Und diese Kraft ist es, die ich nun erwecken werde! Wohne dem geschichtsträchtigen Augenblick bei, der die Geburt einer neuen Waffe markiert!"
17,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_JALZAHN_000_102","Was für ein herrliches Leuchten! Herzlichen Glückwunsch, <If(PlayerParameter(4))>meine Liebe<Else/>mein Lieber</If>! Du bist nun <If(PlayerParameter(4))>stolze Besitzerin<Else/>stolzer Besitzer</If> <SheetDe(Item,2,IntegerParameter(1),1,2,1)/>!"
18,"TEXT_CMNDEFRELICWEAPON025TRADE_00166_SYSTEM_100_051","Deine Atma-Waffe wurde zu einer Animus-Waffe verstärkt!"
