key,0,1
#,,
int32,str,str
0,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_000","Was willst du? Ich bin nicht zum Plaudern aufgelegt bei der Arbeit. Wenn du kein wichtiges Anliegen hast, dann verschwinde."
1,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_100","Sei gegrüßt, <If(PlayerParameter(4))>Abenteurerin<Else/>Abenteurer</If>! Bitte verzeih, dass wir dich nicht mit angemessenem Speis und Trank empfangen können. Der Wieder<SoftHyphen/>aufbau der Steinernen Wacht erfordert derzeit einen Großteil unserer Aufmerksamkeit und Vorräte."
2,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_101","Willkommen, <If(PlayerParameter(4))>verehrte Frau<Else/>verehrter Herr</If> <Split(<Highlight>ObjectParameter(1)</Highlight>, ,2)/>. Bitte verzeiht, dass wir Euch nicht gebührlich empfangen können."
3,"TEXT_REGROCWHITEBRIM_00109_Q1_000_000","Was möchtest du fragen?"
4,"TEXT_REGROCWHITEBRIM_00109_A1_000_001","Was machst du hier?"
5,"TEXT_REGROCWHITEBRIM_00109_A1_000_002","Was hat es mit diesem Ort auf sich?"
6,"TEXT_REGROCWHITEBRIM_00109_A1_000_003","Nichts."
7,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_010","Ich bin ein Ritter des Hauses Durendaire. Der Name mag einem Fremden nicht viel sagen, aber es ist der Name eines der besten Häuser von Ishgard."
8,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_011","Ich habe für das Haus in mehr Kampagnen gegen Drachen gekämpft als ich an zwei Händen abzählen kann. Es mögen zwar Bestien sein, aber ihre Klugheit und List sollte man nicht unter<SoftHyphen/>schätzen."
9,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_012","Wenn unsere Leute in Frieden leben sollen, müssen wir jede einzelne dieser verdammten Kreaturen besiegen."
10,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_110","Ich bin ein Ritter des edlen Hauses Durendaire, das zu den mächtigsten von Ishgard zählt."
11,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_111","Schon zahlreiche Kämpfe habe ich gegen die Drachen geschlagen, doch wie du wohl am eigenen Leib erfahren hast, sind die Boshaftigkeit und die Wildheit dieser Bestien nicht zu unter<SoftHyphen/>schätzen."
12,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_112","Deshalb steht unsere Herrschaft über die Steinerne Wacht auf wackeligen Beinen. Die Drachen wurden vertrieben, doch sie können jederzeit zurückkehren. Wir dürfen keine Sekunde lang in unserer Wachsamkeit nachlassen."
13,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_210","Ich bin ein Ritter des edlen Hauses Durendaire, das zu den mächtigsten von Ishgard zählt."
14,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_211","Schon zahlreiche Kämpfe habe ich gegen die Drachen geschlagen, doch wie du wohl am eigenen Leib erfahren hast, sind die Boshaftigkeit und die Wildheit dieser Bestien nicht zu unter<SoftHyphen/>schätzen."
15,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_212","Dass du uns von Nidhogg, der scheußlichen Bestie, befreit hast, werden wir dir nie vergessen. Aber es sind immer noch zu viele von seiner Brut unterwegs. Wir müssen weiter wachsam sein, besonders hier im Außenposten."
16,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_020","Weißenfels-Front war schon immer ein wichtiger Außenposten im Krieg gegen die Drachen und ist es besonders jetzt, da die Steinerne Wacht gefallen ist. Aber glaub nicht, dass wir hier tatenlos rumsitzen."
17,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_021","Das Haus Durendaire bereitet eine Gegenoffensive vor, und alle Truppen sammeln sich, um die Steinerne Wacht zurück<SoftHyphen/>zu<SoftHyphen/>erobern. Wenn wir erst mal losmarschieren, solltest du Acht geben, nicht im Weg zu stehen."
18,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_120","Die Weißenfels-Front ist die äußerste Verteidigungslinie gegen die Drachenschar und ihre ketzerischen Schergen. Das Haus Durendaire wird alles geben, um die Steinerne Wacht zu alter Stärke auszubauen und mit einer neuen Garnison zu besetzen."
19,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_121","Bei Halone, mit unserem Fleiß und Blut werden wir Ishgard verteidigen und dem Land unserer Vorväter endlich Frieden bringen!"
20,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_122","Hier sind Frauen und Männer von Ehre versammelt<Indent/>- die stolzen Ritter des Hauses Durendaire."
21,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_123","Bei Halone, mit unserem Fleiß und Blut werden wir Ishgard verteidigen und dem Land unserer Vorväter endlich Frieden bringen!"
