0,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_000_001,Nach der Lektüre  ist deine Stufe als  auf UNKNOWN gestiegen!
1,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_999_001,Du hast  gelesen.
2,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_000_002,Deine Ausrüstung und Bewaffnung wurden automatisch an die neue Stufe angepasst.
3,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_000_003,"Vergiss bitte nicht, deine Accessoires bei einem Postboten-Mogry abzuholen und anzulegen."
4,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_000_004,"Auf dem Papier hast du nun große Fortschritte gemacht, aber wie sieht es in der Praxis aus?"
5,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_000_005,"Wenn du dir unsicher bist, solltest du in der Anfänger-Arena die Funktion und grundlegende Strategien deines Jobs üben. Du kannst sie über das Hauptmenü jederzeit betreten."
6,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_000_105,"Mach dich zunächst mit den grundlegenden Kommandos des Jobs vertraut, indem du dir ein paar Monster in einem beliebigen Areal zum Aufwärmen vorknöpfst."
7,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_000_006,"Deine Stufe mag gestiegen sein, aber dein Abenteuer hat gerade erst begonnen. Bevor du dich in hitzige Schlachten in Dungeons stürzt, solltest du die Anfänger-Arena nutzen und dir unterwegs auf freier Flur ein paar Gegner zum Üben herauspicken."
8,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_000_106,"Deine Stufe mag gestiegen sein, aber dein Abenteuer hat gerade erst begonnen. Bevor du dich in hitzige Schlachten in Dungeons stürzt, solltest du dir unterwegs auf freier Flur ein paar Gegner zum Üben herauspicken."
9,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_999_006,"Dein Abenteuer hat gerade erst begonnen. Bevor du dich in hitzige Schlachten in Dungeons stürzt, solltest du die Anfänger-Arena nutzen und dir unterwegs auf freier Flur ein paar Gegner zum Üben herauspicken."
10,TEXT_CTSETCBOOSTERLOGIN_00392_JOB_999_106,"Dein Abenteuer hat gerade erst begonnen. Bevor du dich in hitzige Schlachten in Dungeons stürzt, solltest du dir unterwegs auf freier Flur ein paar Gegner zum Üben herauspicken."
11,TEXT_CTSETCBOOSTERLOGIN_00392_Q1JOB_000_001,（★未使用／削除予定★）
12,TEXT_CTSETCBOOSTERLOGIN_00392_A1JOB_000_002,（★未使用／削除予定★）
13,TEXT_CTSETCBOOSTERLOGIN_00392_A1JOB_000_003,（★未使用／削除予定★）
14,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_255_001,Du hast  gelesen und damit das Hauptszenario von „A Realm Reborn“ abgeschlossen!
15,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_356_001,Du hast  gelesen und damit das Hauptszenario von „Heavensward“ abgeschlossen!
16,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_456_001,Du hast  gelesen und damit das Hauptszenario von „Stormblood“ abgeschlossen!
17,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_555_001,Du hast  gelesen und damit das Hauptszenario von „Shadowbringers“ abgeschlossen!
18,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_600_001,Du hast  gelesen und damit das Hauptszenario von „Endwalker“ abgeschlossen!
19,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_655_001,Du hast  gelesen und damit das Hauptszenario von „Neu entdecktes Abenteuer“ abgeschlossen!
20,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_000_002,"Bevor du dich in neue Abenteuer stürzt, solltest du erst einmal ein Gasthaus in einer der großen Städte aufsuchen und dort im Gästezimmer im Reisetagebuch blättern, um dir die bisherigen Ereignisse vor Augen zu führen."
21,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_000_003,"Denn wenn du weißt, was bisher alles passiert ist, kannst du noch tiefer in die Geschichte eintauchen."
22,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_000_100,"Übrigens ist deine Stufe für die kommenden Heraus­forde­rungen etwas zu niedrig. Du solltest trainieren, um für sie gewappnet zu sein. Dazu bieten sich zum Beispiel Dungeons an."
23,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_000_004,"Beim Postboten-Mogry liegen außerdem einige praktische Dinge für dich bereit, die dir das Leben als Abenteurerin erleichtern sollten. Vergiss nicht, sie abzuholen!"
24,TEXT_CTSETCBOOSTERLOGIN_00392_MAIN_000_005,"Also dann, auf gutes Gelingen! Möge der Kristall mit dir sein!"
25,TEXT_CTSETCBOOSTERLOGIN_00392_Q1MAIN_000_001,（★未使用／削除予定★）
26,TEXT_CTSETCBOOSTERLOGIN_00392_A1MAIN_000_002,（★未使用／削除予定★）
27,TEXT_CTSETCBOOSTERLOGIN_00392_A1MAIN_000_003,（★未使用／削除予定★）
