key,0,1
#,,
int32,str,str
0,"TEXT_HOUFURVASE_00336_Q1_000_000","In der Vase: <Clickable(<SheetDe(Item,1,IntegerParameter(1),1,1,1)/>)/>"
1,"TEXT_HOUFURVASE_00336_Q1_000_001","In der Vase: ---"
2,"TEXT_HOUFURVASE_00336_A1_000_002","Blumen in die Vase stellen"
3,"TEXT_HOUFURVASE_00336_A1_000_003","Blumen aus der Vase nehmen"
4,"TEXT_HOUFURVASE_00336_A1_000_004","Abbrechen"
5,"TEXT_HOUFURVASE_00336_Q2_000_000","<Clickable(<SheetDe(Item,2,IntegerParameter(1),1,4,1)/>)/> aus der Vase entfernen?
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※ <Clickable(<SheetDe(Item,2,IntegerParameter(1),1,1,1)/>)/> geht dabei verloren.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
6,"TEXT_HOUFURVASE_00336_Q2_000_001","Ja"
7,"TEXT_HOUFURVASE_00336_Q2_000_002","Nein"
