key,0,1
#,,
int32,str,str
0,"TEXT_CTSDKBCHARACTER4SUB2_00579_MAOLADD_000_000","Ich will die Bewohner von Crystarium unterstützen, wo ich nur kann. Im Moment arbeite ich daran, eine Reihe noch süßerer Früchte heranzuzüchten. Köstliche, natürliche Süße heilt sowohl das Herz als auch die Seele, nicht wahr?"
1,"TEXT_CTSDKBCHARACTER4SUB2_00579_MAOLADD_000_010","Herzlichsten Dank für deine Unterstützung rund um die Samiel! Als Mitglied des Samiel-Suchtrupps werde ich stets mein Bestes geben!"
2,"TEXT_CTSDKBCHARACTER4SUB2_00579_MAOLADD_000_020","Die Geschichte mit Il Mheg tut mir ehrlich leid<Indent/>... Wir widmen unsere ganze Aufmerksamkeit der intensiven Analyse unseres Funds, damit wir der Entdeckung der Samiel näherkommen."
3,"TEXT_CTSDKBCHARACTER4SUB2_00579_MAOLADD_000_030","Ich dachte immer, dass Yalana nicht gerne mit Qeshi-Rae zusammenarbeitet, aber tatsächlich scheint es ihr sehr viel Freude zu bereiten."
4,"TEXT_CTSDKBCHARACTER4SUB2_00579__MAOLADD_000_000","Ich will die Bewohner von Crystarium unterstützen, wo ich nur kann. Im Moment arbeite ich daran, eine Reihe noch süßerer Früchte heranzuzüchten. Köstliche, natürliche Süße heilt sowohl das Herz als auch die Seele, nicht wahr?"
5,"TEXT_CTSDKBCHARACTER4SUB2_00579__MAOLADD_000_010","Herzlichsten Dank für deine Unterstützung rund um die Samiel! Als Mitglied des Samiel-Suchtrupps werde ich stets mein Bestes geben!"
6,"TEXT_CTSDKBCHARACTER4SUB2_00579__MAOLADD_000_020","Die Geschichte mit Il Mheg tut mir ehrlich leid<Indent/>... Wir widmen unsere ganze Aufmerksamkeit der intensiven Analyse unseres Funds, damit wir der Entdeckung der Samiel näherkommen."
7,"TEXT_CTSDKBCHARACTER4SUB2_00579__MAOLADD_000_030","Ich dachte immer, dass Yalana nicht gerne mit Qeshi-Rae zusammenarbeitet, aber tatsächlich scheint es ihr sehr viel Freude zu bereiten."
