key,0,1
#,,
int32,str,str
0,"TEXT_FESHLX2024TRANSFORM2_00856_TRANSFORMHLX2024_000_000","Hallihallo! Ich mag bloß ein einfacher Imp sein, doch kann ich dich mit meinem Zauber in alles verwandeln, was du dir vorstellen kannst!"
1,"TEXT_FESHLX2024TRANSFORM2_00856_TRANSFORMHLX2024_000_001","Rufe dir deine vergangenen Abenteuer in Erinnerung! Hihihi. Was siehst du?"
2,"TEXT_FESHLX2024TRANSFORM2_00856_Q1_000_000","Was sagst du?"
3,"TEXT_FESHLX2024TRANSFORM2_00856_A1_000_001","Die Befreiung von Doma und Ala Mhigo."
4,"TEXT_FESHLX2024TRANSFORM2_00856_A1_000_002","Die Rückkehr der dunklen Nacht."
5,"TEXT_FESHLX2024TRANSFORM2_00856_TRANSFORMHLX2024_000_002","Und wer hat dich zu jener Zeit am meisten beeindruckt? Wen siehst du?"
6,"TEXT_FESHLX2024TRANSFORM2_00856_Q2_000_000","Was sagst du?"
7,"TEXT_FESHLX2024TRANSFORM2_00856_A2_000_000","Einen tapferen und großmütigen Hyuran aus dem Fernen Osten."
8,"TEXT_FESHLX2024TRANSFORM2_00856_A2_000_001","Eine überaus loyale Au Ra, die die Künste der Ninja beherrscht."
9,"TEXT_FESHLX2024TRANSFORM2_00856_A2_000_002","Einen einsamen Au Ra, der so stolz wie kühn ist."
10,"TEXT_FESHLX2024TRANSFORM2_00856_A2_000_003","Eine stolze Au Ra mit einem kämpferischen Herz."
11,"TEXT_FESHLX2024TRANSFORM2_00856_A2_000_004","Eine gottesfürchtige Au Ra, lieblich und doch von Zweifeln geplagt."
12,"TEXT_FESHLX2024TRANSFORM2_00856_A2_000_005","Eine Hyuran in feuerroten Kleidern, die sich aufs Kämpfen versteht."
13,"TEXT_FESHLX2024TRANSFORM2_00856_A2_100_005","Einen stolzen Roegadyn, der die Piraten der Rubinsee unter sich vereint."
14,"TEXT_FESHLX2024TRANSFORM2_00856_A2_150_005","Einen loyalen Hyuran, der seinen Flottenkapitän als Stellvertreter unterstützt."
15,"TEXT_FESHLX2024TRANSFORM2_00856_A2_000_006","Einen Hyuran, der während seiner Reise mit vier Tierheiligen zum Helden wurde."
