0,TEXT_SUBCTS107_00094_SEQ_00,Bloezoeng möchte sich mit einer Bitte für einen alten Freund an dich wenden.
1,TEXT_SUBCTS107_00094_SEQ_01,"Laut Bloezoeng ist Kommandant Reyner von den Gelbjacken auf der Suche nach einem fähigen Abenteurer für eine Aufgabe, die ein echter Härtetest zu werden verspricht. Begib dich zum Korallenturm auf den Oberen Decks von Limsa Lominsa und sprich dort mit dem Kommandanten."
2,TEXT_SUBCTS107_00094_SEQ_02,"Reyner teilt dir mit, dass Sastasha von einem bislang nicht identifizierten Feind überrannt worden ist. Da du die feuchten Höhlen bereits zuvor von den Plündernden Schlangen befreit hast, ist der Kommandant der Ansicht, dass du am ehesten dazu in der Lage bist, dich dieser neuen Bedrohung zu stellen - wie auch immer diese aussehen mag. Begib dich nach Sastasha im westlichen La Noscea und melde dich am Eingang bei D'perjha."
3,TEXT_SUBCTS107_00094_SEQ_03,"D'perjha hat dich mit der aktuellen Lage vertraut gemacht. Erkunde Sastasha und schalte die Bedrohung in den Höhlen aus.

※ „Sastasha (schwer)“ kann über die Inhaltssuche begonnen werden."
4,TEXT_SUBCTS107_00094_SEQ_04,"Tief im Inneren von Sastasha triffst du auf eine quallenartige Scheußlichkeit und bereitest ihr ein Ende. Da die Gefahr nun beseitigt ist, solltest du dich wieder an die Oberfläche begeben und D'perjha Bericht erstatten."
5,TEXT_SUBCTS107_00094_SEQ_05,"D'perjha zufolge soll der Körper des besiegten Feindes für eine eingehende Unter­such­ung geborgen werden. Die Gelbjacke teilt dir außerdem mit, dass Reyner inzwischen in Bierhafen im westlichen La Noscea eingetroffen ist. Begib dich dorthin und erstatte ihm einen umfassenden Lagebericht."
6,TEXT_SUBCTS107_00094_SEQ_06,"Reyner ist schockiert darüber, dass die abscheuliche Kreatur kein Geringerer als der berüchtigte Kapitän Madison gewesen sein soll. Die mit der Unter­such­ung der sterblichen Überreste beauftragte Gelehrte Ceana gelangt zu dem Schluss, dass diese grässliche Form eine direkte Folge der übermäßigen Äthereinwirkung ist. Angesichts der jüngsten Entwicklungen verspricht Reyner, die Sicherheitsbemühungen rund um Bierhafen zu verstärken."
7,TEXT_SUBCTS107_00094_SEQ_07,
8,TEXT_SUBCTS107_00094_SEQ_08,
9,TEXT_SUBCTS107_00094_SEQ_09,
10,TEXT_SUBCTS107_00094_SEQ_10,
11,TEXT_SUBCTS107_00094_SEQ_11,
12,TEXT_SUBCTS107_00094_SEQ_12,
13,TEXT_SUBCTS107_00094_SEQ_13,
14,TEXT_SUBCTS107_00094_SEQ_14,
15,TEXT_SUBCTS107_00094_SEQ_15,
16,TEXT_SUBCTS107_00094_SEQ_16,
17,TEXT_SUBCTS107_00094_SEQ_17,
18,TEXT_SUBCTS107_00094_SEQ_18,
19,TEXT_SUBCTS107_00094_SEQ_19,
20,TEXT_SUBCTS107_00094_SEQ_20,
21,TEXT_SUBCTS107_00094_SEQ_21,
22,TEXT_SUBCTS107_00094_SEQ_22,
23,TEXT_SUBCTS107_00094_SEQ_23,
24,TEXT_SUBCTS107_00094_TODO_00,Mit Reyner im Korallenturm sprechen
25,TEXT_SUBCTS107_00094_TODO_01,Mit D'perjha am Eingang zu Sastasha sprechen
26,TEXT_SUBCTS107_00094_TODO_02,Sastasha (schwer) über die Inhaltssuche betreten und erkunden
27,TEXT_SUBCTS107_00094_TODO_03,D'perjha Bericht erstatten
28,TEXT_SUBCTS107_00094_TODO_04,Reyner in Bierhafen Bericht erstatten
29,TEXT_SUBCTS107_00094_TODO_05,
30,TEXT_SUBCTS107_00094_TODO_06,
31,TEXT_SUBCTS107_00094_TODO_07,
32,TEXT_SUBCTS107_00094_TODO_08,
33,TEXT_SUBCTS107_00094_TODO_09,
34,TEXT_SUBCTS107_00094_TODO_10,
35,TEXT_SUBCTS107_00094_TODO_11,
36,TEXT_SUBCTS107_00094_TODO_12,
37,TEXT_SUBCTS107_00094_TODO_13,
38,TEXT_SUBCTS107_00094_TODO_14,
39,TEXT_SUBCTS107_00094_TODO_15,
40,TEXT_SUBCTS107_00094_TODO_16,
41,TEXT_SUBCTS107_00094_TODO_17,
42,TEXT_SUBCTS107_00094_TODO_18,
43,TEXT_SUBCTS107_00094_TODO_19,
44,TEXT_SUBCTS107_00094_TODO_20,
45,TEXT_SUBCTS107_00094_TODO_21,
46,TEXT_SUBCTS107_00094_TODO_22,
47,TEXT_SUBCTS107_00094_TODO_23,
