key,0,1
#,,
int32,str,str
0,"TEXT_SUBWIL074_00388_SEQ_00","Aethelgyth möchte, dass jemand nach einem Wachposten schaut, der verwundet sein könnte."
1,"TEXT_SUBWIL074_00388_SEQ_01","Obwohl sie ihn nicht kennt, macht Aethelgyth sich Sorgen um die Gesundheit eines Wachpostens namens Osbert am Kohlenstaub-Bahnhof. Biete ihm zur Sicherheit <SheetDe(Item,1,　4552,1,4,1)/> an."
2,"TEXT_SUBWIL074_00388_SEQ_02","Osbert war in der Tat verletzt. Zum Glück erholte er sich dank deiner Gabe vollständig von einer Wunde, die er sich selber mit einem Stein zugezogen hat. Osbert vertraut darauf, dass du angesichts der Umstände Stillschweigen ob des Vorfalls bewahrst."
3,"TEXT_SUBWIL074_00388_SEQ_03",""
4,"TEXT_SUBWIL074_00388_SEQ_04",""
5,"TEXT_SUBWIL074_00388_SEQ_05",""
6,"TEXT_SUBWIL074_00388_SEQ_06",""
7,"TEXT_SUBWIL074_00388_SEQ_07",""
8,"TEXT_SUBWIL074_00388_SEQ_08",""
9,"TEXT_SUBWIL074_00388_SEQ_09",""
10,"TEXT_SUBWIL074_00388_SEQ_10",""
11,"TEXT_SUBWIL074_00388_SEQ_11",""
12,"TEXT_SUBWIL074_00388_SEQ_12",""
13,"TEXT_SUBWIL074_00388_SEQ_13",""
14,"TEXT_SUBWIL074_00388_SEQ_14",""
15,"TEXT_SUBWIL074_00388_SEQ_15",""
16,"TEXT_SUBWIL074_00388_SEQ_16",""
17,"TEXT_SUBWIL074_00388_SEQ_17",""
18,"TEXT_SUBWIL074_00388_SEQ_18",""
19,"TEXT_SUBWIL074_00388_SEQ_19",""
20,"TEXT_SUBWIL074_00388_SEQ_20",""
21,"TEXT_SUBWIL074_00388_SEQ_21",""
22,"TEXT_SUBWIL074_00388_SEQ_22",""
23,"TEXT_SUBWIL074_00388_SEQ_23",""
24,"TEXT_SUBWIL074_00388_TODO_00","Osbert <SheetDe(Item,1,　4552,1,4,1)/> anbieten"
25,"TEXT_SUBWIL074_00388_TODO_01",""
26,"TEXT_SUBWIL074_00388_TODO_02",""
27,"TEXT_SUBWIL074_00388_TODO_03",""
28,"TEXT_SUBWIL074_00388_TODO_04",""
29,"TEXT_SUBWIL074_00388_TODO_05",""
