key,0,1
#,,
int32,str,str
0,"TEXT_CLSACN300_00461_SEQ_00","Stellvertretende Gildenmeisterin Thubyrgeim hat einen Auftrag von K'lyhia für dich."
1,"TEXT_CLSACN300_00461_SEQ_01","K'lyhia hat eine einmalige Strategie für die Begegnung mit Doesmaga entwickelt. Tatsächlich ist die Operation bereits angelaufen. Finde den Fischer Rhylzirn und gib ihm <SheetDe(EventItem,2,2000885,1,4,1)/>."
2,"TEXT_CLSACN300_00461_SEQ_02","Rhylzirn hat dir etwas gegeben, das du zu Ofpilona, einer Köchin an der Sonnenküste, bringen sollst: <SheetDe(EventItem,1,2000886,1,4,1)/>. "
3,"TEXT_CLSACN300_00461_SEQ_03","Ofpilona hat dir <SheetDe(EventItem,1,2000887,1,4,1)/> für Gegeruju gegeben. Ihn findest du auch an der Sonnenküste."
4,"TEXT_CLSACN300_00461_SEQ_04","Nachdem du Gegeruju <SheetDe(EventItem,2,2000887,1,4,1)/> überreicht hast, hat er dir <SheetDe(EventItem,1,2000888,1,4,1)/> für die Tänzerin Ealdgyth gegeben."
5,"TEXT_CLSACN300_00461_SEQ_05","Ealdgyth hat dir <SheetDe(EventItem,1,2000890,1,4,1)/> für Lagervorsteher Drogo gegeben."
6,"TEXT_CLSACN300_00461_SEQ_06","Drogo hat dir <SheetDe(EventItem,1,2000891,1,4,1)/> für einen Matrosen im „Fliegenden Haifisch“ gegeben."
7,"TEXT_CLSACN300_00461_SEQ_07","Du hast <SheetDe(EventItem,1,2000891,1,4,1)/> abgeliefert und bist auf Doesmagas Schiff eingeladen worden. Sprich mit dem Matrosen auf dem Landungssteg an der Sonnenküste, der dich auf das Schiff bringen soll."
8,"TEXT_CLSACN300_00461_SEQ_08","Es ist euch gelungen, Doesmaga dingfest zu machen. Nachdem K'lyhia endlich von den Fesseln ihrer Ver<SoftHyphen/>gangen<SoftHyphen/>heit befreit ist, hat sie herausgefunden, was ihr größter Traum ist: den Gildenmeister, dem sie so viel zu verdanken hat, wiederzutreffen. Berichte Thubyrgeim in der Hermetikergilde von den Ereignissen."
9,"TEXT_CLSACN300_00461_SEQ_09","Gib Thubyrgeim <SheetDe(EventItem,2,2000889,1,4,1)/>."
