key,0,1
#,,
int32,str,str
0,"TEXT_CLSALC050_00578_SEQ_00","Gildenmeister Severian scheint dich völlig vergessen zu haben."
1,"TEXT_CLSALC050_00578_SEQ_01","Nachdem du dich bei Meister Severian wieder in Erinnerung gerufen hast, hat er dir einen neuen Auftrag erteilt, um dir ein weiteres grundlegendes alchemistisches Prinzip nahezubringen. Synthetisiere drei <SheetDe(Item,5,4564,2,4,1)/> und liefere sie bei deinem exzentrischen Meister ab."
2,"TEXT_CLSALC050_00578_SEQ_02","Meister Severian ist mit dem Ergebnis deiner Synthese zufrieden. Nun sollst du tiefer in die Welt der Alchemie eintauchen, bis du solche Freude daran findest, dass du kaum noch an Essen oder Schlafen denkst.

※ Sobald du als <If(PlayerParameter(4))>Alchemistin<Else/>Alchemist</If> Stufe 10 erreicht hast, kannst du von Severian einen neuen Auftrag erhalten."
3,"TEXT_CLSALC050_00578_SEQ_03",""
4,"TEXT_CLSALC050_00578_SEQ_04",""
5,"TEXT_CLSALC050_00578_SEQ_05",""
6,"TEXT_CLSALC050_00578_SEQ_06",""
7,"TEXT_CLSALC050_00578_SEQ_07",""
8,"TEXT_CLSALC050_00578_SEQ_08",""
9,"TEXT_CLSALC050_00578_SEQ_09",""
10,"TEXT_CLSALC050_00578_SEQ_10",""
11,"TEXT_CLSALC050_00578_SEQ_11",""
12,"TEXT_CLSALC050_00578_SEQ_12",""
13,"TEXT_CLSALC050_00578_SEQ_13",""
14,"TEXT_CLSALC050_00578_SEQ_14",""
15,"TEXT_CLSALC050_00578_SEQ_15",""
16,"TEXT_CLSALC050_00578_SEQ_16",""
17,"TEXT_CLSALC050_00578_SEQ_17",""
18,"TEXT_CLSALC050_00578_SEQ_18",""
19,"TEXT_CLSALC050_00578_SEQ_19",""
20,"TEXT_CLSALC050_00578_SEQ_20",""
21,"TEXT_CLSALC050_00578_SEQ_21",""
22,"TEXT_CLSALC050_00578_SEQ_22",""
23,"TEXT_CLSALC050_00578_SEQ_23",""
24,"TEXT_CLSALC050_00578_TODO_00","<Clickable(<SheetDe(Item,5,4564,2,4,1)/>)/> bei Severian abgeben"
25,"TEXT_CLSALC050_00578_TODO_01",""
26,"TEXT_CLSALC050_00578_TODO_02",""
27,"TEXT_CLSALC050_00578_TODO_03",""
