key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSB204_00835_SEQ_00","Fyrilsunn braucht Hilfe im Kampf gegen die Kobolde."
1,"TEXT_GAIUSB204_00835_SEQ_01","Die Kobolde führen irgendetwas mit ihren <SheetDe(EObj,5,2002053,2,3,1)/> im Schilde. Zerstöre drei der Maschinen mit <SheetDe(EventItem,5,2000651,2,3,1)/>, bevor Schlimmeres passiert."
2,"TEXT_GAIUSB204_00835_SEQ_02","<Clickable(<SheetDe(EObj,2,2002053,2,1,1)/>)/> sind zerstört. Erstatte Fyrilsunn an der Sonnenküste Bericht."
3,"TEXT_GAIUSB204_00835_SEQ_03","Fyrilsunn befürchtet, dass die Gefahr noch nicht gebannt ist. Er wird auf dich zurückkommen, wenn es nötig wird."
4,"TEXT_GAIUSB204_00835_SEQ_04",""
5,"TEXT_GAIUSB204_00835_SEQ_05",""
6,"TEXT_GAIUSB204_00835_SEQ_06",""
7,"TEXT_GAIUSB204_00835_SEQ_07",""
8,"TEXT_GAIUSB204_00835_SEQ_08",""
9,"TEXT_GAIUSB204_00835_SEQ_09",""
10,"TEXT_GAIUSB204_00835_SEQ_10",""
11,"TEXT_GAIUSB204_00835_SEQ_11",""
12,"TEXT_GAIUSB204_00835_SEQ_12",""
13,"TEXT_GAIUSB204_00835_SEQ_13",""
14,"TEXT_GAIUSB204_00835_SEQ_14",""
15,"TEXT_GAIUSB204_00835_SEQ_15",""
16,"TEXT_GAIUSB204_00835_SEQ_16",""
17,"TEXT_GAIUSB204_00835_SEQ_17",""
18,"TEXT_GAIUSB204_00835_SEQ_18",""
19,"TEXT_GAIUSB204_00835_SEQ_19",""
20,"TEXT_GAIUSB204_00835_SEQ_20",""
21,"TEXT_GAIUSB204_00835_SEQ_21",""
22,"TEXT_GAIUSB204_00835_SEQ_22",""
23,"TEXT_GAIUSB204_00835_SEQ_23",""
24,"TEXT_GAIUSB204_00835_TODO_00","<Clickable(<SheetDe(EObj,5,2002053,2,4,1)/>)/> mit <SheetDe(EventItem,5,2000651,2,3,1)/> zerstören"
25,"TEXT_GAIUSB204_00835_TODO_01","Fyrilsunn Bericht erstatten"
26,"TEXT_GAIUSB204_00835_TODO_02",""
27,"TEXT_GAIUSB204_00835_TODO_03",""
28,"TEXT_GAIUSB204_00835_TODO_04",""
29,"TEXT_GAIUSB204_00835_TODO_05",""
30,"TEXT_GAIUSB204_00835_TODO_06",""
31,"TEXT_GAIUSB204_00835_TODO_07",""
32,"TEXT_GAIUSB204_00835_TODO_08",""
33,"TEXT_GAIUSB204_00835_TODO_09",""
34,"TEXT_GAIUSB204_00835_TODO_10",""
35,"TEXT_GAIUSB204_00835_TODO_11",""
36,"TEXT_GAIUSB204_00835_TODO_12",""
37,"TEXT_GAIUSB204_00835_TODO_13",""
38,"TEXT_GAIUSB204_00835_TODO_14",""
39,"TEXT_GAIUSB204_00835_TODO_15",""
40,"TEXT_GAIUSB204_00835_TODO_16",""
41,"TEXT_GAIUSB204_00835_TODO_17",""
42,"TEXT_GAIUSB204_00835_TODO_18",""
43,"TEXT_GAIUSB204_00835_TODO_19",""
44,"TEXT_GAIUSB204_00835_TODO_20",""
45,"TEXT_GAIUSB204_00835_TODO_21",""
46,"TEXT_GAIUSB204_00835_TODO_22",""
47,"TEXT_GAIUSB204_00835_TODO_23",""
48,"TEXT_GAIUSB204_00835_FYRILSUNN_000_000","Die Kobolde haben <SheetDe(EObj,5,2002053,2,4,1)/> aufgefahren und führen irgendetwas damit im Schilde. Welchen Höllenplan haben sie jetzt wieder ausgeheckt?"
49,"TEXT_GAIUSB204_00835_FYRILSUNN_000_001","Wir müssen handeln, bevor die Kobolde ihren Plan ausführen können! Hilfst du mir, gegen diese unerhörte Provokation vorzugehen? Hier, nimm <SheetDe(EventItem,2,2000651,2,4,1)/> und sprenge damit die Maschinen der Kobolde in die Luft."
50,"TEXT_GAIUSB204_00835_DUMMY_000_010","（コボルド精錬機（可視）に「爆薬」を使う
　ボムが２匹ポップ。それを倒す。※３匹）"
51,"TEXT_GAIUSB204_00835_FYRILSUNN_000_020","Ich hab den Wumms bis hierhin gehört! Gute Arbeit, <If(PlayerParameter(4))>Abenteurerin<Else/>Abenteurer</If>. Denen hätten wir einen gehörigen Strich durch die Rechnung gemacht."
52,"TEXT_GAIUSB204_00835_FYRILSUNN_000_021","Ich bin mir zwar nicht sicher, ob die Kobolde <Emphasis>wirklich</Emphasis> einen Angriff geplant hatten, aber es sah doch so aus, meinst du nicht? Fürs Erste sollten wir in Sicherheit sein, aber sobald sich wieder eine Gefahr abzeichnet, werde ich dich um Hilfe bitten."
53,"TEXT_GAIUSB204_00835_POP_MESSAGE_000","Du spürst eine feindliche Präsenz!"
