key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSE108_01182_SEQ_00","Slafborn hat eine ausgefallene Idee, wie er die Verteidigungsmauern von Geisterzoll stärken könnte."
1,"TEXT_GAIUSE108_01182_SEQ_01","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/> Dieser Auftrag wurde inhaltlich geändert. Um den Auftrag wie vorgesehen zu spielen, ist es erforderlich, ihn abzubrechen und bei Slafborn in Geisterzoll neu anzunehmen.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※ Der nächste Auftrag des Hauptszenarios wird auch im Szenarioführer angezeigt. Er kann in den UI-Einstellungen (Hauptmenü → Charakter<SoftHyphen/>konfiguration) ein- und ausgeschaltet werden."
2,"TEXT_GAIUSE108_01182_SEQ_02","Du hast Bibimu vor dem Versunkenen Tempel von Qarn gefunden. Dringe in den Tempel ein und finde <SheetDe(EventItem,1,2001078,1,4,1)/>.

※ Der Versunkene Tempel von Qarn kann über die Inhaltssuche betreten werden."
3,"TEXT_GAIUSE108_01182_SEQ_03","Du hast <SheetDe(EventItem,1,2001078,1,4,1)/> ergattert. Bringe ihn zu Slafborn in Geisterzoll."
4,"TEXT_GAIUSE108_01182_SEQ_04","Du hast Slafborn <SheetDe(EventItem,2,2001078,1,4,1)/> überreicht. Er ist überzeugt, dass die Verteidigungsmauern von Geisterzoll jedem Angriff widerstehen werden."
5,"TEXT_GAIUSE108_01182_SEQ_05",""
6,"TEXT_GAIUSE108_01182_SEQ_06",""
7,"TEXT_GAIUSE108_01182_SEQ_07",""
8,"TEXT_GAIUSE108_01182_SEQ_08",""
9,"TEXT_GAIUSE108_01182_SEQ_09",""
10,"TEXT_GAIUSE108_01182_SEQ_10",""
11,"TEXT_GAIUSE108_01182_SEQ_11",""
12,"TEXT_GAIUSE108_01182_SEQ_12",""
13,"TEXT_GAIUSE108_01182_SEQ_13",""
14,"TEXT_GAIUSE108_01182_SEQ_14",""
15,"TEXT_GAIUSE108_01182_SEQ_15",""
16,"TEXT_GAIUSE108_01182_SEQ_16",""
17,"TEXT_GAIUSE108_01182_SEQ_17",""
18,"TEXT_GAIUSE108_01182_SEQ_18",""
19,"TEXT_GAIUSE108_01182_SEQ_19",""
20,"TEXT_GAIUSE108_01182_SEQ_20",""
