key,0,1
#,,
int32,str,str
0,"TEXT_BANIXA405_01502_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※ Dieser Auftrag wird für Charaktere ab Stufe 47 als Krieger oder Magier und ab Stufe 10 als Handwerker empfohlen.

Tazel Meyean hat einen eiligen Auftrag für dich."
1,"TEXT_BANIXA405_01502_SEQ_01","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> Die Schwierigkeit des Auftrags wird an die aktuelle Stufe angepasst.

Tazel Meyean bittet dich, 2 <SheetDe(ItemHQ,5,　8109,2,4,1)/> herzustellen. Geh zu Eugenias Wachturm und frage Miah Molkot danach, wo du das Material finden kannst."
2,"TEXT_BANIXA405_01502_SEQ_02","Miah Molkot hat dir gesagt, dass du <SheetDe(EventItem,2,2001395,1,4,1)/> bei den Qiqirn-Unholden finden kannst. Geh zum Stolzbach und besiege <SheetDe(BNpcName,5,2989,2,4,1)/>, bis du drei gesammelt hast."
3,"TEXT_BANIXA405_01502_SEQ_03","Du hast <SheetDe(EventItem,2,2001395,2,4,1)/>. Bring sie zu Hildeyerd am Herbstkürbis-See und bitte sie um Erlaubnis, ihre Arbeitsstätte nutzen zu dürfen."
4,"TEXT_BANIXA405_01502_SEQ_04","Hildeyerd hat dir erlaubt, die Arbeitsstätte zu benutzen. Stelle aus <SheetDe(Item,2,　8070,1,3,1)/> 2 <SheetDe(ItemHQ,5,　8109,2,4,1)/> her und bringe sie zu Tazel Meyean in Ehcatl.

※ Falls du den Status <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Arbeitsstätte: Feinarbeit<UIGlow>01</UIGlow><UIForeground>01</UIForeground> verlierst oder die Synthese ein Fehlschlag ist, sprich mit Hildeyerd, um einen erneuten Versuch zu starten."
5,"TEXT_BANIXA405_01502_SEQ_05","Du hast <SheetDe(ItemHQ,2,　8109,1,4,1)/> bei Tazel Meyean abgeliefert. Er fürchtet allerdings, dass immer noch viele Gridanier feindselige Gefühle gegen seine Ixal hegen."
6,"TEXT_BANIXA405_01502_SEQ_06",""
7,"TEXT_BANIXA405_01502_SEQ_07",""
