key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ610_01878_SEQ_00","Maenne scheint ein seltsames Gefühl zu beschleichen."
1,"TEXT_HEAVNZ610_01878_SEQ_01","Es steht fest, wo das Lager des Forscherteams aufgeschlagen werden soll, doch Maenne beschleicht seit der Ankunft ein ungutes Gefühl. Sie bittet dich, die Umgebung nach Drachen abzusuchen und selbst<SoftHyphen/>verständ<SoftHyphen/>lich auch, sie zu besiegen, damit das Team unbehelligt mit seinen Erkundungen beginnen kann."
2,"TEXT_HEAVNZ610_01878_SEQ_02","Du hast alle <SheetDe(BNpcName,5,4294,2,4,1)/>, die in der Gegend lauerten, besiegt. Erstatte Maenne Bericht!"
3,"TEXT_HEAVNZ610_01878_SEQ_03","Es scheint, als wäre das Forscherteam nicht unbemerkt an sein Ziel gelangt. Nun heißt es, die Erkundungen so schnell wie möglich zu beginnen."
4,"TEXT_HEAVNZ610_01878_SEQ_04",""
5,"TEXT_HEAVNZ610_01878_SEQ_05",""
6,"TEXT_HEAVNZ610_01878_SEQ_06",""
7,"TEXT_HEAVNZ610_01878_SEQ_07",""
8,"TEXT_HEAVNZ610_01878_SEQ_08",""
9,"TEXT_HEAVNZ610_01878_SEQ_09",""
10,"TEXT_HEAVNZ610_01878_SEQ_10",""
11,"TEXT_HEAVNZ610_01878_SEQ_11",""
12,"TEXT_HEAVNZ610_01878_SEQ_12",""
13,"TEXT_HEAVNZ610_01878_SEQ_13",""
14,"TEXT_HEAVNZ610_01878_SEQ_14",""
15,"TEXT_HEAVNZ610_01878_SEQ_15",""
16,"TEXT_HEAVNZ610_01878_SEQ_16",""
17,"TEXT_HEAVNZ610_01878_SEQ_17",""
18,"TEXT_HEAVNZ610_01878_SEQ_18",""
19,"TEXT_HEAVNZ610_01878_SEQ_19",""
20,"TEXT_HEAVNZ610_01878_SEQ_20",""
21,"TEXT_HEAVNZ610_01878_SEQ_21",""
22,"TEXT_HEAVNZ610_01878_SEQ_22",""
23,"TEXT_HEAVNZ610_01878_SEQ_23",""
24,"TEXT_HEAVNZ610_01878_TODO_00","Die Drachen in der Umgebung besiegen"
25,"TEXT_HEAVNZ610_01878_TODO_01","Maenne Bericht erstatten"
26,"TEXT_HEAVNZ610_01878_TODO_02",""
27,"TEXT_HEAVNZ610_01878_TODO_03",""
28,"TEXT_HEAVNZ610_01878_TODO_04",""
29,"TEXT_HEAVNZ610_01878_TODO_05",""
30,"TEXT_HEAVNZ610_01878_TODO_06",""
31,"TEXT_HEAVNZ610_01878_TODO_07",""
32,"TEXT_HEAVNZ610_01878_TODO_08",""
33,"TEXT_HEAVNZ610_01878_TODO_09",""
34,"TEXT_HEAVNZ610_01878_TODO_10",""
35,"TEXT_HEAVNZ610_01878_TODO_11",""
36,"TEXT_HEAVNZ610_01878_TODO_12",""
37,"TEXT_HEAVNZ610_01878_TODO_13",""
38,"TEXT_HEAVNZ610_01878_TODO_14",""
39,"TEXT_HEAVNZ610_01878_TODO_15",""
40,"TEXT_HEAVNZ610_01878_TODO_16",""
41,"TEXT_HEAVNZ610_01878_TODO_17",""
42,"TEXT_HEAVNZ610_01878_TODO_18",""
43,"TEXT_HEAVNZ610_01878_TODO_19",""
44,"TEXT_HEAVNZ610_01878_TODO_20",""
45,"TEXT_HEAVNZ610_01878_TODO_21",""
46,"TEXT_HEAVNZ610_01878_TODO_22",""
47,"TEXT_HEAVNZ610_01878_TODO_23",""
48,"TEXT_HEAVNZ610_01878_AIRPORTINVESTIGATOR01871_000_011","Dass es einen so unheimlich anmutenden Ort im Wolkenmeer gibt. Alles hier wirkt so verfallen ..."
49,"TEXT_HEAVNZ610_01878_MAENNE_000_000","Seit unserer Ankunft schon habe ich dieses ungute Gefühl ... Als würde uns jemand beobachten ..."
50,"TEXT_HEAVNZ610_01878_MAENNE_000_001","Für unsere Erkundungen ist es am besten, wenn wir unser Lager hier aufschlagen. Aber ich würde mich dabei sicherer fühlen, wenn du die Gegend nach Drachen absuchen könntest. Ich hoffe, das ist nicht zu viel verlangt."
51,"TEXT_HEAVNZ610_01878_MAENNE_000_010","Ich wäre dir sehr dankbar, wenn du einen Rundgang machen und nach gefährlichen Drachen Ausschau halten könntest."
52,"TEXT_HEAVNZ610_01878_BALOON_000_015","Z-Ziiisch!!! Ich wurde entdeckt!!!"
53,"TEXT_HEAVNZ610_01878_MAENNE_000_020","Bösartige Drachen, sagst du? Mein Gefühl hat mich also nicht getäuscht. Ich hatte gehofft, dass wir es von den Drachen unbemerkt hierher schaffen würden. Dem ist wohl nicht so."
54,"TEXT_HEAVNZ610_01878_MAENNE_000_021","Wir müssen also unverzüglich mit unseren Forschungen beginnen. Ich hoffe, wir können uns auch weiterhin auf deine Unterstützung verlassen, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>."
55,"TEXT_HEAVNZ610_01878_MAENNE_000_022","（★未使用／削除予定★）"
