key,0,1
#,,
int32,str,str
0,"TEXT_CLSARM550_02040_SEQ_00","Blanstyr scheint schlechte Laune zu haben. Irgendetwas hat ihn wohl verärgert."
1,"TEXT_CLSARM550_02040_SEQ_01","Ein Kunde hat sich bei Blanstyr über eine von ihm gefertigte Rüstung beschwert. Sprich in der Ertränkten Sorge in Limsa Lominsa mit Benathaire."
2,"TEXT_CLSARM550_02040_SEQ_02","Du hast von Benathaire den Auftrag bekommen, eine robuste und dennoch ansehnliche Pikeniersrüstung herzustellen. Berate dich mit H'naanza, wie du dabei am besten vorgehst."
3,"TEXT_CLSARM550_02040_SEQ_03","H'naanza schlägt dir vor, für diese Art von Rüstung den Expertenrat eines Webers und eines Goldschmieds einzuholen. Dazu begibst du dich am besten nach Ul'dah und suchst den Gildenmeister der Webergilde, Duftende Rose, und die Gildenmeisterin der Goldschmiede, Serendipity, auf."
4,"TEXT_CLSARM550_02040_SEQ_04","Du hast wertvolle Hinweise für die Anfertigung der Pikeniersrüstung von Duftende Rose und Serendipity erhalten. Kehre zurück in die Plattnergilde und erstatte H'naanza Bericht."
5,"TEXT_CLSARM550_02040_SEQ_05","Nachdem sich H'naanza angehört hat, was für Ratschläge du von den Experten auf ihren jeweiligen Handwerksgebieten erhalten hast, empfiehlt es sich ihrer Meinung nach, <SheetDe(ItemHQ,1,10721,1,4,1)/> anzufertigen. Sobald du eine solche Rüstung hergestellt hast, übergib sie Benathaire in der Ertränkten Sorge."
6,"TEXT_CLSARM550_02040_SEQ_06","Du hast Benathaire <SheetDe(ItemHQ,2,10721,1,4,1)/> überreicht. Nach langer Zeit scheint Blanstyr endlich beschlossen zu haben, sich lernbereit zu zeigen und künftig auch Ratschläge von H'naanza anzunehmen. Dass du in dieser Hinsicht mit so gutem Beispiel vorangehst, scheint tatsächlich Früchte zu tragen. Und auch wenn es in Benathaires Truppe gerade etwas Streit zu geben scheint, warten sicherlich noch weitere Gelegenheiten für dich, ihnen mit deinen Hand<SoftHyphen/>werks<SoftHyphen/>künsten aushelfen zu können. 

※ Sobald du als Plattner<If(PlayerParameter(4))>in<Else/></If> Stufe 58 erreicht hast, kannst du von Blanstyr den nächsten Auftrag erhalten."
7,"TEXT_CLSARM550_02040_SEQ_07",""
8,"TEXT_CLSARM550_02040_SEQ_08",""
