key,0,1
#,,
int32,str,str
0,"TEXT_BANVAN501_02193_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Muna Vanus kleine Äuglein blinzeln dich hilfesuchend an."
1,"TEXT_BANVAN501_02193_SEQ_01","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)

Gemüsebäuerin Ranu Vali scheint eine helfende Hand zu benötigen. Geh zu ihr hin und hör dir ihr Anliegen an."
2,"TEXT_BANVAN501_02193_SEQ_02","Gemüsebäuerin Ranu Vali hat dich gebeten, für sie Korriganen zu besorgen. Diese Pflanzen stoßen beim Herausziehen aus der Erde einen entsetzlichen Todesschrei aus, der für die Vanu Vanu unerträglich ist. Begib dich zum Letzten Schritt und ziehe vier Korriganen heraus."
3,"TEXT_BANVAN501_02193_SEQ_03","Dir ist es gelungen, die Korriganen aus der Erde zu ziehen, ohne einen bleibenden Gehörschaden davonzutragen. Übergib sie an Ranu Vali."
4,"TEXT_BANVAN501_02193_SEQ_04","Ranu Vali dankt dir überschwänglich für die Korriganen. Sie will das Stammesgericht der Gundo herstellen - in Honig eingelegte Korriganen - und damit die Zundo-Frauen bewirten. Auch die Liebe zwischen Völkern geht durch den Magen!"
5,"TEXT_BANVAN501_02193_SEQ_05",""
6,"TEXT_BANVAN501_02193_SEQ_06",""
7,"TEXT_BANVAN501_02193_SEQ_07",""
8,"TEXT_BANVAN501_02193_SEQ_08",""
9,"TEXT_BANVAN501_02193_SEQ_09",""
10,"TEXT_BANVAN501_02193_SEQ_10",""
11,"TEXT_BANVAN501_02193_SEQ_11",""
12,"TEXT_BANVAN501_02193_SEQ_12",""
13,"TEXT_BANVAN501_02193_SEQ_13",""
14,"TEXT_BANVAN501_02193_SEQ_14",""
15,"TEXT_BANVAN501_02193_SEQ_15",""
16,"TEXT_BANVAN501_02193_SEQ_16",""
17,"TEXT_BANVAN501_02193_SEQ_17",""
18,"TEXT_BANVAN501_02193_SEQ_18",""
19,"TEXT_BANVAN501_02193_SEQ_19",""
