key,0,1
#,,
int32,str,str
0,"TEXT_JOBDRK299_02110_SEQ_00",""
1,"TEXT_JOBDRK299_02110_SEQ_01",""
2,"TEXT_JOBDRK299_02110_SEQ_02",""
3,"TEXT_JOBDRK299_02110_SEQ_03",""
4,"TEXT_JOBDRK299_02110_SEQ_04",""
5,"TEXT_JOBDRK299_02110_SEQ_05",""
6,"TEXT_JOBDRK299_02110_SEQ_06",""
7,"TEXT_JOBDRK299_02110_SEQ_07",""
8,"TEXT_JOBDRK299_02110_SEQ_08",""
9,"TEXT_JOBDRK299_02110_SEQ_09",""
10,"TEXT_JOBDRK299_02110_SEQ_10",""
11,"TEXT_JOBDRK299_02110_SEQ_11",""
12,"TEXT_JOBDRK299_02110_SEQ_12",""
13,"TEXT_JOBDRK299_02110_SEQ_13",""
14,"TEXT_JOBDRK299_02110_SEQ_14",""
15,"TEXT_JOBDRK299_02110_SEQ_15",""
16,"TEXT_JOBDRK299_02110_SEQ_16",""
17,"TEXT_JOBDRK299_02110_SEQ_17",""
18,"TEXT_JOBDRK299_02110_SEQ_18",""
19,"TEXT_JOBDRK299_02110_SEQ_19",""
20,"TEXT_JOBDRK299_02110_SEQ_20",""
21,"TEXT_JOBDRK299_02110_SEQ_21",""
22,"TEXT_JOBDRK299_02110_SEQ_22",""
23,"TEXT_JOBDRK299_02110_SEQ_23",""
24,"TEXT_JOBDRK299_02110_TODO_00",""
25,"TEXT_JOBDRK299_02110_TODO_01",""
26,"TEXT_JOBDRK299_02110_TODO_02",""
27,"TEXT_JOBDRK299_02110_TODO_03",""
28,"TEXT_JOBDRK299_02110_TODO_04",""
29,"TEXT_JOBDRK299_02110_TODO_05",""
30,"TEXT_JOBDRK299_02110_TODO_06",""
31,"TEXT_JOBDRK299_02110_TODO_07",""
32,"TEXT_JOBDRK299_02110_TODO_08",""
33,"TEXT_JOBDRK299_02110_TODO_09",""
34,"TEXT_JOBDRK299_02110_TODO_10",""
35,"TEXT_JOBDRK299_02110_TODO_11",""
36,"TEXT_JOBDRK299_02110_TODO_12",""
37,"TEXT_JOBDRK299_02110_TODO_13",""
38,"TEXT_JOBDRK299_02110_TODO_14",""
39,"TEXT_JOBDRK299_02110_TODO_15",""
40,"TEXT_JOBDRK299_02110_TODO_16",""
41,"TEXT_JOBDRK299_02110_TODO_17",""
42,"TEXT_JOBDRK299_02110_TODO_18",""
43,"TEXT_JOBDRK299_02110_TODO_19",""
44,"TEXT_JOBDRK299_02110_TODO_20",""
45,"TEXT_JOBDRK299_02110_TODO_21",""
46,"TEXT_JOBDRK299_02110_TODO_22",""
47,"TEXT_JOBDRK299_02110_TODO_23",""
48,"TEXT_JOBDRK299_02110_CITIZEN02053_000_000","Es sind eiskalte Tage wie heute, an denen ich stolz bin, ein Bürger Ishgards zu sein. Und ehrfürchtiger Diener Halones - gepriesen sei die Furie!"
49,"TEXT_JOBDRK299_02110_CITIZEN02053_000_001","Ich komme gerade von einem Gottesurteil. Halone hat in ihrer grenzenlosen Raserei ihr Urteil gefällt und den Ketzer niedergestreckt."
50,"TEXT_JOBDRK299_02110_CITIZEN02053_000_002","Für eine Weile sah es gar nicht so schlecht aus für den Schwertkämpfer."
51,"TEXT_JOBDRK299_02110_CITIZEN02053_000_003","Man sagt, er sei ein Dunkelritter gewesen. Eine Schande, diese Kerle ... Mischen sich überall ein."
52,"TEXT_JOBDRK299_02110_CITIZEN02053_000_004","Hm? Du weißt nicht, was das ist, ein Dunkelritter?"
53,"TEXT_JOBDRK299_02110_Q1_000_005","Möchtest du mehr über Dunkelritter erfahren?"
54,"TEXT_JOBDRK299_02110_A1_000_006","Ja"
55,"TEXT_JOBDRK299_02110_A2_000_007","Nein"
56,"TEXT_JOBDRK299_02110_CITIZEN02053_000_010","Beschützer der Schwachen ... Verteidiger der Schutzlosen ... Pah! Ich sag dir, nur ein toter Dunkelritter ist ein guter Dunkelritter."
57,"TEXT_JOBDRK299_02110_CITIZEN02053_000_011","Sie sind bekannt dafür, sich in fremde An<SoftHyphen/>ge<SoftHyphen/>legen<SoftHyphen/>heiten einzumischen und ehrbare Tempelritter dabei zu stören, Halones Willen auszuführen. Aber ich wollte dir doch eigentlich von dem Gottesurteil erzählen ..."
58,"TEXT_JOBDRK299_02110_CITIZEN02053_000_015","Sehr weise von dir. Über solche Dinge spricht man besser nicht zu laut. Vergiss, dass ich überhaupt davon gesprochen habe."
