key,0,1
#,,
int32,str,str
0,"TEXT_FESXMS202_02376_SEQ_00","※ Dieser Auftrag ist nur für die Dauer des saisonalen Ereignisses verfügbar.

Der schwarzhaarige Arzt aus Frondales Physiatrischer Akademie möchte dich um einen Gefallen bitten."
1,"TEXT_FESXMS202_02376_SEQ_01","※ Dieser Auftrag kann nur für die Dauer des saisonalen Ereignisses angenommen und gespielt werden. Nach Ende des saisonalen Ereignisses kann er nicht mehr abgeschlossen werden. Weitere Informationen findest du auf dem Lodestone.

Der schwarzhaarige Arzt bittet dich, verkleidet als Kleines Helferlein des Heiligen Geschenke zu verteilen. Zieh <SheetDe(Item,2,16612,1,4,1)/> an und verteil <SheetDe(EventItem,2,2002014,2,4,1)/> an die Kinder in der Kinderabteilung von Frondales Physiatrischer Akademie. Sprich am Eingang mit dem Alchemisten der Akademie, um eingelassen zu werden."
2,"TEXT_FESXMS202_02376_SEQ_02","Du hast allen anwesenden Kindern ein Geschenk gegeben, aber ein Geschenk ist übrig geblieben. Zeig es dem schwarzhaarigen Arzt in der Kinderabteilung."
3,"TEXT_FESXMS202_02376_SEQ_03","Der Arzt hat bemerkt, dass ein Junge namens Reauverre aus der Kinderabteilung weggelaufen ist. Es kann gut sein, dass es sich bei dem ruhigen Jungen, dem du vor kurzem begegnet bist, um Reauverre handelt. Suche ihn auf dem Rubinstraßenmarkt in Ul'dah."
4,"TEXT_FESXMS202_02376_SEQ_04","Der ruhige Junge beobachtet mit traurigem Blick einen Vater mit seinem Sohn. Er gibt zu, dass er Reauverre heißt, und verspricht, zu Frondales Physiatrischer Akademie zurückzugehen. Erzähle dem schwarzhaarigen Arzt auf dem Rubinstraßenmarkt davon."
5,"TEXT_FESXMS202_02376_SEQ_05","Der schwarzhaarige Arzt ist beruhigt, dass du den vermissten Jungen gefunden hast. Folge dem Arzt zurück zur Kinderabteilung von Frondales Physiatrischer Akademie."
6,"TEXT_FESXMS202_02376_SEQ_06","Als du die Kinderstation betrittst, bekommst du gerade noch mit, wie sich Reauverre und der schwarzhaarige Arzt streiten. Reauverre verlangt wütend, in Ruhe gelassen zu werden, und rennt aus dem Zimmer, doch dabei bricht er bewusstlos zusammen. Der Arzt macht sich große Sorgen und weiß immer noch nicht, warum ihm Reauverre einen Streich spielen wollte. Vielleicht kannst du mehr über den Jungen herausfinden."
7,"TEXT_FESXMS202_02376_SEQ_07",""
