key,0,1
#,,
int32,str,str
0,"TEXT_JOBPLD650_02573_SEQ_00","Mylla freut sich auf die Vorkämpfe der Nald-Gruppe, an denen sie selbst teilnehmen wird."
1,"TEXT_JOBPLD650_02573_SEQ_01","Die Vorkämpfe der Nald-Gruppe stehen kurz bevor. Melde dich beim Platzanweiser am Kolosseum, wenn du dir die Vorkämpfe ansehen möchtest."
2,"TEXT_JOBPLD650_02573_SEQ_02","Du beobachtest gespannt die Zweikämpfe der Nald-Gruppe, die mit einer Überraschung enden. Den Gruppensieg trägt der bis dahin unbekannte Schwertkämpfer Schwarzer Lotus davon. Sprich im Kolosseum mit den unterlegenen Kämpfern, dem Schönen Franz und Constaint."
3,"TEXT_JOBPLD650_02573_SEQ_03","Der Schöne Franz und Constaint zeigen sich als gute Verlierer und wünschen dir viel Glück. Sprich mit Gildenmeisterin Mylla über den Kampf."
4,"TEXT_JOBPLD650_02573_SEQ_04","Mylla ist etwas zerknirscht, dass sie von Schwarzer Lotus besiegt wurde, doch sie hofft, dass du im Endkampf die Ehre der Gladia<SoftHyphen/>toren<SoftHyphen/>gilde retten wirst. Mylla richtet dir aus, dass Schwarzer Lotus mit dir sprechen möchte. Warte im Treibsand in Ul'dah auf ihn."
5,"TEXT_JOBPLD650_02573_SEQ_05","Im Treibsand beobachtest du, wie Schwarzer Lotus von einem Lalafell bedroht wird. Danach bleibt ihm offensichtlich keine Zeit mehr. Er entschuldigt sich und bittet dich, euer Treffen auf einen späteren Zeitpunkt zu verschieben. Erzähle Mylla in der Gladia<SoftHyphen/>toren<SoftHyphen/>gilde von deiner Begegnung mit Schwarzer Lotus."
6,"TEXT_JOBPLD650_02573_SEQ_06","Mylla ist neugierig, was Schwarzer Lotus von dir wollte, aber das schmälert nicht ihre Vorfreude auf den Endkampf. Bereite dich gut darauf vor.

※ Sobald du als Paladin (Gladiator<If(PlayerParameter(4))>in<Else/></If>) Stufe 68 erreicht hast, kannst du von Mylla den nächsten Auftrag annehmen."
7,"TEXT_JOBPLD650_02573_SEQ_07",""
8,"TEXT_JOBPLD650_02573_SEQ_08",""
9,"TEXT_JOBPLD650_02573_SEQ_09",""
10,"TEXT_JOBPLD650_02573_SEQ_10",""
11,"TEXT_JOBPLD650_02573_SEQ_11",""
