key,0,1
#,,
int32,str,str
0,"TEXT_STMBDA418_02517_SEQ_00","In Hiens Augen glimmt ein entschlossener Funke."
1,"TEXT_STMBDA418_02517_SEQ_01","Nachdem sich der erste Siegestaumel gelegt hat, kündigt Hien an, dass es Zeit ist weiterzuziehen. Cirina schlägt vor, die Dotharl zu bitten, den Weg, der die Azim-Steppe und Yanxia verbindet, wieder zu öffnen. Er wurde gesperrt, um ein Überschwappen der Gewalt in die Steppe zu verhindern. Vor einem Besuch in Dotharl Khaa möchte Hien jedoch dem selbstbewussten Stammesführer der Oronir seine Aufwartung machen. Sprich mit Magnai im Morgenthron."
2,"TEXT_STMBDA418_02517_SEQ_02","Magnai empfängt euch schlecht gelaunt im Morgenthron. Obwohl es ihn wurmt, den großen Kampf verloren zu haben, macht er euch klar, dass er nicht beabsichtigt, das Bündnis zu brechen. Er und seine Truppen seien jederzeit bereit, auszurücken, sobald ihr ihm das Zeichen dazu gebt. Cirina freut sich aufrichtig für euch und bemerkt nicht, wie Magnai sie interessiert mustert. Gerührt durch ihre Anteilnahme an eurem Schicksal, glaubt er, in ihr seine Seelengefährtin gefunden zu haben - ein Irrtum, wie sich bald herausstellt. Begib dich als Nächstes nach Dotharl Khaa und sprich mit Sadu."
3,"TEXT_STMBDA418_02517_SEQ_03","Auch Sadu versichert euch, dass ihre Leute für einen Kampfeinsatz bereit seien, und erklärt sich einverstanden, den Höhlendurchgang zu öffnen, der die Azim-Steppe und Yanxia verbindet. Sprich beim Höhleneingang mit Cirina."
4,"TEXT_STMBDA418_02517_SEQ_04","Es ist Zeit, der Azim-Steppe und Cirina Lebewohl zu sagen. Die junge Mol schenkt euch zum Abschied ein rotes Banner, das ihre Hoffnung ausdrückt, mit den ersten roten Strahlen der Morgendämmerung möge eine neue, schönere Zukunft für euch anbrechen."
5,"TEXT_STMBDA418_02517_SEQ_05",""
6,"TEXT_STMBDA418_02517_SEQ_06",""
7,"TEXT_STMBDA418_02517_SEQ_07",""
8,"TEXT_STMBDA418_02517_SEQ_08",""
9,"TEXT_STMBDA418_02517_SEQ_09",""
10,"TEXT_STMBDA418_02517_SEQ_10",""
11,"TEXT_STMBDA418_02517_SEQ_11",""
12,"TEXT_STMBDA418_02517_SEQ_12",""
