key,0,1
#,,
int32,str,str
0,"TEXT_BANANA605_03068_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Eshana könnte deine Hilfe bei der Herstellung eines Balsams für die Krankenstation brauchen."
1,"TEXT_BANANA605_03068_SEQ_01",""
2,"TEXT_BANANA605_03068_SEQ_02",""
3,"TEXT_BANANA605_03068_SEQ_03",""
4,"TEXT_BANANA605_03068_SEQ_04",""
5,"TEXT_BANANA605_03068_SEQ_05",""
6,"TEXT_BANANA605_03068_SEQ_06",""
7,"TEXT_BANANA605_03068_SEQ_07",""
8,"TEXT_BANANA605_03068_SEQ_08",""
9,"TEXT_BANANA605_03068_SEQ_09",""
10,"TEXT_BANANA605_03068_SEQ_10",""
11,"TEXT_BANANA605_03068_SEQ_11",""
12,"TEXT_BANANA605_03068_SEQ_12",""
13,"TEXT_BANANA605_03068_SEQ_13",""
14,"TEXT_BANANA605_03068_SEQ_14",""
15,"TEXT_BANANA605_03068_SEQ_15",""
16,"TEXT_BANANA605_03068_SEQ_16",""
17,"TEXT_BANANA605_03068_SEQ_17",""
18,"TEXT_BANANA605_03068_SEQ_18",""
19,"TEXT_BANANA605_03068_SEQ_19",""
20,"TEXT_BANANA605_03068_SEQ_20",""
21,"TEXT_BANANA605_03068_SEQ_21",""
22,"TEXT_BANANA605_03068_SEQ_22",""
23,"TEXT_BANANA605_03068_SEQ_23",""
24,"TEXT_BANANA605_03068_TODO_00","Tonsteinklumpen im Trugfluss sammeln"
25,"TEXT_BANANA605_03068_TODO_01","Die Tonsteinklumpen bei Eshana abliefern"
26,"TEXT_BANANA605_03068_TODO_02",""
27,"TEXT_BANANA605_03068_TODO_03",""
28,"TEXT_BANANA605_03068_TODO_04",""
29,"TEXT_BANANA605_03068_TODO_05",""
30,"TEXT_BANANA605_03068_TODO_06",""
31,"TEXT_BANANA605_03068_TODO_07",""
32,"TEXT_BANANA605_03068_TODO_08",""
33,"TEXT_BANANA605_03068_TODO_09",""
34,"TEXT_BANANA605_03068_TODO_10",""
35,"TEXT_BANANA605_03068_TODO_11",""
36,"TEXT_BANANA605_03068_TODO_12",""
37,"TEXT_BANANA605_03068_TODO_13",""
38,"TEXT_BANANA605_03068_TODO_14",""
39,"TEXT_BANANA605_03068_TODO_15",""
40,"TEXT_BANANA605_03068_TODO_16",""
41,"TEXT_BANANA605_03068_TODO_17",""
42,"TEXT_BANANA605_03068_TODO_18",""
43,"TEXT_BANANA605_03068_TODO_19",""
44,"TEXT_BANANA605_03068_TODO_20",""
45,"TEXT_BANANA605_03068_TODO_21",""
46,"TEXT_BANANA605_03068_TODO_22",""
47,"TEXT_BANANA605_03068_TODO_23",""
48,"TEXT_BANANA605_03068_ESHANA_000_000","Grüß dich, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Im Moment gibt esss keine dringenden Notfälle, aber unsere Krankenstation würde sich über eine helfende Hand freuen."
49,"TEXT_BANANA605_03068_ESHANA_000_001","Wir werden in letzter Zeit häufig von Insekten geplagt, die uns mit ihren Bisssen und Stichen ordentlich zusetzen. Unsere Wachen kehren oft übersät mit Quaddeln von ihren Patrouillen zurück, und wir können die negativen Aussswirkungen auf die Moral nicht länger ignorieren."
50,"TEXT_BANANA605_03068_ESHANA_000_002","Selbssst die stärksten Räuchermittel vermögen nicht alle Plagegeister fernzuhalten, doch Tonstein lässt sich zu einer Passste mahlen, die zumindest den Juckreiz beruhigt. Könntest du mir davon bitte drei Klumpen besorgen? Im Trugflusss gibt es zahlreiche Vorkommen."
51,"TEXT_BANANA605_03068_ESHANA_000_010","Hast du etwasss von dem Tonstein finden können?"
52,"TEXT_BANANA605_03068_ESHANA_000_011","Ja, damit können wir arbeiten. Sobald man den Balsam aufträgt, werden die Beschwerden nahezu umgehend gelindert."
53,"TEXT_BANANA605_03068_ESHANA_000_012","Es ist ein traditionellesss Rezept bei uns, das seit Generationen überliefert wird."
54,"TEXT_BANANA605_03068_ESHANA_000_013","Wir haben zwar auch eine alchemissstische Tinktur, die von deinen Leuten hergestellt wird und die Bisswunden heilt, doch unsere Vorräte davon sind ziemlich begrenzt. Ich würde sie daher lieber für besondersss schlimme Fälle aufbewahren und für den täglichen Gebrauch auf den Tonstein zurückgreifen."
