key,0,1
#,,
int32,str,str
0,"TEXT_BANPIX102_03690_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Die Schwierigkeit des Auftrags wird an die aktuelle Stufe angepasst und die Klasse (der Job) darf nicht gewechselt werden.

Uin Nee hat blumige Träume."
1,"TEXT_BANPIX102_03690_SEQ_01",""
2,"TEXT_BANPIX102_03690_SEQ_02",""
3,"TEXT_BANPIX102_03690_SEQ_03",""
4,"TEXT_BANPIX102_03690_SEQ_04",""
5,"TEXT_BANPIX102_03690_SEQ_05",""
6,"TEXT_BANPIX102_03690_SEQ_06",""
7,"TEXT_BANPIX102_03690_SEQ_07",""
8,"TEXT_BANPIX102_03690_SEQ_08",""
9,"TEXT_BANPIX102_03690_SEQ_09",""
10,"TEXT_BANPIX102_03690_SEQ_10",""
11,"TEXT_BANPIX102_03690_SEQ_11",""
12,"TEXT_BANPIX102_03690_SEQ_12",""
13,"TEXT_BANPIX102_03690_SEQ_13",""
14,"TEXT_BANPIX102_03690_SEQ_14",""
15,"TEXT_BANPIX102_03690_SEQ_15",""
16,"TEXT_BANPIX102_03690_SEQ_16",""
17,"TEXT_BANPIX102_03690_SEQ_17",""
18,"TEXT_BANPIX102_03690_SEQ_18",""
19,"TEXT_BANPIX102_03690_SEQ_19",""
20,"TEXT_BANPIX102_03690_SEQ_20",""
21,"TEXT_BANPIX102_03690_SEQ_21",""
22,"TEXT_BANPIX102_03690_SEQ_22",""
23,"TEXT_BANPIX102_03690_SEQ_23",""
24,"TEXT_BANPIX102_03690_TODO_00","Am Zielort den kleinen Blumenkorb besiegen und mitnehmen"
25,"TEXT_BANPIX102_03690_TODO_01","Uin Nee <SheetDe(EventItem,2,2002921,1,4,1)/> geben"
26,"TEXT_BANPIX102_03690_TODO_02",""
27,"TEXT_BANPIX102_03690_TODO_03",""
28,"TEXT_BANPIX102_03690_TODO_04",""
29,"TEXT_BANPIX102_03690_TODO_05",""
30,"TEXT_BANPIX102_03690_TODO_06",""
31,"TEXT_BANPIX102_03690_TODO_07",""
32,"TEXT_BANPIX102_03690_TODO_08",""
33,"TEXT_BANPIX102_03690_TODO_09",""
34,"TEXT_BANPIX102_03690_TODO_10",""
35,"TEXT_BANPIX102_03690_TODO_11",""
36,"TEXT_BANPIX102_03690_TODO_12",""
37,"TEXT_BANPIX102_03690_TODO_13",""
38,"TEXT_BANPIX102_03690_TODO_14",""
39,"TEXT_BANPIX102_03690_TODO_15",""
40,"TEXT_BANPIX102_03690_TODO_16",""
41,"TEXT_BANPIX102_03690_TODO_17",""
42,"TEXT_BANPIX102_03690_TODO_18",""
43,"TEXT_BANPIX102_03690_TODO_19",""
44,"TEXT_BANPIX102_03690_TODO_20",""
45,"TEXT_BANPIX102_03690_TODO_21",""
46,"TEXT_BANPIX102_03690_TODO_22",""
47,"TEXT_BANPIX102_03690_TODO_23",""
48,"TEXT_BANPIX102_03690_UINNEE_000_001","Hast du schon mal die Blumenkörbe gesehen, die hier in der Gegend rumlaufen? Geflochtene Körbe mit ganz vielen Blümchen drin, nur eben lebendig? Die sind total niedlich, findest du nicht auch?"
49,"TEXT_BANPIX102_03690_UINNEE_000_002","Die würde ich ja so gern in die Träume der Kinder mitnehmen. Stell dir vor, was die für Augen machen würden! Nur sind Blumenkörbe normalerweise ziemlich groß, das könnte die Kleinen einschüchtern."
50,"TEXT_BANPIX102_03690_UINNEE_000_003","Deswegen habe ich eines der Körbchen niedlich klein gezaubert, hihi. Leider ist mir der flinke Kerl schnurstracks entwischt, als ich ihn in den ersten Traum packen wollte."
51,"TEXT_BANPIX102_03690_UINNEE_000_004","Du bist doch immer so schnell. Kannst du ihn nicht einfangen? Er ist bestimmt nicht weit weg. Zieh ihm ordentlich eins über und bring ihn dann zu mir!"
52,"TEXT_BANPIX102_03690_UINNEE_000_030","Hast du den kleinen Blumenkorb schon erwischt?"
53,"TEXT_BANPIX102_03690_UINNEE_000_031","Oh, da ist das kleine Körbchen ja! Hihi, sieh nur, wie benommen es dreinschaut. Aber das werde ich mit einem kleinen Stärkungsspruch ganz schnell wieder aufpäppeln."
54,"TEXT_BANPIX102_03690_UINNEE_000_032","Ehrlich, ich hätte ja nicht gedacht, dass Körbe so flink werden, wenn man sie verkleinert. Sonst sind sie ja immer so behäbig."
55,"TEXT_BANPIX102_03690_UINNEE_000_033","Und mir scheint, dass sie sich sogar selbst Blumen einflechten, um Insekten anzuziehen<Indent/>... und die fressen sie dann mit einem Happs! Für ihr putziges Aussehen sind sie reichlich ungeraten."
56,"TEXT_BANPIX102_03690_UINNEE_000_034","Bevor ich so einen zu den Kindern mitnehme, muss ich ihm erst Manieren beibringen. Wer weiß, was sonst noch passiert!"
