key,0,1
#,,
int32,str,str
0,"TEXT_FESHLW603_03670_SEQ_00","※ Dieser Auftrag ist nur für die Dauer des saisonalen Ereignisses verfügbar.

Der Abgesandte der Aben<SoftHyphen/>teurer<SoftHyphen/>gilde verdächtigt die Gauklertruppe anscheinend immer noch."
1,"TEXT_FESHLW603_03670_SEQ_01","※ Dieser Auftrag kann nur für die Dauer des saisonalen Ereignisses angenommen und gespielt werden. Nach Ende des saisonalen Ereignisses kann er nicht mehr abgeschlossen werden. Weitere Informationen findest du auf dem Lodestone.

Vom Abgesandten der Aben<SoftHyphen/>teurer<SoftHyphen/>gilde hast du erfahren, dass zeitgleich zur Kostümparty andernorts ein Ball stattfindet. Die Aben<SoftHyphen/>teurer<SoftHyphen/>gilde hat Berichte erhalten, dass der Ball gefährlich für die Gäste ist, und du sollst der Sache auf den Grund gehen. Sprich mit der ver<SoftHyphen/>füh<SoftHyphen/>re<SoftHyphen/>ri<SoftHyphen/>schen Gauklerin in Mih Khettos Amphitheater, um mehr darüber zu erfahren."
2,"TEXT_FESHLW603_03670_SEQ_02","Die verführerische Gauklerin hat dich zur Teilnahme am Ball eingeladen, aber das Ganze kommt dir nach eurem Gespräch nicht mehr ganz geheuer vor. Ob die Gäste des Balls tatsächlich in Gefahr sind, wirst du erst im Geisterschloss erfahren. Lass dich von einem der Gaukler-Führer in Mih Khettos Amphitheater oder auf dem Spielplatz Eichelmatz hinführen und erkunde das schaurige Gemäuer."
3,"TEXT_FESHLW603_03670_SEQ_03",""
4,"TEXT_FESHLW603_03670_SEQ_04",""
5,"TEXT_FESHLW603_03670_SEQ_05",""
6,"TEXT_FESHLW603_03670_SEQ_06",""
7,"TEXT_FESHLW603_03670_SEQ_07",""
8,"TEXT_FESHLW603_03670_SEQ_08",""
9,"TEXT_FESHLW603_03670_SEQ_09",""
10,"TEXT_FESHLW603_03670_SEQ_10",""
11,"TEXT_FESHLW603_03670_SEQ_11",""
12,"TEXT_FESHLW603_03670_SEQ_12",""
13,"TEXT_FESHLW603_03670_SEQ_13",""
14,"TEXT_FESHLW603_03670_SEQ_14",""
15,"TEXT_FESHLW603_03670_SEQ_15",""
16,"TEXT_FESHLW603_03670_SEQ_16",""
17,"TEXT_FESHLW603_03670_SEQ_17",""
