key,0,1
#,,
int32,str,str
0,"TEXT_XXAUSE114_03877_SEQ_00","Slafborn hat bereits Antwort von der Aben<SoftHyphen/>teurer<SoftHyphen/>gilde erhalten, was den Umzug nach Geisterzoll betrifft."
1,"TEXT_XXAUSE114_03877_SEQ_01","Gerade als Slafborn dir die Räumlichkeiten zeigen will, die als neues Hauptquartier des Bundes gedacht sind, meldet sich Tataru ganz aufgelöst per Kontaktperle. Irgendetwas Schlimmes scheint vorgefallen zu sein und sie bittet dich, sofort zum Sonnenwind zurückzukehren."
2,"TEXT_XXAUSE114_03877_SEQ_02","Der Besuch gridanischer Boten hat Tataru in höchste Unruhe versetzt, aber sie weiß nichts Genaues. Sprich mit Minfilia, um herauszufinden, welche Nachrichten die Bruderschaft dem Bund der Morgenröte übermittelt hat. "
3,"TEXT_XXAUSE114_03877_SEQ_03","Urianger und Minfilia berichten dir, dass die Bruderschaft der Morgenviper das Erscheinen eines neuen Primae beobachtet hat. Mach dich schnell auf den Weg nach Gridania und sprich im Abaton der Bruderschaft mit dem Erleuchteten Prior Vorsaile. "
4,"TEXT_XXAUSE114_03877_SEQ_04","Von Vorsaile erfährst du, wie ernst die Lage ist."
5,"TEXT_XXAUSE114_03877_SEQ_05",""
6,"TEXT_XXAUSE114_03877_SEQ_06",""
7,"TEXT_XXAUSE114_03877_SEQ_07",""
8,"TEXT_XXAUSE114_03877_SEQ_08",""
9,"TEXT_XXAUSE114_03877_SEQ_09",""
10,"TEXT_XXAUSE114_03877_SEQ_10",""
11,"TEXT_XXAUSE114_03877_SEQ_11",""
12,"TEXT_XXAUSE114_03877_SEQ_12",""
13,"TEXT_XXAUSE114_03877_SEQ_13",""
14,"TEXT_XXAUSE114_03877_SEQ_14",""
15,"TEXT_XXAUSE114_03877_SEQ_15",""
16,"TEXT_XXAUSE114_03877_SEQ_16",""
17,"TEXT_XXAUSE114_03877_SEQ_17",""
18,"TEXT_XXAUSE114_03877_SEQ_18",""
19,"TEXT_XXAUSE114_03877_SEQ_19",""
20,"TEXT_XXAUSE114_03877_SEQ_20",""
21,"TEXT_XXAUSE114_03877_SEQ_21",""
22,"TEXT_XXAUSE114_03877_SEQ_22",""
23,"TEXT_XXAUSE114_03877_SEQ_23",""
