key,0,1
#,,
int32,str,str
0,"TEXT_AKTKMB113_04392_SEQ_00","Jullus macht ein nachdenkliches Gesicht."
1,"TEXT_AKTKMB113_04392_SEQ_01","Jullus hat dich beauftragt, zwei seiner Leute eine Nachricht zu überbringen."
2,"TEXT_AKTKMB113_04392_SEQ_02","Marcellinus und Octavia haben etwas eigenartig auf die Nachricht reagiert. Ob es sich um eine Art Code handelte?"
3,"TEXT_AKTKMB113_04392_SEQ_03","Auf die Nachricht angesprochen macht Jullus nur vage Andeutungen. Ihr brecht auf in Richtung Camp Splitterglas, doch Jullus möchte unterwegs vor Regio Urbanissima einen Zwischenstopp einlegen."
4,"TEXT_AKTKMB113_04392_SEQ_04","Nach einem Abstecher an Jullus' altem Zuhause erreicht ihr das Lager. Kaum beginnen die Ver<SoftHyphen/>hand<SoftHyphen/>lungen, erfährt Jullus, dass Alphinaud und Alisaie von deinen Kameraden befreit wurden. Jullus geht zu seinem Plan B über: ein Angriff auf das Ilsabard-Korps. Bevor es zu einem Blutvergießen kommt, erreicht euch Nachricht, dass die X. Legion - auf die Quintus sehnsüchtig gewartet hatte - einem Waffenstillstand mit Eorzea zugestimmt hat. Jullus bläst seinen Angriff ab."
5,"TEXT_AKTKMB113_04392_SEQ_05","Die Angreifer sind gestellt, aber Lucia hat sich noch nicht entschieden, was aus ihnen werden soll."
6,"TEXT_AKTKMB113_04392_SEQ_06",""
7,"TEXT_AKTKMB113_04392_SEQ_07",""
8,"TEXT_AKTKMB113_04392_SEQ_08",""
9,"TEXT_AKTKMB113_04392_SEQ_09",""
10,"TEXT_AKTKMB113_04392_SEQ_10",""
11,"TEXT_AKTKMB113_04392_SEQ_11",""
12,"TEXT_AKTKMB113_04392_SEQ_12",""
13,"TEXT_AKTKMB113_04392_SEQ_13",""
14,"TEXT_AKTKMB113_04392_SEQ_14",""
15,"TEXT_AKTKMB113_04392_SEQ_15",""
16,"TEXT_AKTKMB113_04392_SEQ_16",""
17,"TEXT_AKTKMB113_04392_SEQ_17",""
18,"TEXT_AKTKMB113_04392_SEQ_18",""
19,"TEXT_AKTKMB113_04392_SEQ_19",""
20,"TEXT_AKTKMB113_04392_SEQ_20",""
21,"TEXT_AKTKMB113_04392_SEQ_21",""
22,"TEXT_AKTKMB113_04392_SEQ_22",""
