0,TEXT_FESSXT102_04797_SEQ_00,"※ Dieser Auftrag ist nur für die Dauer des saisonalen Ereignisses verfügbar.

Clive wirkt gesund genug, um sofort aufzubrechen."
1,TEXT_FESSXT102_04797_SEQ_01,"Clive wartet geduldig darauf, von dir nach Gridania gebracht zu werden. Zwar scheint er noch nie in seinem Leben von einem Luftschiff gehört zu haben, allerdings lässt er sich dadurch nicht von seinem Weg abbringen. Triff ihn am Luftschiff-Landeplatz von Ul'dah."
2,TEXT_FESSXT102_04797_SEQ_02,"Clives Unwissen über Luftschiffe steht im Kontrast zu seiner Kenntnis über sein Schwert, mit dem er - wie er betont - sehr wohl umzugehen weiß. Es scheint also so, als sei sein Wissen über Alltägliches trotz seines Gedächtnisschwunds ungetrübt. Diese Tatsache führt euch zu der Überlegung, dass er von einem Ort kommen muss, an dem es keine Luftschiffe gibt. Es ist zumindest ein Anhaltspunkt über seine Herkunft, und mit diesem kleinen Hoffnungsfünkchen widmet ihr euch nun Gridania."
3,TEXT_FESSXT102_04797_SEQ_03,"Natürlich fungierst du als Führerin für Clive, der anhand der Eindrücke Gridanias hoffentlich den ein oder anderen Fetzen seiner Erinnerungen zurückerlangen kann. Als Erstes wollt ihr Miounnes Hexenstübchen erkunden.

※ Solltest du vor Abschluss des Auftrags von Clive getrennt werden, kannst du ihm am Luftschiff-Landeplatz erneut ansprechen, um den Auftrag fortzusetzen."
4,TEXT_FESSXT102_04797_SEQ_04,"Miounnes Hexenstübchen weckt tatsächlich so etwas wie ein vertrautes Gefühl in Clive, aber eine klare Erinnerung bleibt leider aus. Nichtsdestotrotz will er mehr von der Stadt sehen und wendet sich gen Ausgang. Sprich mit ihm an den Chocobo-Stallungen."
5,TEXT_FESSXT102_04797_SEQ_05,"Auch der Anblick der Chocobos ist Clive vertraut. Er ist sich gar sicher, selbst ein eigenes gefiedertes Reittier besessen zu haben. So schreitet ihr voran, hoffend, dass sich doch noch eine klare Szene aus seinen verschwommenen Erinnerungen löst. Sprich mit ihm am Ätherytenplatz."
6,TEXT_FESSXT102_04797_SEQ_06,"Vor dem Ätheryten bleibt Clive stehen und wundert sich, ob dies ein „Mutterkristall“ sei. Schnell besinnt er sich aber - scheinbar ist der Ätheryt dafür zu klein - und er ist bereit, seinen Rundgang durch die Stadt fortzusetzen. Euer nächstes Ziel ist das Abaton der Bruderschaft."
7,TEXT_FESSXT102_04797_SEQ_07,"Vor dem Abaton der Bruderschaft hat Clive endlich eine deutliche Reaktion: Eine Wache lässt den Namen „Garuda“ fallen, und Clive springt sofort darauf an. Vorsaile Heuloix ist von der Geschichte des jungen Mannes durchaus gerührt und möchte helfen, indem er ein Treffen mit einer gewissen Heilerin organisiert - vor allem, weil diese wie keine andere über den gefürchteten Primae Bescheid wisse. Die Wache bittet euch, für dieses Treffen zu Nophicas Altar zu kommen."
8,TEXT_FESSXT102_04797_SEQ_08,"Die Saatseherin Kan-E-Senna erzählt Clive alles, was sie über Garuda weiß. Letztlich scheint der junge Mann aber nicht das Gefühl zu haben, dass es sich dabei um *seine* Garuda handelt. Eine mögliche Erklärung liefert der Fahrende Sänger, der plötzlich zu euch stößt: Clive kommt aus einer völlig anderen Welt! Er und einige Abenteurer haben Dörfer rund um den Feuerwall nach Clive befragt, aber trotz des auffälligen Mals in seinem Gesicht kam niemandem die Beschreibung bekannt vor. Weiterhin kann auch Kan-E-Senna kein körperliches Leid an Clive feststellen und vermutet, dass es stattdessen der Schmerz in seinem Herzen ist, der allzu grausame Erinnerungen nun schlicht ausblendet. Kurzum: Clive *will* sich nicht erinnern."
9,TEXT_FESSXT102_04797_SEQ_09,"Weiterer Rat kommt vom Fahrenden Sänger: Er glaubt, dass ein Kampf die Ketten um Clives Herz lösen könnte. Er warnt euch, dass diese Aufgabe keine leichte wird und bittet euch, zu den Apkallu-Fällen zu kommen, wenn ihr für diese Probe bereit seid."
10,TEXT_FESSXT102_04797_SEQ_10,
11,TEXT_FESSXT102_04797_SEQ_11,
12,TEXT_FESSXT102_04797_SEQ_12,
13,TEXT_FESSXT102_04797_SEQ_13,
14,TEXT_FESSXT102_04797_SEQ_14,
15,TEXT_FESSXT102_04797_SEQ_15,
16,TEXT_FESSXT102_04797_SEQ_16,
17,TEXT_FESSXT102_04797_SEQ_17,
18,TEXT_FESSXT102_04797_SEQ_18,
19,TEXT_FESSXT102_04797_SEQ_19,
20,TEXT_FESSXT102_04797_SEQ_20,
21,TEXT_FESSXT102_04797_SEQ_21,
22,TEXT_FESSXT102_04797_SEQ_22,
23,TEXT_FESSXT102_04797_SEQ_23,
24,TEXT_FESSXT102_04797_TODO_00,Am Luftschiff-Landeplatz von Ul'dah mit Clive sprechen
25,TEXT_FESSXT102_04797_TODO_01,Am Luftschiff-Landeplatz von Gridania mit Clive sprechen
26,TEXT_FESSXT102_04797_TODO_02,Mit Clive in Miounnes Hexenstübchen sprechen
27,TEXT_FESSXT102_04797_TODO_03,Mit Clive bei den Chocobo-Ställen sprechen
28,TEXT_FESSXT102_04797_TODO_04,Mit Clive am Ätherytenplatz sprechen
29,TEXT_FESSXT102_04797_TODO_05,Mit Clive vor dem Abaton der Bruderschaft sprechen
30,TEXT_FESSXT102_04797_TODO_06,An Nophicas Altar mit der Wache der Bruderschaft der Morgenviper sprechen
31,TEXT_FESSXT102_04797_TODO_07,Mit Clive sprechen
32,TEXT_FESSXT102_04797_TODO_08,
33,TEXT_FESSXT102_04797_TODO_09,
34,TEXT_FESSXT102_04797_TODO_10,
35,TEXT_FESSXT102_04797_TODO_11,
36,TEXT_FESSXT102_04797_TODO_12,
37,TEXT_FESSXT102_04797_TODO_13,
38,TEXT_FESSXT102_04797_TODO_14,
39,TEXT_FESSXT102_04797_TODO_15,
40,TEXT_FESSXT102_04797_TODO_16,
41,TEXT_FESSXT102_04797_TODO_17,
42,TEXT_FESSXT102_04797_TODO_18,
43,TEXT_FESSXT102_04797_TODO_19,
44,TEXT_FESSXT102_04797_TODO_20,
45,TEXT_FESSXT102_04797_TODO_21,
46,TEXT_FESSXT102_04797_TODO_22,
47,TEXT_FESSXT102_04797_TODO_23,
48,TEXT_FESSXT102_04797_CLIVE_000_001,"Also, kann es losgehen?"
49,TEXT_FESSXT102_04797_CLIVE_000_002,"Wie kommen wir nach ... Gridania? So hieß es, oder?"
50,TEXT_FESSXT102_04797_CLIVE_000_003,Mit einem *Luftschiff*? Hier gibt es *Luftschiffe*?
51,TEXT_FESSXT102_04797_CLIVE_000_004,"Na gut, ich will dir glauben. Zu diesem Landeplatz also."
52,TEXT_FESSXT102_04797_CLIVE_000_010,"Player ... Ist ein Luftschiff ein richtiges Schiff, nur dass es durch die Luft segelt und nicht übers Wasser?"
53,TEXT_FESSXT102_04797_CLIVE_000_011,Und du findest das nicht merkwürdig?
54,TEXT_FESSXT102_04797_Q1_000_000,Was sagst du?
55,TEXT_FESSXT102_04797_A1_000_001,"Du warst noch nie auf einem Luftschiff, was?"
56,TEXT_FESSXT102_04797_A1_000_002,"Dort, wo du herkommst, gibt es wohl keine Luftschiffe?"
