key,0,1
#,,
int32,str,str
0,"TEXT_KINGMB112_04891_SEQ_00","Wuk Lamat blickt den Worqor Zormor empor."
1,"TEXT_KINGMB112_04891_SEQ_01","Gerade, als ihr euch dem heiligen Berg der Yok Huy widmen wollt, kommt eine weitere Gruppe Riesen auf euch zu. Diese scheinen euch allerdings weitaus weniger freundlich gesinnt als die Yok Huy von Worlars Echo und machen euch unmissverständlich klar, dass sie den Pfad der Eroberung beschreiten wollen, den ihre Ahnen für sie bereitet haben. Ihr Anführer ist drauf und dran, euch als Kriegserklärung an Tuliyollal anzugreifen, da wird die kritische Situation von einer geflügelten Bestie unterbrochen. Sie scheint vom Worqor Zormor herabgestiegen zu sein, um ihr Revier zu verteidigen, und verletzt im Kampfesrausch einen der feindlich gesinnten Yok Huy. Wuk Lamat gelingt es, eine Folgeattacke im letzten Moment abzuwehren und dem Yok Huy das Leben zu retten. Das erschüttert eure Feinde so sehr, dass sie vorerst von ihrem gewalttätigen Vorhaben ablassen. Während sich Alphinaud um den Verletzten kümmert, wendet ihr euren Blick auf den Worqor Zormor.

※ Sprich befreundete NPCs am Eingang des Inhalts an und wähle „Gruppe bilden“, oder nutze den „Inhaltshelfer“ über das Hauptmenü, um sie für den Inhalt zu rekrutieren.
※ Der Inhalt kann auch wie bisher mit anderen Spielern betreten werden. Benutze die Inhaltssuche, um Mitspieler zu finden."
2,"TEXT_KINGMB112_04891_SEQ_02","Auf dem Gipfel des Worqor Zormor erwartet euch der Thronrichter Gurfurlur, der sich im Kampf mit euch messen will. Natürlich hat er nicht mit <If(PlayerParameter(4))>einer gestandenen Abenteurerin<Else/>einem gestandenen Abenteurer</If> wie dir gerechnet und so erweist er sich zwar als würdiger Gegner, der Sieg ist euch aber dennoch sicher."
3,"TEXT_KINGMB112_04891_SEQ_03","Gurfurlur erklärt euch die Bedeutung der Lebenden Gräber auf dem Gipfel des Worqor Zormor und zeigt euch insbesondere den Gedenkstein Gulool Ja Jas und seiner Gefährten. Ihnen wurden jene Grabstätten errichtet, um ihre Mühen im Kampf gegen Valigarmanda zu ehren. Jeder Name ist mit einer Art Titel versehen, und Wuk Lamat nimmt sich die Inschriften sehr zu Herzen. Sie wundert sich, welches Erbe sie von ihrem Vater weitertragen soll, wo Zoraal Ja doch ganz offensichtlich den Mut und Koana die Weisheit verkörpert. Letztlich erkennt sie, dass es ihre Liebe für ein friedliches Tuliyollal ist, die sie von ihm geerbt hat. Diesen warmen Moment der Erkenntnis zerreißt ein fürchterlicher Schrei, gefolgt von einer Nachricht per Kontaktperle von Alphinaud. Valigarmandas Siegel wurde gebrochen! Eile schleunigst zurück nach Worlars Echo und sprich dort mit ihm."
4,"TEXT_KINGMB112_04891_SEQ_04","Das Dorf der Yok Huy wurde schlimm getroffen. Sieh zu, ob du irgendwo helfen kannst."
5,"TEXT_KINGMB112_04891_SEQ_05",""
6,"TEXT_KINGMB112_04891_SEQ_06",""
7,"TEXT_KINGMB112_04891_SEQ_07",""
