0,TEXT_KINGYR101_05003_SEQ_00,
1,TEXT_KINGYR101_05003_SEQ_01,
2,TEXT_KINGYR101_05003_SEQ_02,
3,TEXT_KINGYR101_05003_SEQ_03,
4,TEXT_KINGYR101_05003_SEQ_04,
5,TEXT_KINGYR101_05003_SEQ_05,
6,TEXT_KINGYR101_05003_SEQ_06,
7,TEXT_KINGYR101_05003_SEQ_07,
8,TEXT_KINGYR101_05003_SEQ_08,
9,TEXT_KINGYR101_05003_SEQ_09,
10,TEXT_KINGYR101_05003_SEQ_10,
11,TEXT_KINGYR101_05003_SEQ_11,
12,TEXT_KINGYR101_05003_SEQ_12,
13,TEXT_KINGYR101_05003_SEQ_13,
14,TEXT_KINGYR101_05003_SEQ_14,
15,TEXT_KINGYR101_05003_SEQ_15,
16,TEXT_KINGYR101_05003_SEQ_16,
17,TEXT_KINGYR101_05003_SEQ_17,
18,TEXT_KINGYR101_05003_SEQ_18,
19,TEXT_KINGYR101_05003_SEQ_19,
20,TEXT_KINGYR101_05003_SEQ_20,
21,TEXT_KINGYR101_05003_SEQ_21,
22,TEXT_KINGYR101_05003_SEQ_22,
23,TEXT_KINGYR101_05003_SEQ_23,
24,TEXT_KINGYR101_05003_TODO_00,
25,TEXT_KINGYR101_05003_TODO_01,
26,TEXT_KINGYR101_05003_TODO_02,
27,TEXT_KINGYR101_05003_TODO_03,
28,TEXT_KINGYR101_05003_TODO_04,
29,TEXT_KINGYR101_05003_TODO_05,
30,TEXT_KINGYR101_05003_TODO_06,
31,TEXT_KINGYR101_05003_TODO_07,
32,TEXT_KINGYR101_05003_TODO_08,
33,TEXT_KINGYR101_05003_TODO_09,
34,TEXT_KINGYR101_05003_TODO_10,
35,TEXT_KINGYR101_05003_TODO_11,
36,TEXT_KINGYR101_05003_TODO_12,
37,TEXT_KINGYR101_05003_TODO_13,
38,TEXT_KINGYR101_05003_TODO_14,
39,TEXT_KINGYR101_05003_TODO_15,
40,TEXT_KINGYR101_05003_TODO_16,
41,TEXT_KINGYR101_05003_TODO_17,
42,TEXT_KINGYR101_05003_TODO_18,
43,TEXT_KINGYR101_05003_TODO_19,
44,TEXT_KINGYR101_05003_TODO_20,
45,TEXT_KINGYR101_05003_TODO_21,
46,TEXT_KINGYR101_05003_TODO_22,
47,TEXT_KINGYR101_05003_TODO_23,
48,TEXT_KINGYR101_05003_MALIHALI_000_000,"Dieser scharfe Blick ... Diese gegerbten Hände ... Deine geschmeidigen Bewegungen ... Ich würde sagen, ich habe eine begabte Fremde von jenseits der See vor mir stehen! Sag, willst du dein Können nicht zum Wohl der Bewohner Turals in den Dienst stellen?"
49,TEXT_KINGYR101_05003_MALIHALI_000_001,"Ich arbeite für den Flügel der Besinnung. Diese Behörde gehört zum königlichen Palast und vermittelt denen, die es nötig haben die richtige helfende Hand. Handwerker und andere, die fleißig wie die Honigbienen Arbeit suchen, wenden sich deswegen regelmäßig an uns."
50,TEXT_KINGYR101_05003_MALIHALI_000_002,Das Königreich Tuliyollal vereint viele Völker und mit jedem Jahr wächst der Austausch von Waren und Dienstleistungen rasant wie Weidengras.
51,TEXT_KINGYR101_05003_MALIHALI_000_003,"Jede Kultur hat so ihre eigene Art, Geschäfte zu erledigen. Deswegen kann es ganz nützlich sein, wenn eine Behörde als Vermittler auftritt."
52,TEXT_KINGYR101_05003_MALIHALI_000_004,"Wenn du also Arbeit suchst oder einfach nur helfen willst, komm zum Flügel der Besinnung und erfülle einen der vielen Tuliyollal-Freibriefe!"
53,TEXT_KINGYR101_05003_MALIHALI_000_005,"Du weißt doch, was ein Freibrief ist, oder?"
54,TEXT_KINGYR101_05003_MALIHALI_000_006,"König Gulool Ja Ja hat seinen Kopf der Weisheit angestrengt und diese Art von Brief ersonnen. Es ist nicht ganz auszuschließen, dass er sich dabei von den Freibriefen der Gilden jenseits der See hat inspirieren lassen."
55,TEXT_KINGYR101_05003_MALIHALI_000_007,"Die Freibriefe helfen dabei, unser Königreich erblühen zu lassen wie eine Blumenwiese in der milden Sonne des Frühlings."
56,TEXT_KINGYR101_05003_MALIHALI_000_008,"Natürlich wird fleißige Arbeit auch belohnt. Also, warum versuchst du es nicht einmal?"
57,TEXT_KINGYR101_05003_SYSTEM_000_009,"Du hast die Tuliyollal-Freibriefe freigespielt. Sprich Malihali an, um Fertigungs- oder Sammelerlasse anzunehmen."
58,TEXT_KINGYR101_05003_MALIHALI_000_010,"Sag, du kennst nicht zufällig einen begabten Handwerker oder Sammler? Ich habe Aufträge zu vergeben, zahlreich wie die Bienen im Weidengras."
59,TEXT_KINGYR101_05003_SYSTEM_000_011,"Dieser Auftrag kann nur mit einem Handwerker oder Sammler fortgeführt werden, der mindestens Stufe 90 erreicht hat."
