key,0,1
#,,
int32,str,str
0,"TEXT_KINGZB202_05052_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Nopli möchte dem Händler Einhalt gebieten, der mit unlauteren Mitteln handelt. "
1,"TEXT_KINGZB202_05052_SEQ_01","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> Die Schwierigkeit des Auftrags wird an die aktuelle Stufe angepasst.

Im Gespräch mit Nopli kommt ihr überein, dass du den Händler aus Eorzea suchen wirst. Begib dich nach Icuvlos Karawanserei in Urqopacha, um Gigimolu zu finden."
2,"TEXT_KINGZB202_05052_SEQ_02","Du sprichst mit Gigimolu, wobei sich herausstellt, dass ihr euch schon einmal begegnet seid. Er berichtet stolz, dass er in letzter Zeit ein gutes Händchen für den Handel habe, und eilt anschließend in Richtung der Panaqpelu-Therme. Folge ihm dorthin, um noch mehr in Erfahrung zu bringen."
3,"TEXT_KINGZB202_05052_SEQ_03","Gigimolu befindet sich in der Panaqpelu-Therme. Damit er keinen Verdacht schöpft, solltest du ihn nicht weiter ausfragen, sondern lieber mit Cavli sprechen, der als sein Diener fungiert."
4,"TEXT_KINGZB202_05052_SEQ_04","Cavli erzählt dir von Gigimolus Aktivitäten auf Tural, ist jedoch selbst überrascht, was dieser für unlautere Methoden beim Handeln anwendet. Erstatte Nopli Bericht."
5,"TEXT_KINGZB202_05052_SEQ_05","Nopli möchte nicht, dass noch mehr Leute Opfer von Gigimolus üblen Geschäftspraktiken werden. Hilf ihm bei seinem Vorhaben!"
6,"TEXT_KINGZB202_05052_SEQ_06",""
7,"TEXT_KINGZB202_05052_SEQ_07",""
8,"TEXT_KINGZB202_05052_SEQ_08",""
9,"TEXT_KINGZB202_05052_SEQ_09",""
10,"TEXT_KINGZB202_05052_SEQ_10",""
11,"TEXT_KINGZB202_05052_SEQ_11",""
12,"TEXT_KINGZB202_05052_SEQ_12",""
13,"TEXT_KINGZB202_05052_SEQ_13",""
14,"TEXT_KINGZB202_05052_SEQ_14",""
15,"TEXT_KINGZB202_05052_SEQ_15",""
16,"TEXT_KINGZB202_05052_SEQ_16",""
