key,0,1
#,,
int32,str,str
0,"TEXT_KINGDD103_05407_SEQ_00","Aenc Daen ist ein wenig grün im Gesicht. Das ist für ihn aber nicht weiter ungewöhnlich."
1,"TEXT_KINGDD103_05407_SEQ_01","Nachdem du das Ende von Pilgers Pfad erreicht hast, berichtest du Aenc Daen von den Einzelheiten deines letzten Kampfes. Der Fuath zeigt sich beeindruckt von deinen Taten und ist gespannt, welche Veränderungen dein Sieg in der Kirche bewirkt haben könnte. Geh voraus zur Wallfahrtskirche von Dammroen, während Aenc Daen den Feenkönig benachrichtigt."
2,"TEXT_KINGDD103_05407_SEQ_02","Der Feenkönig trifft mit seinem Gefolge ein und erkennt, dass der Bannzauber verschwunden ist<Indent/>- die Totenzeremonie ist also beendet. Doch um das Geschöpf, dem du am Ende des Pfades begegnet bist, verbleiben noch Rätsel, die es in weiteren Abenteuern zu erkunden gilt. Titania erneuert den Bannzauber, um neugierige Feen vor lauernden Sünden<SoftHyphen/>ver<SoftHyphen/>tilgern zu schützen, und dankt dir herzlich für deinen Mut und deinen Dienst an Il Mheg. Wohin auch immer deine Reise dich führt<Indent/>- wo ein Baum des Glanzes hingeht, wird ein Zweig der Anmut nicht weit sein."
3,"TEXT_KINGDD103_05407_SEQ_03","Auf Geheiß Ihrer Majestät wird Aenc Daen dir auch bei zukünftigen Erkundungen der Kirche helfen. Außerdem weilt eine veränderliche Manifestation der Eminenten Trauer am Ende des Pfades und wartet darauf, von dir den ewigen Frieden zu erhalten. Stellst du dich dieser Heraus<SoftHyphen/>forde<SoftHyphen/>rung?"
4,"TEXT_KINGDD103_05407_SEQ_04",""
5,"TEXT_KINGDD103_05407_SEQ_05",""
6,"TEXT_KINGDD103_05407_SEQ_06",""
7,"TEXT_KINGDD103_05407_SEQ_07",""
8,"TEXT_KINGDD103_05407_SEQ_08",""
9,"TEXT_KINGDD103_05407_SEQ_09",""
10,"TEXT_KINGDD103_05407_SEQ_10",""
11,"TEXT_KINGDD103_05407_SEQ_11",""
12,"TEXT_KINGDD103_05407_SEQ_12",""
13,"TEXT_KINGDD103_05407_SEQ_13",""
14,"TEXT_KINGDD103_05407_SEQ_14",""
15,"TEXT_KINGDD103_05407_SEQ_15",""
16,"TEXT_KINGDD103_05407_SEQ_16",""
