#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
0,,,0,0,0,0,0,0,0,0,0,0,0,0
1,Feeling Lucky,Complete 3 dungeons via the Duty Roulette.,0,61801,3,15,1000,1625700,0,57,1,1,5,3
2,Dungeon Master,Complete 5 dungeons.,0,61801,5,10,2000,1083800,0,57,1,2,5,3
3,You're the Hest Around I,Complete 3 guildhests.,0,61803,3,5,1000,541900,0,71,1,3,5,3
4,You're the Hest Around II,Complete 10 guildhests.,0,61803,10,10,2000,1083800,0,71,1,4,5,3
5,Aqua Gleam Hunter Force I,Open 5 treasure coffers in treasure dungeon vaults.,0,61808,5,0,2000,0,0,231,6,3,0,3
6,Tails of Derring-do Bad and Good Luck,Complete and mark off 3 Wondrous Tails.,0,61825,3,0,2000,0,60,0,1,8,0,3
7,A Wolf in Your Belly,Participate in 10 Crystalline Conflict matches.,0,61806,10,0,1000,0,0,130,2,1,0,9
8,Thrown to the Wolves,Triumph in 3 Crystalline Conflict matches.,0,61806,3,0,1000,0,0,130,2,2,0,9
9,,,0,0,0,0,0,0,0,0,0,0,0,0
10,,,0,0,0,0,0,0,0,0,0,0,0,0
11,Just Leve It to Me,Complete 5 levequests with different leve plates.,0,61811,5,15,1000,1625700,0,0,4,1,5,3
12,Making Like a Tree,Complete 20 levequests.,0,61811,20,15,2000,1625700,0,0,4,2,5,3
13,Give 'Em What They Want II,Complete 10 supply and provisioning missions.,0,61812,10,0,1000,0,0,89,8,2,0,6
14,Give 'Em What They Want I,Complete 5 supply and provisioning missions.,0,61812,5,0,1000,0,0,89,8,1,0,6
15,X Marks the Spot,Gather 3 timeworn maps.,0,61808,3,0,1000,0,0,149,6,1,0,3
16,Find Your Treasure and Have It Too,Open 5 treasure coffers and obtain their contents while treasure hunting.,0,61808,5,0,2000,0,0,149,6,2,0,3
17,Bosom Buddies I,Defeat 20 enemies of comparable level to your own with your companion.,0,61813,20,5,1000,0,0,96,1,6,7,3
18,Bosom Buddies II,Defeat 100 enemies of comparable level to your own with your companion.,0,61813,100,10,2000,0,0,96,1,7,7,3
19,Improving Society Somewhat I,Complete 5 allied society daily quests.,0,61814,5,0,1000,0,0,152,7,1,0,3
20,Improving Society Somewhat II,Complete 15 allied society daily quests.,0,61814,15,0,2000,0,0,152,7,2,0,3
21,Up for a Challenge I,Complete 5 unique challenges.,0,61810,5,0,10000,0,0,0,12,1,0,3
22,Up for a Challenge II,Complete 10 unique challenges.,0,61810,10,0,10000,0,0,0,12,2,0,3
23,Up for a Challenge III,Complete 15 unique challenges.,0,61810,15,0,10000,0,20,0,12,3,0,3
24,Up for a Challenge IV,Complete 20 unique challenges.,0,61810,20,0,10000,0,30,0,12,4,0,3
25,Exercising the Right,Vote 5 times in player commendation.,0,61817,5,10,1000,1083800,0,160,1,5,5,3
26,The Gathering Storm,Successfully gather items of comparable level to your own 100 times.,0,61815,100,5,1000,0,0,0,5,4,5,3
