#,Icon,Name,FATE,Map,PlaceName
0,0,0,0,0,0
1,84001,785,0,53,382
2,84002,1809,0,25,409
3,84008,1829,0,18,363
4,84151,869,366,20,245
5,84152,447,137,4,70
6,84004,131,0,4,72
7,84005,653,0,53,382
8,84006,260,0,23,257
9,84153,516,178,7,83
10,84154,1665,619,5,77
11,84007,386,0,18,172
12,84003,660,0,53,380
13,84018,2155,0,23,257
14,84155,1504,543,22,253
15,84156,875,393,21,248
16,84010,1838,0,23,320
17,84011,361,0,17,167
18,84014,67,0,5,77
19,84157,2350,691,5,76
20,84158,865,347,20,243
21,84013,162,0,5,77
22,84012,353,0,17,168
23,84015,1851,0,25,410
24,84159,1518,572,18,172
25,84160,1435,0,53,393
26,84016,784,0,53,380
27,84017,25,0,7,86
28,84009,351,0,17,167
29,84161,852,257,16,164
30,84162,2355,508,53,393
31,84019,106,0,30,175
32,84020,1854,0,18,173
33,84021,8,0,6,82
34,84163,1438,0,53,393
35,84164,513,144,5,74
36,84022,1313,0,17,167
37,84023,658,0,53,381
38,84033,164,0,5,77
39,84165,873,385,21,249
40,84166,2357,599,30,176
41,84025,271,0,22,253
42,84034,1835,0,30,238
43,84027,222,0,5,76
44,84167,1357,245,16,166
45,84168,859,290,18,170
46,84028,1822,0,17,169
47,84029,238,0,4,71
48,84030,243,0,23,255
49,84169,1670,597,30,238
50,84170,1439,500,53,393
51,84031,58,0,5,76
52,84032,324,0,23,257
53,84024,795,0,53,380
54,84171,1519,322,19,177
55,84172,1329,209,4,71
56,84026,130,0,4,71
57,84035,384,0,18,172
58,84039,1844,0,53,393
59,84173,856,265,16,165
60,84174,1430,479,53,383
61,84037,1849,0,53,381
62,84038,249,0,23,255
63,84036,270,0,30,176
64,84175,1669,634,7,86
65,84176,1506,430,23,255
66,84040,1611,0,53,383
67,84041,643,0,19,177
68,84042,236,0,4,71
69,84177,1527,594,30,175
70,84178,343,575,18,172
71,84043,559,0,18,172
72,84044,1820,0,20,246
73,84045,253,0,23,255
74,84179,1699,546,23,255
75,84180,2356,578,18,363
76,84046,786,0,53,382
77,84047,391,0,19,177
78,84048,1826,0,17,169
79,84181,858,280,17,167
80,84182,1507,554,23,320
81,84049,252,0,23,257
82,84050,649,0,25,410
83,84051,562,0,30,176
84,84183,1522,331,19,177
85,84184,514,153,6,78
86,84052,1811,0,25,409
87,84063,235,0,6,79
88,84081,1842,0,53,393
89,84185,857,333,16,166
90,84186,452,185,7,84
91,84055,566,0,6,79
92,84056,634,0,22,253
93,84057,64,0,5,76
94,84187,1661,604,4,72
95,84188,257,427,23,255
96,84058,34,0,6,79
97,84059,650,0,25,409
98,84060,275,0,22,253
99,84189,1444,527,25,410
100,84190,1516,563,17,168
101,84061,304,0,24,258
102,84062,24,0,6,80
103,84053,645,0,25,409
104,84191,1524,586,30,176
105,84192,448,142,4,70
106,84064,65,0,5,76
107,84065,1853,0,18,173
108,84066,436,0,7,86
109,84193,886,314,19,174
110,84194,512,128,4,69
111,84067,163,0,5,77
112,84068,46,0,30,176
113,84069,242,0,24,258
114,84195,1526,591,30,175
115,84196,1436,0,53,393
116,84070,1834,0,30,238
117,84071,53,0,5,76
118,84090,1843,0,53,393
119,84197,851,238,15,163
120,84198,1511,637,24,258
121,84073,1830,0,18,363
122,84074,376,0,19,178
123,84075,339,0,23,255
124,84199,1434,494,53,383
125,84200,867,353,20,245
126,84076,1845,0,53,393
127,84077,413,0,19,177
128,84078,369,0,17,167
129,84201,1667,628,6,82
130,84202,1442,521,25,410
131,84079,790,0,53,383
132,84080,373,0,17,167
133,84054,26,0,17,168
134,84203,874,389,21,248
135,84204,2516,700,30,238
136,84082,567,0,5,77
137,84083,1850,0,53,383
138,84084,1825,0,17,169
139,84205,862,309,18,171
140,84206,849,220,15,162
141,84085,639,0,17,167
142,84105,1841,0,23,320
143,84087,66,0,5,76
144,84207,1432,484,53,382
145,84208,866,348,20,243
146,84088,637,0,53,383
147,84089,375,0,30,176
148,84072,61,0,5,76
149,84209,445,123,4,68
150,84210,1433,490,53,382
151,84091,788,0,53,382
