key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,EID,PosX,PosY,PosZ,Elezen,Lalafell,Miqote,Roe,Hrothgar,Viera,,Hyur_F,Elezen_F,Lalafell_F,Miqote_F,Roe_F,Hrothgar_F,,Viera_F
int32,uint16,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0.05,1.1,1,0.7,0.9,1.1,1.1,1.1,1,1,1,0.7,0.9,1.1,0.8,1,1
2,1,0,0.05,-1.5,1,0.7,0.9,1.3,1.1,1.2,1,1,1,0.7,0.9,1.3,0.8,1,1.1
3,1,-1.3,0.05,0,1,0.7,0.9,1.2,1.1,1.1,1,1,1,0.7,0.9,1.2,0.8,1,1.05
4,1,1.3,0.05,0,1,0.7,0.9,1.2,1.1,1.1,1,1,1,0.7,0.9,1.2,0.8,1,1.05
5,1,-0.8,-0.05,0.8,1,0.7,0.9,1.1,1.1,1.1,1,1,1,0.7,0.9,1.1,0.8,1,1.05
6,1,0.8,-0.05,0.8,1,0.7,0.9,1.1,1.1,1.1,1,1,1,0.7,0.9,1.1,0.8,1,1.05
7,1,-0.9,-0.05,-1.1,1,0.7,0.9,1.3,1.1,1.2,1,1,1,0.7,0.9,1.3,0.8,1,1.1
8,1,0.9,-0.05,-1.1,1,0.7,0.9,1.3,1.1,1.2,1,1,1,0.7,0.9,1.3,0.8,1,1.1
9,2,0,0.05,0.6,0.95,0.8,0.95,1.2,1.1,1.5,1.1,1.15,1,0.8,1.1,1.1,1,1,1
10,2,0,0.05,-0.8,0.95,0.9,0.95,1.3,1.2,1.7,1.1,1.2,1.05,0.9,1.1,1.2,1,1.05,1.1
11,2,-0.7,0.05,0,0.95,0.9,0.95,1.25,1.2,1.65,1.1,1.15,1.05,0.9,1.1,1.15,1,1.05,1
12,2,0.7,0.05,0,0.95,0.9,0.95,1.25,1.2,1.65,1.1,1.15,1.05,0.9,1.1,1.15,1,1.05,1
13,2,-0.4,-0.05,0.4,0.95,0.9,0.95,1.25,1.2,1.55,1.1,1.2,1.05,0.9,1.1,1.15,1,1.05,1.05
14,2,0.4,-0.05,0.4,0.95,0.9,0.95,1.25,1.2,1.55,1.1,1.2,1.05,0.9,1.1,1.15,1,1.05,1.05
15,2,-0.4,-0.05,-0.7,1,0.9,0.95,1.3,1.2,1.65,1.1,1.2,1.1,0.9,1.1,1.2,1,1.1,1.1
16,2,0.4,-0.05,-0.7,1,0.9,0.95,1.3,1.2,1.65,1.1,1.2,1.1,0.9,1.1,1.2,1,1.1,1.1
17,3,0,0,2,1,0.5,0.8,1,1.1,1,0.95,1,1,0.5,0.8,1,0.8,1,0.8
18,3,0,0,-2.3,1,0.6,0.8,1.2,1.1,1.1,0.95,1,1,0.6,0.8,1.2,0.8,1,0.9
19,3,-2.2,0,0,1,0.5,0.8,1.1,1.1,1.05,0.95,1,1,0.5,0.8,1.1,0.8,1,0.8
20,3,2.2,0,0,1,0.5,0.8,1.1,1.1,1.05,0.95,1,1,0.5,0.8,1.1,0.8,1,0.8
21,3,-1.4,-0.1,1.4,1,0.5,0.8,1.1,1.1,1.05,0.95,1,1,0.5,0.8,1.1,0.8,1,0.8
22,3,1.4,-0.1,1.4,1,0.5,0.8,1.1,1.1,1.05,0.95,1,1,0.5,0.8,1.1,0.8,1,0.8
23,3,-1.5,-0.1,-1.7,1,0.6,0.8,1.3,1.1,1.1,0.95,1,1,0.6,0.8,1.3,0.8,1,0.9
24,3,1.5,-0.1,-1.7,1,0.6,0.8,1.3,1.1,1.1,0.95,1,1,0.6,0.8,1.3,0.8,1,0.9
25,4,0,0,2.4,1.1,0.5,0.9,1.1,1.1,1.05,1,1,1.1,0.5,0.9,1.1,0.9,1.1,1.1
26,4,0,0,-2.7,1.1,0.6,0.9,1.3,1.2,1.2,1.05,1,1.1,0.6,0.9,1.3,0.9,1.1,1.2
27,4,-2.6,0,0,1.1,0.5,0.9,1.2,1.1,1.1,1.05,1,1.1,0.5,0.9,1.2,0.9,1.1,1.1
28,4,2.6,0,0,1.1,0.5,0.9,1.2,1.1,1.1,1.05,1,1.1,0.5,0.9,1.2,0.9,1.1,1.1
29,4,-1.8,0,1.8,1.1,0.5,0.9,1.1,1,1.05,1,1,1.1,0.5,0.9,1.1,0.9,1.1,1.05
30,4,1.8,0,1.8,1.1,0.5,0.9,1.1,1,1.05,1,1,1.1,0.5,0.9,1.1,0.9,1.1,1.05
31,4,-1.8,0,-2,1.1,0.6,0.9,1.3,1.1,1.1,1.05,1,1.1,0.6,0.9,1.3,0.9,1.1,1.15
32,4,1.8,0,-2,1.1,0.6,0.9,1.3,1.1,1.1,1.05,1,1.1,0.6,0.9,1.3,0.9,1.1,1.15
33,4,0,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,4,0,5,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,4,-5.2,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,4,5.2,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,4,-4.2,5,4.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,4,4.2,5,4.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,4,-4.2,5,-4.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,4,4.2,5,-4.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,4,0,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,4,0,0,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,4,-6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,4,6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,4,-4,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,4,4,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,4,-4,0,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,4,4,0,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,1000,-0.3,0.15,-0.8,1.2,1,0.9,1.6,1,1.5,1.2,1,1.2,1,0.9,1.6,1,1.2,1.2
50,1000,0.3,0.15,-0.8,1.2,1,0.9,1.6,1,1.5,1.2,1,1.2,1,0.9,1.6,1,1.2,1.2
51,1000,-0.5,0.15,-0.8,1.2,1,0.9,1.6,1,1.5,1.2,1,1.2,1,0.9,1.6,1,1.2,1.2
52,1000,0.5,0.15,-0.8,1.2,1,0.9,1.6,1,1.5,1.2,1,1.2,1,0.9,1.6,1,1.2,1.2
53,2,0,0.3,1.1,1,0.7,0.9,1,1.1,1,1.1,1,1,0.7,0.9,1,0.8,1,1
54,2,0,0.3,-1.5,1,0.7,0.9,1.2,1.1,1,1.2,1,1,0.7,0.9,1.1,0.8,1,1
55,2,-1.3,0.3,0,1,0.7,0.9,1.1,1.1,1,1.1,1,1,0.7,0.9,1,0.8,1,1
56,2,1.3,0.3,0,1,0.7,0.9,1.1,1.1,1,1.1,1,1,0.7,0.9,1,0.8,1,1
57,2,-0.8,0.1,0.8,1,0.7,0.9,1,1.1,1,1.1,1,1,0.7,0.9,1,0.8,1,1
58,2,0.8,0.1,0.8,1,0.7,0.9,1,1.1,1,1.1,1,1,0.7,0.9,1,0.8,1,1
59,2,-0.9,0.1,-1.1,1,0.7,0.9,1.2,1.1,1,1.2,1,1,0.7,0.9,1.1,0.8,1,1
60,2,0.9,0.1,-1.1,1,0.7,0.9,1.2,1.1,1,1.2,1,1,0.7,0.9,1.1,0.8,1,1
61,2,0,0.1,0.6,0.95,0.8,0.95,1.2,1.1,1.2,1.15,1.15,1,0.8,1.1,1.1,1,1,1
62,2,0,0.1,-0.8,0.95,0.9,0.95,1.3,1.2,1.35,1.25,1.2,1.05,0.9,1.1,1.2,1,1.05,1.05
63,2,-0.7,0.1,0,0.95,0.9,0.95,1.25,1.2,1.2,1.2,1.15,1.05,0.9,1.1,1.15,1,1.05,1.05
64,2,0.7,0.1,0,0.95,0.9,0.95,1.25,1.2,1.2,1.2,1.15,1.05,0.9,1.1,1.15,1,1.05,1.05
65,2,-0.4,0.1,0.4,0.95,0.9,0.95,1.25,1.2,1.35,1.2,1.2,1.05,0.9,1.1,1.15,1,1.05,1.05
66,2,0.4,0.1,0.4,0.95,0.9,0.95,1.25,1.2,1.35,1.2,1.2,1.05,0.9,1.1,1.15,1,1.05,1.05
67,2,-0.4,0.1,-0.7,1,0.9,0.95,1.3,1.2,1.35,1.2,1.2,1.1,0.9,1.1,1.2,1,1.1,1
68,2,0.4,0.1,-0.7,1,0.9,0.95,1.3,1.2,1.35,1.2,1.2,1.1,0.9,1.1,1.2,1,1.1,1
69,2,0,-0.2,0.7,1.1,0.8,0.95,1.3,1.1,1.3,1,1.15,1.1,0.8,1.1,1.2,1,1.1,1
70,2,0,-0.2,-0.8,1.1,0.9,0.95,1.4,1.2,1.3,1,1.2,1.1,0.9,1.1,1.3,1,1.1,1.05
71,2,-0.7,-0.2,0,1.1,0.9,0.95,1.4,1.2,1.4,1,1.15,1.1,0.9,1.1,1.25,1,1.1,1.05
72,2,0.7,-0.2,0,1.1,0.9,0.95,1.4,1.2,1.4,1,1.15,1.1,0.9,1.1,1.25,1,1.1,1.05
73,2,-0.4,-0.2,0.5,1.1,0.9,0.95,1.35,1.2,1.35,1,1.2,1.1,0.9,1.1,1.25,1,1.1,1.05
74,2,0.4,-0.2,0.5,1.1,0.9,0.95,1.35,1.2,1.35,1,1.2,1.1,0.9,1.1,1.25,1,1.1,1.05
75,2,-0.4,-0.2,-0.7,1.1,0.9,0.95,1.4,1.2,1.35,1,1.2,1.2,0.9,1.1,1.3,1,1.2,1.05
76,2,0.4,-0.2,-0.7,1.1,0.9,0.95,1.4,1.2,1.35,1,1.2,1.2,0.9,1.1,1.3,1,1.2,1.05
