key,0,1
#,,
int32,str,str
0,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_SYSTEM_000_000","The basket is clearly designed to hold a large quantity of items, but for what purpose you cannot say..."
1,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_001","Thank you so much for your contribution! We pray you will favor us with your generosity in the future as well."
2,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_002","As ever, you are too kind. Your donation has brought us to the limit of our weekly budget, and so I must refuse any additional contributions until our coffers have been replenished. Thank you again!"
3,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_SYSTEM_000_003","The Shazenkai's weekly budget will be revised every <ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>Sunday</Case><Case(2)>Monday</Case><Case(3)>Tuesday</Case><Case(4)>Wednesday</Case><Case(5)>Thursday</Case><Case(6)>Friday</Case><Case(7)>Saturday</Case></Switch> at <If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>1</Case><Case(14)>2</Case><Case(15)>3</Case><Case(16)>4</Case><Case(17)>5</Case><Case(18)>6</Case><Case(19)>7</Case><Case(20)>8</Case><Case(21)>9</Case><Case(22)>10</Case><Case(23)>11</Case></Switch><Else/>12</If> <If(GreaterThanOrEqualTo(TopLevelParameter(218),12))>p.m.<Else/>a.m.</If> (Earth time)."
4,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_004","Though it pains me to do so, I must refuse any further contributions at this time. We have yet to allocate additional funds to pay gratuity for donations..."
5,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_010","On behalf of the Shazenkai, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, I thank you for your support."
6,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_011","The proceeds from your contributions have already been used to great effect. But I would not have you take me at my word alone."
7,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_012","I pray you pay a visit to Mitsuba of the Ten Thousand Stalls. She should be glad to tell you of the progress they have made."
