key,0,1
#,,
int32,str,str
0,"TEXT_SUBFST070_00220_SEQ_00","Gontrant is responsible for assigning guildleves at the Carline Canopy, and is offering to give you an introduction to the world of levequests."
1,"TEXT_SUBFST070_00220_SEQ_01","Guildleves are the means by which the Adventurers' Guild organizes and assigns the various requests made by the citizenry. To accept your first such task, make your way to Bentbranch Meadows and speak with Tierney."
2,"TEXT_SUBFST070_00220_SEQ_02","In order to gauge your ability to handle the various guildleves she has to offer, Tierney requires that you carry out a preliminary task."
3,"TEXT_SUBFST070_00220_SEQ_03","You have successfully completed the trial guildleve. Report to Tierney at Bentbranch Meadows."
4,"TEXT_SUBFST070_00220_SEQ_04","Tierney is now confident that you are capable of handling any of the trials and tribulations you might encounter at Bentbranch Meadows. Prove your worth as an adventurer, and continue to undertake the guildleves she has to offer."
5,"TEXT_SUBFST070_00220_SEQ_05",""
6,"TEXT_SUBFST070_00220_SEQ_06",""
7,"TEXT_SUBFST070_00220_SEQ_07",""
8,"TEXT_SUBFST070_00220_SEQ_08",""
9,"TEXT_SUBFST070_00220_SEQ_09",""
10,"TEXT_SUBFST070_00220_SEQ_10",""
11,"TEXT_SUBFST070_00220_SEQ_11",""
12,"TEXT_SUBFST070_00220_SEQ_12",""
13,"TEXT_SUBFST070_00220_SEQ_13",""
14,"TEXT_SUBFST070_00220_SEQ_14",""
15,"TEXT_SUBFST070_00220_SEQ_15",""
16,"TEXT_SUBFST070_00220_SEQ_16",""
17,"TEXT_SUBFST070_00220_SEQ_17",""
18,"TEXT_SUBFST070_00220_SEQ_18",""
19,"TEXT_SUBFST070_00220_SEQ_19",""
20,"TEXT_SUBFST070_00220_SEQ_20",""
21,"TEXT_SUBFST070_00220_SEQ_21",""
22,"TEXT_SUBFST070_00220_SEQ_22",""
23,"TEXT_SUBFST070_00220_SEQ_23",""
24,"TEXT_SUBFST070_00220_TODO_00","Speak with Tierney at Bentbranch Meadows."
25,"TEXT_SUBFST070_00220_TODO_01","Complete Tierney's trial guildleve."
26,"TEXT_SUBFST070_00220_TODO_02","Report to Tierney at Bentbranch Meadows."
27,"TEXT_SUBFST070_00220_TODO_03",""
28,"TEXT_SUBFST070_00220_TODO_04",""
29,"TEXT_SUBFST070_00220_TODO_05",""
30,"TEXT_SUBFST070_00220_TODO_06",""
