key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSB201_00832_SEQ_00","Wheiskaet would like to tell you about the final ingredient needed for the banquet."
1,"TEXT_GAIUSB201_00832_SEQ_01","In truth, Wheiskaet never intended for you to collect the final ingredient. Brayflox, his former quartermaster, was planning to deliver it to Costa del Sol herself. However, something appears to have befallen Brayflox and her people, and Wheiskaet would have you travel to their settlement and offer your assistance. Speak with Ozun Nazun at Hidden Falls docks to receive directions to Raincatcher Gully, where Brayflox's Longstop can be found."
2,"TEXT_GAIUSB201_00832_SEQ_02","Ozun Nazun tells you to ride the ferry to the Raincatcher Gully docks, and from there make your way west towards the goblin settlement. Follow his instructions and see if you can locate Brayflox or one of her people."
3,"TEXT_GAIUSB201_00832_SEQ_03","Having been informed of your impending arrival, Brayflox quickly explains that a large flying beast has driven the goblins from their lands. If you wish to obtain the final ingredient, you must first help the goblins reclaim their territory.

※Challenge Brayflox's Longstop with other players via the Duty Finder, or with a party of NPCs via Duty Support. Both systems are accessible from the main menu as well as the dungeon's entrance point."
4,"TEXT_GAIUSB201_00832_SEQ_04","In an epic battle that shall be forever remembered by goblin historians, you slay the invading dragon and return the displaced goblins to their beloved homes. Speak with Brayflox once more to claim your reward."
5,"TEXT_GAIUSB201_00832_SEQ_05","Brayflox proudly presents to you a hunk of gobbie gouda. Its unassuming appearance belies its powerful odor. Despite your overwhelming desire to throw it into the nearest river, endure the foul stench and bear it back to Wheiskaet at Costa del Sol."
6,"TEXT_GAIUSB201_00832_SEQ_06","Wheiskaet struggles to keep his composure as he accepts the goblin cheese. When pressed as to how the cheese is made, he replies that some things are best left unknown."
7,"TEXT_GAIUSB201_00832_SEQ_07",""
8,"TEXT_GAIUSB201_00832_SEQ_08",""
9,"TEXT_GAIUSB201_00832_SEQ_09",""
10,"TEXT_GAIUSB201_00832_SEQ_10",""
11,"TEXT_GAIUSB201_00832_SEQ_11",""
12,"TEXT_GAIUSB201_00832_SEQ_12",""
13,"TEXT_GAIUSB201_00832_SEQ_13",""
14,"TEXT_GAIUSB201_00832_SEQ_14",""
15,"TEXT_GAIUSB201_00832_SEQ_15",""
16,"TEXT_GAIUSB201_00832_SEQ_16",""
17,"TEXT_GAIUSB201_00832_SEQ_17",""
18,"TEXT_GAIUSB201_00832_SEQ_18",""
