key,0,1
#,,
int32,str,str
0,"TEXT_BANSAH102_01380_SEQ_00","Fyuu wishes to counteract the aggressive actions of the Coral Tridents."
1,"TEXT_BANSAH102_01380_SEQ_01","Fyuu is concerned that the battle standards erected by the Coral Tridents will unduly provoke the soldiers manning the tidegates. Take the flint stones given to you by the spawnling to the Sahagin Landbase, and burn these symbols of war and violence."
2,"TEXT_BANSAH102_01380_SEQ_02","You have set the Coral Tridents' battle standards aflame. Return to Fyuu at Novv's Nursery and report your success."
3,"TEXT_BANSAH102_01380_SEQ_03","Fyuu is certain that your small act of vandalism has struck a subtle blow for Novv's campaign for peace. Though his clutch prefers to take the diplomatic route whenever possible, the young Sahagin believes a more direct approach is the only option for dealing with his fanatical kin."
4,"TEXT_BANSAH102_01380_SEQ_04",""
5,"TEXT_BANSAH102_01380_SEQ_05",""
6,"TEXT_BANSAH102_01380_SEQ_06",""
7,"TEXT_BANSAH102_01380_SEQ_07",""
8,"TEXT_BANSAH102_01380_SEQ_08",""
9,"TEXT_BANSAH102_01380_SEQ_09",""
10,"TEXT_BANSAH102_01380_SEQ_10",""
11,"TEXT_BANSAH102_01380_SEQ_11",""
12,"TEXT_BANSAH102_01380_SEQ_12",""
13,"TEXT_BANSAH102_01380_SEQ_13",""
14,"TEXT_BANSAH102_01380_SEQ_14",""
15,"TEXT_BANSAH102_01380_SEQ_15",""
16,"TEXT_BANSAH102_01380_SEQ_16",""
17,"TEXT_BANSAH102_01380_SEQ_17",""
18,"TEXT_BANSAH102_01380_SEQ_18",""
19,"TEXT_BANSAH102_01380_SEQ_19",""
20,"TEXT_BANSAH102_01380_SEQ_20",""
21,"TEXT_BANSAH102_01380_SEQ_21",""
22,"TEXT_BANSAH102_01380_SEQ_22",""
23,"TEXT_BANSAH102_01380_SEQ_23",""
24,"TEXT_BANSAH102_01380_TODO_00","Burn the Sahagin battle standards found in front of the tidegates."
25,"TEXT_BANSAH102_01380_TODO_01","Report to Fyuu."
26,"TEXT_BANSAH102_01380_TODO_02",""
27,"TEXT_BANSAH102_01380_TODO_03",""
28,"TEXT_BANSAH102_01380_TODO_04",""
29,"TEXT_BANSAH102_01380_TODO_05",""
30,"TEXT_BANSAH102_01380_TODO_06",""
31,"TEXT_BANSAH102_01380_TODO_07",""
32,"TEXT_BANSAH102_01380_TODO_08",""
33,"TEXT_BANSAH102_01380_TODO_09",""
34,"TEXT_BANSAH102_01380_TODO_10",""
35,"TEXT_BANSAH102_01380_TODO_11",""
36,"TEXT_BANSAH102_01380_TODO_12",""
37,"TEXT_BANSAH102_01380_TODO_13",""
38,"TEXT_BANSAH102_01380_TODO_14",""
39,"TEXT_BANSAH102_01380_TODO_15",""
40,"TEXT_BANSAH102_01380_TODO_16",""
41,"TEXT_BANSAH102_01380_TODO_17",""
42,"TEXT_BANSAH102_01380_TODO_18",""
43,"TEXT_BANSAH102_01380_TODO_19",""
44,"TEXT_BANSAH102_01380_TODO_20",""
45,"TEXT_BANSAH102_01380_TODO_21",""
46,"TEXT_BANSAH102_01380_TODO_22",""
47,"TEXT_BANSAH102_01380_TODO_23",""
48,"TEXT_BANSAH102_01380_FYUU_000_000","Pshhh... The Coral Tridentsss have erected battle ssstandards mere paces from the tidegatesss. It ssseems dangerousss to me to let them ssso provoke the sssoldiers who man the walls."
49,"TEXT_BANSAH102_01380_FYUU_000_001","I know the clutchfather counsssels dissscussion over dessstruction, but─unlike my ssspawnbrother Pyuu─I do not think the Tridentsss would ressspond well to a polite requessst."
50,"TEXT_BANSAH102_01380_FYUU_000_002","I believe a sssmall act of vandalism is in order. Take these flint ssstones, and ssstrike sssparks onto their war banners. They shhhould burn nicely."
51,"TEXT_BANSAH102_01380_FYUU_000_003","Take the flint ssstones I gave you, and burn those battle ssstandards! The Tridents' ssstance towards reasoned dissscourse is well known─if we cannot turn them from their path with words, then we must ssseek to counteract their hossstility!"
52,"TEXT_BANSAH102_01380_POPMESSAGE_000_010","（★未使用／削除予定★）"
53,"TEXT_BANSAH102_01380_FYUU_000_020","Well done, shhhorewalker! A sssimple act, to be shhhure, but you have ssstruck a sssubtle blow for our cause."
54,"TEXT_BANSAH102_01380_FYUU_000_021","Pshhh. My clutchmates think me hot-headed, and Clutchfather Novv often ssscolds me for my temper..."
55,"TEXT_BANSAH102_01380_FYUU_000_022","But the direct approach is the <Emphasis>only</Emphasis> approach when it comes to the Coral Tridentsss. And do not forget: all we do, we do to prevent a greater conflict with your finless peoples."
