key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ415_01833_SEQ_00","Mogson looks to be in a gift-giving mood."
1,"TEXT_HEAVNZ415_01833_SEQ_01","Mogson wants to do something nice for his friend Mogmill in Moghome, who is something of an aficionado of the tools of the landlords. Go to the Landlord Colony and look for anything that might make a suitable present."
2,"TEXT_HEAVNZ415_01833_SEQ_02","After searching the ruins of the Landlord Colony, you find a collection of tools that should be enough to impress an enthusiast of rusty equipment. Deliver them to Mogmill in Moghome."
3,"TEXT_HEAVNZ415_01833_SEQ_03","Mogmill is amazed at the worn tools you hand him, excited to add them to his ever-growing collection."
4,"TEXT_HEAVNZ415_01833_SEQ_04",""
5,"TEXT_HEAVNZ415_01833_SEQ_05",""
6,"TEXT_HEAVNZ415_01833_SEQ_06",""
7,"TEXT_HEAVNZ415_01833_SEQ_07",""
8,"TEXT_HEAVNZ415_01833_SEQ_08",""
9,"TEXT_HEAVNZ415_01833_SEQ_09",""
10,"TEXT_HEAVNZ415_01833_SEQ_10",""
11,"TEXT_HEAVNZ415_01833_SEQ_11",""
12,"TEXT_HEAVNZ415_01833_SEQ_12",""
13,"TEXT_HEAVNZ415_01833_SEQ_13",""
14,"TEXT_HEAVNZ415_01833_SEQ_14",""
15,"TEXT_HEAVNZ415_01833_SEQ_15",""
16,"TEXT_HEAVNZ415_01833_SEQ_16",""
17,"TEXT_HEAVNZ415_01833_SEQ_17",""
18,"TEXT_HEAVNZ415_01833_SEQ_18",""
19,"TEXT_HEAVNZ415_01833_SEQ_19",""
20,"TEXT_HEAVNZ415_01833_SEQ_20",""
21,"TEXT_HEAVNZ415_01833_SEQ_21",""
22,"TEXT_HEAVNZ415_01833_SEQ_22",""
23,"TEXT_HEAVNZ415_01833_SEQ_23",""
24,"TEXT_HEAVNZ415_01833_TODO_00","Search for ancient tools near the Landlord Colony."
25,"TEXT_HEAVNZ415_01833_TODO_01","Deliver the tools to Mogmill."
26,"TEXT_HEAVNZ415_01833_TODO_02",""
27,"TEXT_HEAVNZ415_01833_TODO_03",""
28,"TEXT_HEAVNZ415_01833_TODO_04",""
29,"TEXT_HEAVNZ415_01833_TODO_05",""
30,"TEXT_HEAVNZ415_01833_TODO_06",""
31,"TEXT_HEAVNZ415_01833_TODO_07",""
32,"TEXT_HEAVNZ415_01833_TODO_08",""
33,"TEXT_HEAVNZ415_01833_TODO_09",""
34,"TEXT_HEAVNZ415_01833_TODO_10",""
35,"TEXT_HEAVNZ415_01833_TODO_11",""
36,"TEXT_HEAVNZ415_01833_TODO_12",""
37,"TEXT_HEAVNZ415_01833_TODO_13",""
38,"TEXT_HEAVNZ415_01833_TODO_14",""
39,"TEXT_HEAVNZ415_01833_TODO_15",""
40,"TEXT_HEAVNZ415_01833_TODO_16",""
41,"TEXT_HEAVNZ415_01833_TODO_17",""
42,"TEXT_HEAVNZ415_01833_TODO_18",""
43,"TEXT_HEAVNZ415_01833_TODO_19",""
44,"TEXT_HEAVNZ415_01833_TODO_20",""
45,"TEXT_HEAVNZ415_01833_TODO_21",""
46,"TEXT_HEAVNZ415_01833_TODO_22",""
47,"TEXT_HEAVNZ415_01833_TODO_23",""
48,"TEXT_HEAVNZ415_01833_MOGSON_000_000","A friend of mine in Moghome has a bit of an obsession with the tools of the landlords. It's easy to see why─we moogles love shiny things, kupo!"
49,"TEXT_HEAVNZ415_01833_MOGSON_000_001","Tools from ages lost can be found strewn about the Landlord Colony, ripe for the taking. My friend Mogmill would be overjoyed if you could find and deliver a few pieces to him in Moghome."
50,"TEXT_HEAVNZ415_01833_MOGSON_000_010","It'd be a shame to let the landlords' equipment just sit and gather rust. Mogmill will surely put it to better use, kupo."
51,"TEXT_HEAVNZ415_01833_MOGSON_000_020","Mogmill has long been a collector of the landlords' tools. I've been tempted to start my own collection, kupo!"
52,"TEXT_HEAVNZ415_01833_MOGMILL_000_030","Moogle tools are dreadfully dull. I wish I had more of the landlords' shiny scraps, kupo..."
53,"TEXT_HEAVNZ415_01833_MOGMILL_000_031","...This sheen, it's so bold! This metal's luster is so lovely, kupopo! ...What's that, Mogson said to give these to me? Thank you, adventurer! I'll make sure to send my regards to Mogson as well!"
54,"TEXT_HEAVNZ415_01833_MOGMILL_000_032","Collecting these landlord relics has become a bit of an obsession for me. Everything is so shiny, I feel like I can just stare at my glittering collection all day, kupo..."
