key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNY241_02394_SEQ_00","Unukalhai has a request regarding the final eikon of the Warring Triad."
1,"TEXT_HEAVNY241_02394_SEQ_01","Unukalhai informs you that the Scions have begun a search inside Azys Lla's research facility. They seek to locate the thralls responsible for maintaining the manifestation of the last remaining eikon of the Warring Triad, but certain sectors are too dangerous to enter for those not blessed with the Echo. Make your way to the Flagship, and wait for your comrades to arrive at the agreed rendezvous point."
2,"TEXT_HEAVNY241_02394_SEQ_02","After arriving on Azys Lla with Unukalhai, your fellow Scions soon join you with the disturbing news that an imperial force once more occupies the facility. As Urianger ponders the inefficacy of his wards, Regula van Hydrus approaches your party and explains the reason for the magick's failure: a pulse of power from the soon-to-awaken Zurvan. The legatus quickly describes the dire situation, and urges you to join him and his troops in preventing the Demon's thralls from rousing their master. Hurry after Unukalhai, and delve into central Azys Lla."
3,"TEXT_HEAVNY241_02394_SEQ_03","You speak with Unukalhai, and he urges you to not fall behind the rest of your companions. The ritual must be stopped.

※The verification node can be used to re-enter central Azys Lla."
4,"TEXT_HEAVNY241_02394_SEQ_04","You destroy the devices feeding aether to the stirring Zurvan, and return the eikon to a fitful slumber. But the temporary victory is not without a cost: in an unexpected act of heroism, Regula is struck down as he defends an overmatched Unukalhai. With his dying breath, the legatus bids you complete his duty, and slay the Demon and his followers. You withdraw with your companions, and the masked youth stands somewhat apart, shaken and disbelieving...

※The verification node can be used to re-enter central Azys Lla."
5,"TEXT_HEAVNY241_02394_SEQ_05","Regula's sacrifice has afforded you the chance to strike at a weakened Zurvan. With their tasks assigned, your companions depart to secure the controls to the eikon's shackles. It falls to you and your handpicked company of warriors to bring oblivion to the Demon himself.

※Containment Bay Z1T9 can be accessed via the Duty Finder."
6,"TEXT_HEAVNY241_02394_SEQ_06","You have felled the monstrous Zurvan. Make your way back to the Flagship."
7,"TEXT_HEAVNY241_02394_SEQ_07","With the fall of Zurvan, the cataclysmic threat of the Warring Triad has at last been expunged. Even as your fellow Scions praise Regula's final heroic act, however, Unukalhai once more agonizes over his own inadequate strength. Return to the Rising Stones, and listen to the masked youth's story."
