key,0,1
#,,
int32,str,str
0,"TEXT_CLSARM630_02595_SEQ_00","H'naanza has an air of poorly concealed concern."
1,"TEXT_CLSARM630_02595_SEQ_01","H'naanza complains that Blanstyr has sent no word of his safe arrival in the Far East. With poorly concealed concern, she asks that you check on the veteran artisan the next time you find yourself in Kugane...for the sake of the guild, of course."
2,"TEXT_CLSARM630_02595_SEQ_02","You find Blanstyr standing as if spellbound by the armor on a statue in Kugane, but otherwise safe and sound. Although the shrewd craftsman immediately accuses you of spying for H'naanza, he shows no hesitation in requesting your help with finding a local forge. Head into the artisans' district and catch up with Blanstyr."
3,"TEXT_CLSARM630_02595_SEQ_03","Blanstyr approaches the master of Kokajiya and explains how the design of a Heavensturn helmet inspired him to develop his own unique style. Fugetsu mistakes you for another hopeful apprentice, and you find yourself assigned the same crafting task as Blanstyr. Speak with Unryu, and request the materials needed to synthesize a high-quality suit of paladin mail."
4,"TEXT_CLSARM630_02595_SEQ_04","Unryu hands over the supplies you need, and reminds you to present your finished work to Fugetsu.

※In the event you lose the ingredients or the synthesis ends in failure, you may try again by speaking with Unryu."
5,"TEXT_CLSARM630_02595_SEQ_05","Fugetsu is duly impressed with your finely crafted set of Eorzean-style armor, and promises to commence your lessons once he is finished honoring an important commission. Share your success with Blanstyr."
6,"TEXT_CLSARM630_02595_SEQ_06","Blanstyr seems pleased that you have both been accepted as apprentices, and restates his determination to work on developing an individual style. Until Fugetsu is free to begin your instruction, however, it seems you must be content with improving yourself by exploring the properties of the local materials.

※The next armorer quest will be available from Blanstyr upon reaching level 65."
7,"TEXT_CLSARM630_02595_SEQ_07",""
8,"TEXT_CLSARM630_02595_SEQ_08",""
9,"TEXT_CLSARM630_02595_SEQ_09",""
10,"TEXT_CLSARM630_02595_SEQ_10",""
11,"TEXT_CLSARM630_02595_SEQ_11",""
12,"TEXT_CLSARM630_02595_SEQ_12",""
13,"TEXT_CLSARM630_02595_SEQ_13",""
14,"TEXT_CLSARM630_02595_SEQ_14",""
15,"TEXT_CLSARM630_02595_SEQ_15",""
16,"TEXT_CLSARM630_02595_SEQ_16",""
17,"TEXT_CLSARM630_02595_SEQ_17",""
18,"TEXT_CLSARM630_02595_SEQ_18",""
19,"TEXT_CLSARM630_02595_SEQ_19",""
