key,0,1
#,,
int32,str,str
0,"TEXT_FESSUM301_02956_SEQ_00","Mayaru Moyaru at the Aftcastle wishes to tell you all there is to be told of the Moonfire Faire.
※This quest is available for a limited time only."
1,"TEXT_FESSUM301_02956_SEQ_01","Mayaru Moyaru tells you that the Moonfire Faire is being held on the Isle of Endless Summer. Travel to the isle in eastern La Noscea and learn more from the Faire's chaperone, Haermaga.

※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone."
2,"TEXT_FESSUM301_02956_SEQ_02","The Moonfire Faire aims to energize the Isle of Endless Summer and promote it as a new paradise resort. Things are going so exceedingly well, however, that some extra aid is needed. Speak with P'obyano on the isle to learn how you can help."
3,"TEXT_FESSUM301_02956_SEQ_03","You are tasked with helping launch the maritime fireworks display. Speak with Jiriri on the Isle of Endless Summer to learn more about the festivities."
4,"TEXT_FESSUM301_02956_SEQ_04","Use the summer firework on a firework mortar on the Isle of Endless Summer."
5,"TEXT_FESSUM301_02956_SEQ_05","You used the summer firework on a firework mortar. Report back to P'obyano on the Isle of Endless Summer."
6,"TEXT_FESSUM301_02956_SEQ_06","P'obyano tells you that Haermaga may know more of treasure spoken by those who saw your fireworks display. You have been asked to aid further in the Moonfire Faire efforts. Take a look around and help where help is needed."
7,"TEXT_FESSUM301_02956_SEQ_07",""
8,"TEXT_FESSUM301_02956_SEQ_08",""
9,"TEXT_FESSUM301_02956_SEQ_09",""
10,"TEXT_FESSUM301_02956_SEQ_10",""
11,"TEXT_FESSUM301_02956_SEQ_11",""
12,"TEXT_FESSUM301_02956_SEQ_12",""
13,"TEXT_FESSUM301_02956_SEQ_13",""
14,"TEXT_FESSUM301_02956_SEQ_14",""
15,"TEXT_FESSUM301_02956_SEQ_15",""
16,"TEXT_FESSUM301_02956_SEQ_16",""
17,"TEXT_FESSUM301_02956_SEQ_17",""
18,"TEXT_FESSUM301_02956_SEQ_18",""
19,"TEXT_FESSUM301_02956_SEQ_19",""
20,"TEXT_FESSUM301_02956_SEQ_20",""
21,"TEXT_FESSUM301_02956_SEQ_21",""
22,"TEXT_FESSUM301_02956_SEQ_22",""
23,"TEXT_FESSUM301_02956_SEQ_23",""
24,"TEXT_FESSUM301_02956_TODO_00","Speak with Haermaga on the Isle of Endless Summer."
