key,0,1
#,,
int32,str,str
0,"TEXT_BANANA404_03053_SEQ_00","Eshana wants your assistance in training a new recruit.

※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest."
1,"TEXT_BANANA404_03053_SEQ_01",""
2,"TEXT_BANANA404_03053_SEQ_02",""
3,"TEXT_BANANA404_03053_SEQ_03",""
4,"TEXT_BANANA404_03053_SEQ_04",""
5,"TEXT_BANANA404_03053_SEQ_05",""
6,"TEXT_BANANA404_03053_SEQ_06",""
7,"TEXT_BANANA404_03053_SEQ_07",""
8,"TEXT_BANANA404_03053_SEQ_08",""
9,"TEXT_BANANA404_03053_SEQ_09",""
10,"TEXT_BANANA404_03053_SEQ_10",""
11,"TEXT_BANANA404_03053_SEQ_11",""
12,"TEXT_BANANA404_03053_SEQ_12",""
13,"TEXT_BANANA404_03053_SEQ_13",""
14,"TEXT_BANANA404_03053_SEQ_14",""
15,"TEXT_BANANA404_03053_SEQ_15",""
16,"TEXT_BANANA404_03053_SEQ_16",""
17,"TEXT_BANANA404_03053_SEQ_17",""
18,"TEXT_BANANA404_03053_SEQ_18",""
19,"TEXT_BANANA404_03053_SEQ_19",""
20,"TEXT_BANANA404_03053_SEQ_20",""
21,"TEXT_BANANA404_03053_SEQ_21",""
22,"TEXT_BANANA404_03053_SEQ_22",""
23,"TEXT_BANANA404_03053_SEQ_23",""
24,"TEXT_BANANA404_03053_TODO_00","Spar with the Ananta recruit in the Striped Hills."
25,"TEXT_BANANA404_03053_TODO_01","Speak with the Ananta instructor."
26,"TEXT_BANANA404_03053_TODO_02","Report to Eshana."
27,"TEXT_BANANA404_03053_TODO_03",""
28,"TEXT_BANANA404_03053_TODO_04",""
29,"TEXT_BANANA404_03053_TODO_05",""
30,"TEXT_BANANA404_03053_TODO_06",""
31,"TEXT_BANANA404_03053_TODO_07",""
32,"TEXT_BANANA404_03053_TODO_08",""
33,"TEXT_BANANA404_03053_TODO_09",""
34,"TEXT_BANANA404_03053_TODO_10",""
35,"TEXT_BANANA404_03053_TODO_11",""
36,"TEXT_BANANA404_03053_TODO_12",""
37,"TEXT_BANANA404_03053_TODO_13",""
38,"TEXT_BANANA404_03053_TODO_14",""
39,"TEXT_BANANA404_03053_TODO_15",""
40,"TEXT_BANANA404_03053_TODO_16",""
41,"TEXT_BANANA404_03053_TODO_17",""
42,"TEXT_BANANA404_03053_TODO_18",""
43,"TEXT_BANANA404_03053_TODO_19",""
44,"TEXT_BANANA404_03053_TODO_20",""
45,"TEXT_BANANA404_03053_TODO_21",""
46,"TEXT_BANANA404_03053_TODO_22",""
47,"TEXT_BANANA404_03053_TODO_23",""
48,"TEXT_BANANA404_03053_ESHANA_000_000","Have you a moment or two to ssspare, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>? I have an overconfident recruit who could benefit from a sssparring sssession with one of your experience."
49,"TEXT_BANANA404_03053_ESHANA_000_001","Captain Alpa is expending every effort to sssecure our position here on the bridge, and we cannot afford to have unreliable sssoldiers in our ranksss. "
50,"TEXT_BANANA404_03053_ESHANA_000_002","You will find thisss recruit training with an inssstructor in the Striped Hills─open my sssister's eyes to her shortcomings, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>."
51,"TEXT_BANANA404_03053_ANANTASOLDIER03053_000_010","You... You're the eikon-ssslayer! What need do you have of one like me?"
52,"TEXT_BANANA404_03053_ANANTASOLDIER03053_000_011","（★未使用／削除予定★）"
53,"TEXT_BANANA404_03053_ANANTAKLEADER03053_100_011","You've come to train our ssstone-headed sssister? Good. She has talent for the ssspear and the blade, but has yet to learn the value of humility."
54,"TEXT_BANANA404_03053_ANANTASOLDIER03053_000_012","If you're ready to ssspar, then let usss be about it!"
55,"TEXT_BANANA404_03053_BALLOON_000_020","Do your worssst!"
56,"TEXT_BANANA404_03053_BALLOON_000_021","But, I thought...
I need to catch my breath..."
57,"TEXT_BANANA404_03053_BALLOON_000_022","（★未使用／削除予定★）"
58,"TEXT_BANANA404_03053_ANANTAKLEADER03053_000_025","You ssstrike with admirable force, but do not underessstimate your opponent."
59,"TEXT_BANANA404_03053_ANANTAKLEADER03053_000_026","I appreciate the way you humbled her, ssstrider. Watching you fight was as much a joy for me as it was a lessson for her."
60,"TEXT_BANANA404_03053_ANANTAKLEADER03053_000_027","And now that you have knocked her down, it will be my job to build her up again─thisss time with better habitsss I should hope. Eshana will be pleased."
61,"TEXT_BANANA404_03053_ESHANA_000_030","How went the training?"
62,"TEXT_BANANA404_03053_ESHANA_000_031","Hah! You ssspared her no mercy, then! That is good. I only hope that the change to her perssspective lasssts longer than her bruises."
63,"TEXT_BANANA404_03053_ESHANA_000_032","And if it doesn't, well...I may sssend you for another sssparring match!"
64,"TEXT_BANANA404_03053_ANANTAKLEADER03053_000_035","Return to Eshana─I will follow up on the “educational” drubbing you gave my sssister."
