key,0,1
#,,
int32,str,str
0,"TEXT_STMBDD102_03071_SEQ_00","Though his face betrays little sign of panic, Hien is plainly desperate to find Yotsuyu before something terrible happens."
1,"TEXT_STMBDD102_03071_SEQ_01",""
2,"TEXT_STMBDD102_03071_SEQ_02",""
3,"TEXT_STMBDD102_03071_SEQ_03",""
4,"TEXT_STMBDD102_03071_SEQ_04",""
5,"TEXT_STMBDD102_03071_SEQ_05",""
6,"TEXT_STMBDD102_03071_SEQ_06",""
7,"TEXT_STMBDD102_03071_SEQ_07",""
8,"TEXT_STMBDD102_03071_SEQ_08",""
9,"TEXT_STMBDD102_03071_SEQ_09",""
10,"TEXT_STMBDD102_03071_SEQ_10",""
11,"TEXT_STMBDD102_03071_SEQ_11",""
12,"TEXT_STMBDD102_03071_SEQ_12",""
13,"TEXT_STMBDD102_03071_SEQ_13",""
14,"TEXT_STMBDD102_03071_SEQ_14",""
15,"TEXT_STMBDD102_03071_SEQ_15",""
16,"TEXT_STMBDD102_03071_SEQ_16",""
17,"TEXT_STMBDD102_03071_SEQ_17",""
18,"TEXT_STMBDD102_03071_SEQ_18",""
19,"TEXT_STMBDD102_03071_SEQ_19",""
20,"TEXT_STMBDD102_03071_SEQ_20",""
21,"TEXT_STMBDD102_03071_SEQ_21",""
22,"TEXT_STMBDD102_03071_SEQ_22",""
23,"TEXT_STMBDD102_03071_SEQ_23",""
24,"TEXT_STMBDD102_03071_TODO_00","Question residents of Yuzuka Manor."
25,"TEXT_STMBDD102_03071_TODO_01","Search for signs of Yotsuyu."
26,"TEXT_STMBDD102_03071_TODO_02","Search for signs of Yotsuyu."
27,"TEXT_STMBDD102_03071_TODO_03","Search for signs of Yotsuyu."
28,"TEXT_STMBDD102_03071_TODO_04","Inspect the bamboo hat."
29,"TEXT_STMBDD102_03071_TODO_05",""
30,"TEXT_STMBDD102_03071_TODO_06",""
31,"TEXT_STMBDD102_03071_TODO_07",""
32,"TEXT_STMBDD102_03071_TODO_08",""
33,"TEXT_STMBDD102_03071_TODO_09",""
34,"TEXT_STMBDD102_03071_TODO_10",""
35,"TEXT_STMBDD102_03071_TODO_11",""
36,"TEXT_STMBDD102_03071_TODO_12",""
37,"TEXT_STMBDD102_03071_TODO_13",""
38,"TEXT_STMBDD102_03071_TODO_14",""
