key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMD111_03616_SEQ_00","Thancred is tired of waiting around."
1,"TEXT_LUCKMD111_03616_SEQ_01","No sooner do you inform Thancred you are ready to leave than he makes southward toward Nuvy's Leavings. Not one to be outdone, you quickly follow him."
2,"TEXT_LUCKMD111_03616_SEQ_02","Much to Thancred's surprise, Nuvy's Leavings is not completely deserted. This promising turn of events prompts Thancred to head straight into the mine in search of Guthjon."
3,"TEXT_LUCKMD111_03616_SEQ_03","Despite the poor lighting of the mines, you manage to find Guthjon, alone in a dark corner taking inventory. You explain why you have come, but his response is as Thaffe expected. Nevertheless, he believes there may be one way for you to find what you are after. Before he divulges this secret of his trade, however, he asks a favor of you─to retrieve a Voeburt gold piece he dropped somewhere in the mine. Thancred reluctantly agrees in your stead, but it seems he has a plan up his sleeve."
4,"TEXT_LUCKMD111_03616_SEQ_04","Searching in the dark for the Voeburt gold seems a hopeless endeavor until Thancred presents you with a bottle of sundrops. A drop in each eye and suddenly the mine appears much brighter and vibrant. Now able to see, you begin your search."
5,"TEXT_LUCKMD111_03616_SEQ_05","You can feel the effects of the sundrops waning when a glint in the dark catches your eye. You rush over to sift through the rocks and soon find yourself in the possession of a Voeburt gold piece."
6,"TEXT_LUCKMD111_03616_SEQ_06","Upon seeing the gold piece, Thancred is relieved to see that Lady Luck has finally deigned to acknowledge your efforts. One can only hope Guthjon will do the same."
7,"TEXT_LUCKMD111_03616_SEQ_07","Guthjon seems surprised at your return. More so when you hand him the gold piece he lost in the mines. Now that you have held up your end of the deal, he prepares to do the same."
8,"TEXT_LUCKMD111_03616_SEQ_08",""
9,"TEXT_LUCKMD111_03616_SEQ_09",""
10,"TEXT_LUCKMD111_03616_SEQ_10",""
11,"TEXT_LUCKMD111_03616_SEQ_11",""
12,"TEXT_LUCKMD111_03616_SEQ_12",""
13,"TEXT_LUCKMD111_03616_SEQ_13",""
14,"TEXT_LUCKMD111_03616_SEQ_14",""
15,"TEXT_LUCKMD111_03616_SEQ_15",""
16,"TEXT_LUCKMD111_03616_SEQ_16",""
17,"TEXT_LUCKMD111_03616_SEQ_17",""
18,"TEXT_LUCKMD111_03616_SEQ_18",""
19,"TEXT_LUCKMD111_03616_SEQ_19",""
20,"TEXT_LUCKMD111_03616_SEQ_20",""
