key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMJ104_04010_SEQ_00","Alisaie has only one thing on her mind."
1,"TEXT_LUCKMJ104_04010_SEQ_01",""
2,"TEXT_LUCKMJ104_04010_SEQ_02",""
3,"TEXT_LUCKMJ104_04010_SEQ_03",""
4,"TEXT_LUCKMJ104_04010_SEQ_04",""
5,"TEXT_LUCKMJ104_04010_SEQ_05",""
6,"TEXT_LUCKMJ104_04010_SEQ_06",""
7,"TEXT_LUCKMJ104_04010_SEQ_07",""
8,"TEXT_LUCKMJ104_04010_SEQ_08",""
9,"TEXT_LUCKMJ104_04010_SEQ_09",""
10,"TEXT_LUCKMJ104_04010_SEQ_10",""
11,"TEXT_LUCKMJ104_04010_SEQ_11",""
12,"TEXT_LUCKMJ104_04010_SEQ_12",""
13,"TEXT_LUCKMJ104_04010_SEQ_13",""
14,"TEXT_LUCKMJ104_04010_SEQ_14",""
15,"TEXT_LUCKMJ104_04010_SEQ_15",""
16,"TEXT_LUCKMJ104_04010_SEQ_16",""
17,"TEXT_LUCKMJ104_04010_SEQ_17",""
18,"TEXT_LUCKMJ104_04010_SEQ_18",""
19,"TEXT_LUCKMJ104_04010_SEQ_19",""
20,"TEXT_LUCKMJ104_04010_SEQ_20",""
21,"TEXT_LUCKMJ104_04010_SEQ_21",""
22,"TEXT_LUCKMJ104_04010_SEQ_22",""
23,"TEXT_LUCKMJ104_04010_SEQ_23",""
24,"TEXT_LUCKMJ104_04010_TODO_00","Speak with Alisaie at Maelstrom Command."
25,"TEXT_LUCKMJ104_04010_TODO_01","Speak with Alphinaud."
26,"TEXT_LUCKMJ104_04010_TODO_02",""
27,"TEXT_LUCKMJ104_04010_TODO_03",""
28,"TEXT_LUCKMJ104_04010_TODO_04",""
29,"TEXT_LUCKMJ104_04010_TODO_05",""
30,"TEXT_LUCKMJ104_04010_TODO_06",""
31,"TEXT_LUCKMJ104_04010_TODO_07",""
32,"TEXT_LUCKMJ104_04010_TODO_08",""
33,"TEXT_LUCKMJ104_04010_TODO_09",""
34,"TEXT_LUCKMJ104_04010_TODO_10",""
35,"TEXT_LUCKMJ104_04010_TODO_11",""
36,"TEXT_LUCKMJ104_04010_TODO_12",""
37,"TEXT_LUCKMJ104_04010_TODO_13",""
38,"TEXT_LUCKMJ104_04010_TODO_14",""
39,"TEXT_LUCKMJ104_04010_TODO_15",""
40,"TEXT_LUCKMJ104_04010_TODO_16",""
41,"TEXT_LUCKMJ104_04010_TODO_17",""
42,"TEXT_LUCKMJ104_04010_TODO_18",""
43,"TEXT_LUCKMJ104_04010_TODO_19",""
44,"TEXT_LUCKMJ104_04010_TODO_20",""
45,"TEXT_LUCKMJ104_04010_TODO_21",""
46,"TEXT_LUCKMJ104_04010_TODO_22",""
47,"TEXT_LUCKMJ104_04010_TODO_23",""
48,"TEXT_LUCKMJ104_04010_GRAHATIA_100_000","Alas, the Ironworks crew couldn't linger long─far too much to do. Yet brief though our time together was, it was <Emphasis>bloody</Emphasis> good to see them!"
49,"TEXT_LUCKMJ104_04010_KRILE_100_001",""
50,"TEXT_LUCKMJ104_04010_TATARU_100_002",""
51,"TEXT_LUCKMJ104_04010_ALISAIE_000_000","At long last, we have our cure..."
52,"TEXT_LUCKMJ104_04010_GRAHATIA_100_001","In theory, at any rate. We cannot be certain until such time as we put it to the proof, but I am quietly confident."
53,"TEXT_LUCKMJ104_04010_ALISAIE_100_002","Well, if we're to test it on someone, then I suggest Ga Bu. His symptoms are relatively mild."
54,"TEXT_LUCKMJ104_04010_Q1_000_000","What will you say?"
55,"TEXT_LUCKMJ104_04010_A1_000_001","It'll be fine, I'm sure of it."
56,"TEXT_LUCKMJ104_04010_A1_000_002","As long as you exercise due caution..."
57,"TEXT_LUCKMJ104_04010_ALISAIE_100_003","Yes. As long as we exercise due caution, it will be fine."
58,"TEXT_LUCKMJ104_04010_ALISAIE_100_004","Without further ado, then, let's make for Limsa. We've kept Ga Bu waiting long enough!"
59,"TEXT_LUCKMJ104_04010_KRILE_000_010","I doubt I could contribute much towards what comes next, so I shall cheer you on from afar. Best of luck with the treatment."
60,"TEXT_LUCKMJ104_04010_TATARU_000_011","We'll all be praying for your success!"
61,"TEXT_LUCKMJ104_04010_GRAHATIA_000_012","'Tis plain Alisaie is very fond of Ga Bu. To the extent that I have a hand in it, I shall do all in my power to bring him back."
62,"TEXT_LUCKMJ104_04010_ALISAIE_000_013","Well, this is the moment of truth. I'll have our hosts bring Ga Bu to us at once."
63,"TEXT_LUCKMJ104_04010_YSHTOLA_000_014","Alisaie will succeed, I am certain of it. We need but have faith."
64,"TEXT_LUCKMJ104_04010_ALPHINAUD_000_015","Well, this seems as good a spot as any to have a rest."
