key,0,1
#,,
int32,str,str
0,"TEXT_AKTKRA205_04639_SEQ_00","Lahabrea would speak further of Athena's fate."
1,"TEXT_AKTKRA205_04639_SEQ_01","With Pandæmonium free from Hephaistos's control, the way forward is clear of obstacles. Lahabrea senses that his other half is cloistered away within the depths of Tartaros, where Athena carried out her most clandestine research. Themis makes ready to send you and the chief keyward to confront Hephaistos, that you might rid the world of his wickedness once and for all.

※Abyssos: The Eighth Circle can be accessed via the Duty Finder."
2,"TEXT_AKTKRA205_04639_SEQ_02","In the heart of Tartaros, you find yourself embroiled in a frenetic battle that sees Hephaistos taking form after form, stretching the very boundaries of creation magicks. In the end, however, even the purloined power of Pandæmonium's prisoners is no match for your own, and the would-be god falls to you and your phantom band. At your heels, Lahabrea stands ready to at last set right the mistake of his past."
3,"TEXT_AKTKRA205_04639_SEQ_03","As Lahabrea is about to deal the killing blow, Hephaistos shields himself with the insensate Erichthonios, prompting Lahabrea to at last reveal the truth of Athena's intentions before his son. A few well-placed words stir Erichthonios from his stupor, and gathering what strength he can, the keyward breaks free from the magic binding him. He inters Hephaistos in an aetherial casket, around which Lahabrea works his own magicks until all that remains is a fiery red crystal."
4,"TEXT_AKTKRA205_04639_SEQ_04","You take a moment to check in with Lahabrea, who is impressed that his son was able to work the magic of interment so adeptly, and even verbalizes the sentiment. With the immediate threat vanquished, there are questions that demand answers, and truths that demand to be told."
5,"TEXT_AKTKRA205_04639_SEQ_05",""
6,"TEXT_AKTKRA205_04639_SEQ_06",""
7,"TEXT_AKTKRA205_04639_SEQ_07",""
8,"TEXT_AKTKRA205_04639_SEQ_08",""
9,"TEXT_AKTKRA205_04639_SEQ_09",""
10,"TEXT_AKTKRA205_04639_SEQ_10",""
11,"TEXT_AKTKRA205_04639_SEQ_11",""
12,"TEXT_AKTKRA205_04639_SEQ_12",""
13,"TEXT_AKTKRA205_04639_SEQ_13",""
14,"TEXT_AKTKRA205_04639_SEQ_14",""
15,"TEXT_AKTKRA205_04639_SEQ_15",""
16,"TEXT_AKTKRA205_04639_SEQ_16",""
17,"TEXT_AKTKRA205_04639_SEQ_17",""
18,"TEXT_AKTKRA205_04639_SEQ_18",""
19,"TEXT_AKTKRA205_04639_SEQ_19",""
20,"TEXT_AKTKRA205_04639_SEQ_20",""
