key,0,1
#,,
int32,str,str
0,"TEXT_FESNYX202_05230_SEQ_00","The uma bugyo is eager to get the Heavensturn procession underway.
※This quest is available for a limited time only."
1,"TEXT_FESNYX202_05230_SEQ_01","The Heavensturn procession will soon commence outside the Zephyr Gate. The uma bugyo cordially invites you to attend, to which end you make your way to middle La Noscea, where the uma yoriki awaits.

※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone."
2,"TEXT_FESNYX202_05230_SEQ_02","Shortly after you join the uma yoriki, riders from the three Grand Companies arrive with their horses to participate in the procession. When the unicolt expresses its desire to join in, the uma yoriki relents on the condition that you will be accompanying it. The main procession then departs, leaving you to make your way to the destination with the unicolt.

※You must be following the uma–no–unicolt to complete this task. Speak with it again should you become separated."
3,"TEXT_FESNYX202_05230_SEQ_03","At your word, the unicolt sets off at a spirited run, and you follow after it towards the spectators gathered ahead.

※You must be following the uma–no–unicolt to complete this task. Speak with it again should you become separated."
4,"TEXT_FESNYX202_05230_SEQ_04","Having delighted the crowd, the unicolt looks at you expectantly, eager to continue on its way.

※You must be following the uma–no–unicolt to complete this task. Speak with it again should you become separated."
5,"TEXT_FESNYX202_05230_SEQ_05","Under your watchful eye, the unicolt safely arrives at the procession's end. There, it is warmly received by the uma yoriki and Grand Company riders, who muse about the common ground Eorzea and the Far East share in the unicorn. Your part in the festivities thus completed, you make your way back to the Aftcastle to report to the uma bugyo."
6,"TEXT_FESNYX202_05230_SEQ_06","In no small part due to your assistance, the procession has fulfilled its intended purpose and more besides. Noticing the bond you have developed with the unicolt, the uma bugyo bids you take it with you. Together with your small-but-spirited companion, you look forward to the journeys in the year ahead."
7,"TEXT_FESNYX202_05230_SEQ_07",""
8,"TEXT_FESNYX202_05230_SEQ_08",""
9,"TEXT_FESNYX202_05230_SEQ_09",""
10,"TEXT_FESNYX202_05230_SEQ_10",""
11,"TEXT_FESNYX202_05230_SEQ_11",""
12,"TEXT_FESNYX202_05230_SEQ_12",""
13,"TEXT_FESNYX202_05230_SEQ_13",""
14,"TEXT_FESNYX202_05230_SEQ_14",""
15,"TEXT_FESNYX202_05230_SEQ_15",""
16,"TEXT_FESNYX202_05230_SEQ_16",""
17,"TEXT_FESNYX202_05230_SEQ_17",""
18,"TEXT_FESNYX202_05230_SEQ_18",""
