#,Name,Order,RequiredItem[0],RequiredItem[1],RequiredItem[2],CompanyCraftDraftCategory,RequiredItemCount[0],RequiredItemCount[1],RequiredItemCount[2]
0,prototype d'aéronef II,1,12923,0,0,1,6,0,0
1,prototype d'aéronef III,2,12924,12923,0,1,10,4,0
2,prototype d'aéronef IV,3,12925,12923,0,1,10,4,0
3,prototype d'aéronef V,4,12926,12924,0,1,14,4,0
4,prototype d'aéronef VI,5,12927,12925,12923,1,14,4,4
5,prototype de restaurant,1,12920,0,0,2,10,0,0
6,prototype de boutique d'armures,2,12921,0,0,2,10,0,0
7,prototype de boutique d'armes,3,12922,12921,0,2,9,8,0
8,prototype de tour éthéréen II,1,12928,0,0,0,6,0,0
9,prototype de tour éthéréen III,2,12928,0,0,0,6,0,0
10,prototype de tour éthéréen IV,3,12928,0,0,0,6,0,0
11,prototype de tour éthéréen V,4,12929,12922,0,0,4,2,0
12,prototype de tour éthéréen VI,5,12929,12922,0,0,4,2,0
13,prototype de tour éthéréen VII,6,12929,12922,0,0,4,2,0
14,prototype de base de tour éthéréen II,7,12929,12922,12920,0,6,3,8
15,prototype de maison mog,4,12922,12921,12923,2,11,10,8
16,prototype de base de tour éthéréen III,8,12929,12922,12920,0,8,5,10
17,prototype d'aéronef VII,6,12927,12926,12925,1,18,8,8
18,prototype de base de tour éthéréen IV,9,12929,12922,12920,0,10,7,12
19,prototype de base de tour éthéréen V,10,12929,12922,12920,0,12,9,14
20,prototype de maison chocobo,5,12922,12921,12923,2,14,12,10
21,prototype de maison païssa,6,12922,12921,12923,2,16,14,12
22,prototype de maison Carbuncle,7,12922,12921,12923,2,18,16,14
23,prototype de château hingashien,8,12922,12921,12923,2,20,18,16
24,prototype de sous-marin I,7,5374,0,0,1,6,0,0
25,prototype de sous-marin II,8,12924,12923,0,1,10,4,0
26,prototype de sous-marin III,9,12925,12923,0,1,10,4,0
27,prototype de maison loutre choute,9,12922,12921,12923,2,21,19,17
28,prototype de sous-marin IV,10,12926,12924,0,1,14,4,0
29,prototype de sous-marin V,11,12927,12925,12923,1,14,4,4
30,prototype de sous-marin VI,12,26528,12926,12924,1,18,8,8
31,prototype de maison à colombages,10,12922,29590,26528,2,18,10,8
32,prototype de maison enclume,10,12922,29590,26528,2,18,10,8
33,prototype de maison fleurie,10,12922,29590,26528,2,18,10,8
34,prototype de forge,10,12922,29590,26528,2,18,10,8
35,prototype de maison café,10,12922,29590,26528,2,18,10,8
36,prototype de maison en pain d'épice,10,29590,37083,26528,2,18,10,8
37,prototype d'auberge orientale,10,29590,37083,26528,2,18,10,8
38,prototype de pavillon champêtre,10,29590,37083,26528,2,18,10,8
