#,Name,InclusionShopSeries,ClassJobCategory
0,,0,0
1,Tank,1,75
2,DPS de mêlée (DRG FCH),2,76
3,DPS de mêlée (MOI SAM),3,77
4,DPS à distance,4,78
5,DPS de mêlée (NIN VPR),5,104
6,Soigneur,6,80
7,DPS magique,7,79
8,Matériel de combat,8,0
9,Artisan,9,33
10,Matériel d'artisanat,10,0
11,Récolteur,11,32
12,Matériel de récolte,12,0
13,Tank,13,75
14,DPS de mêlée (DRG FCH),14,76
15,DPS de mêlée (MOI SAM),15,77
16,DPS à distance,16,78
17,DPS de mêlée (NIN VPR),17,104
18,Soigneur,18,80
19,DPS magique,19,79
20,Matériel de combat,20,0
21,Artisan,21,33
22,Matériel d'artisanat,22,0
23,Récolteur,23,32
24,Matériel de récolte,24,0
25,Tank,25,75
26,DPS de mêlée (DRG FCH),26,76
27,DPS de mêlée (MOI SAM),27,77
28,DPS à distance,28,78
29,DPS de mêlée (NIN VPR),29,104
30,Soigneur,30,80
31,DPS magique,31,79
32,Matériel de combat,32,0
33,Artisan,33,33
34,Matériel d'artisanat,34,0
35,Récolteur,35,32
36,Matériel de récolte,36,0
37,Tank,37,75
38,DPS de mêlée (DRG FCH),38,76
39,DPS de mêlée (MOI SAM),39,77
40,DPS à distance,40,78
41,DPS de mêlée (NIN VPR),41,104
42,Soigneur,42,80
43,DPS magique,43,79
44,Matériel de combat,44,0
45,Artisan,45,33
46,Matériel d'artisanat,46,0
47,Récolteur,47,32
48,Matériel de récolte,48,0
49,Assignats d'artisan (équipements),49,0
50,"Assignats d'artisan (recettes, matériaux, divers)",50,33
51,Assignats de récolteur (équipements),51,0
52,"Assignats de récolteur (légendes locales, matériaux, divers)",52,32
53,Assignats d'artisan (matérias),53,33
54,Assignats de récolteur (matérias),54,32
55,Assignats d'artisan (équipements),55,0
56,"Assignats d'artisan (recettes, matériaux, divers)",56,0
57,Assignats de récolteur (équipements),57,0
58,"Assignats de récolteur (légendes locales, matériaux, divers)",58,0
59,Assignats d'artisan (équipements),59,0
60,"Assignats d'artisan (recettes, matériaux, divers)",60,0
61,Assignats de récolteur (équipements),61,0
62,"Assignats de récolteur (légendes locales, matériaux, divers)",62,0
63,Marques de loup (armes de combattants),63,0
64,Marques de loup (armes de mages),64,0
65,Marques de loup (protections de combattants),65,0
66,Marques de loup (protections de mages),66,0
67,Marques de loup (divers),67,1
68,,0,0
69,,0,0
70,Assignats d'artisan (équipements),70,0
71,"Assignats d'artisan (recettes, matériaux, divers)",71,0
72,Assignats de récolteur (équipements),72,0
73,"Assignats de récolteur (légendes locales, matériaux, divers)",73,0
74,Tank,74,75
75,DPS de mêlée (DRG FCH),75,76
76,DPS de mêlée (MOI SAM),76,77
77,DPS de mêlée (NIN VPR),77,104
78,DPS à distance,78,78
79,Soigneur,80,80
80,DPS magique,79,79
81,Matériel de combat,81,0
82,Artisan,82,33
83,Matériel d'artisanat,83,0
84,Récolteur,84,32
85,Matériel de récolte,85,0
86,,0,0
