key,0,1
#,,
int32,str,str
0,"TEXT_REGSEAPIRATE_00074_GERALD_000_1","Limsa Lominsa évoque souvent l'image d'une cité de pirates, mais notre façon de vivre a beaucoup évolué à travers le temps. Si ça t'intéresse, je peux te renseigner sur notre compte."
1,"TEXT_REGSEAPIRATE_00074_GERALD_000_2","Mon nom est Gerald. Je fais partie de la bande du kraken, l'un des plus célèbres équipages de pirates à Limsa Lominsa. Je me charge de toutes sortes de requêtes et j'aide pour les pourparlers commerciaux."
2,"TEXT_REGSEAPIRATE_00074_GERALD_000_3","Outre son grand talent pour la navigation, notre chef Carvallain a également un véritable flair pour anticiper les grands changements."
3,"TEXT_REGSEAPIRATE_00074_GERALD_000_4","C'est lui qui a eu l'idée de se lancer dans le négoce d'épices pour surmonter le coup dur que le Fléau nous a porté, et il a réussi à amasser une belle fortune de cette façon."
4,"TEXT_REGSEAPIRATE_00074_GERALD_000_5","J'essaie d'apprendre tout ce que je peux de lui dans l'espoir de devenir un jour son lieutenant."
5,"TEXT_REGSEAPIRATE_00074_GERALD_000_11","Limsa Lominsa a été fondée par les Roegadyns du Clan de la Mer. Si tu as déjà entendu évoquer les terribles pirates appelés les “loups de mer”, c'est exactement de ces gens que je veux parler."
6,"TEXT_REGSEAPIRATE_00074_GERALD_000_12","Malgré la pauvreté des premiers temps, notre cité a réussi à se hisser parmi les grands États d'Éorzéa, accumulant ses richesses, avouons-le, grâce au brigandage en mer, sa grande force."
7,"TEXT_REGSEAPIRATE_00074_GERALD_000_13","Sa position de carrefour maritime a fait de Limsa Lominsa une ville cosmopolite dont la principale activité est longtemps restée la piraterie, d'où l'image qu'elle traîne encore aujourd'hui."
8,"TEXT_REGSEAPIRATE_00074_GERALD_000_21","Limsa Lominsa était devenue un véritable repaire de pirates, pour le plus grand malheur des autres cités-États d'Éorzéa."
9,"TEXT_REGSEAPIRATE_00074_GERALD_000_22","Ce n'était certes pas un problème en soi à l'époque où toutes les nations rivalisaient entre elles, mais nous vivons désormais des temps où la coopération et l'union prévalent."
10,"TEXT_REGSEAPIRATE_00074_GERALD_000_23","C'est donc dans ce contexte que l'amirale Bloefhiswyn a décidé d'interdire la piraterie et a appelé les naufrageurs à rejoindre le combat contre nos ennemis communs. C'est ainsi qu'a été signé l'Accord Galadion dont le but était de contrecarrer les plans de l'Empire."
11,"TEXT_REGSEAPIRATE_00074_GERALD_000_24","Les trois équipages qui l'ont signé sont les Bourreaux, les Sirènes san<SoftHyphen/>gui<SoftHyphen/>nai<SoftHyphen/>res et nous autres de la Horde du kraken. En échange, nous avons tous obtenu des lettres de marque nous autorisant of<SoftHyphen/>fi<SoftHyphen/>ciel<SoftHyphen/>le<SoftHyphen/>ment à attaquer et piller les navires garlemaldais."
12,"TEXT_REGSEAPIRATE_00074_Q1_000_1","Que voulez-vous savoir<Indent/>?"
13,"TEXT_REGSEAPIRATE_00074_A1_000_1","Qui êtes-vous<Indent/>?"
14,"TEXT_REGSEAPIRATE_00074_A1_000_2","Qui est le lien entre Limsa Lominsa et les pirates<Indent/>?"
15,"TEXT_REGSEAPIRATE_00074_A1_000_3","Comment l'in<SoftHyphen/>ter<SoftHyphen/>dic<SoftHyphen/>tion de la piraterie a-t-elle été décidée<Indent/>?"
16,"TEXT_REGSEAPIRATE_00074_A1_000_4","Rien en particulier"
