key,0,1
#,,
int32,str,str
0,"TEXT_CLSGLA300_00265_SEQ_00","Mylla semble troublée par de récents événements..."
1,"TEXT_CLSGLA300_00265_SEQ_01","Aldis a été arrêté par les lames de cuivre pour avoir manigancé l'assassinat de la Sultane. Mylla suspecte les Alacrán d'avoir lancé ces accusations, et vous a demandé d'aller voir l'informateur Wymond au faubourg de Nald pour savoir ce qu'il sait de cette conspiration."
2,"TEXT_CLSGLA300_00265_SEQ_02","Wymond vous a révélé que le poison découvert sur Aldis s'avérait être de la “bile de Rhalgr”. La recette de cette substance rare et chère est réputée être le monopole de la brigade des Cadavres, un groupe de criminels. Infiltrez leur repaire de La Sépulture, dans le Thanalan méridional, et cherchez des preuves qu'ils ont fourni de ce poison aux Alacrán."
3,"TEXT_CLSGLA300_00265_SEQ_03","Vous avez découvert une fiole de bile de Rhalgr et un document prouvant qu'un échantillon de ce poison a été vendu aux Alacrán, et non pas à Aldis. Apportez ces éléments à Mylla, à la guilde des gladiateurs."
4,"TEXT_CLSGLA300_00265_SEQ_04","Bien que le maître de guilde se soit réjoui de votre découverte, vos efforts semblent avoir été vains. Le Sanctuaire a en effet ordonné l'exécution d'Aldis, et votre seul espoir de le sauver est de remettre les preuves que vous détenez au prêtre de l'ordre de Nald'thal qui officie au Viaduc, dans le Thanalan oriental. Accourez sur le lieu de l'exécution avant que le bourreau ne tue Aldis<Indent/>!"
5,"TEXT_CLSGLA300_00265_SEQ_05","L'exécution d'Aldis a servi à attirer Leavold hors de sa cachette, et les deux champions se sont lancés dans un duel acharné. Alors qu'ils croisaient le fer, vos compagnons de guilde et vous-même avez combattu les hommes des Alacrán. Après avoir vaincu ces bandits, vous avez vu Aldis désarmer Leavold, mais ce dernier a préféré se tuer plutôt que de se rendre à son rival. Retournez à la guilde des gladiateurs pour faire le point sur les récents événements."
6,"TEXT_CLSGLA300_00265_SEQ_06","Ayant finalement mis un terme aux exactions de Leavold, Aldis a décidé de s'éloigner de nouveau d'Ul'dah. Avant de partir, il vous enseigne Riposte du bouclier, une technique avancée qui lui a beaucoup servi dans le Colisée. Il vous a expliqué l'avoir notamment utilisée pour vaincre Leavold lors de son dernier combat dans l'arène, il y a sept ans, ce qui fut le point de départ des événements qui ont déchiré ces deux hommes et la femme qu'il aimait. Malgré le chagrin que lui cause le nouveau départ d'Aldis, Mylla a rassemblé ses gladiateurs et leur a déclaré qu'ils avaient tous le potentiel pour devenir des champions."
7,"TEXT_CLSGLA300_00265_SEQ_07",""
