key,0,1
#,,
int32,str,str
0,"TEXT_SUBFST071_00221_SEQ_00","Qina Lyehga, la mandante de la hutte des Hawthorne, recherche des aventuriers prêts à accomplir des mandats de guilde."
1,"TEXT_SUBFST071_00221_SEQ_01","Avant de leur donner plus de travail, Qina Lyehga exige des volontaires qu'ils accomplissent un mandat d'essai, “Escorte<Indent/>: en route pour Le Refuge”, afin d'évaluer leurs compétences. À vous de lui montrer de quoi vous êtes capable."
2,"TEXT_SUBFST071_00221_SEQ_02","Vous avez accompli le mandat que vous avait confié Qina Lyehga. Allez lui faire votre rapport à la hutte des Hawthorne."
3,"TEXT_SUBFST071_00221_SEQ_03","Qina Lyehga a reconnu votre potentiel. Elle vous proposera désormais des mandats de guilde lorsque vous viendrez lui adresser la parole à la hutte des Hawthorne."
4,"TEXT_SUBFST071_00221_SEQ_04",""
5,"TEXT_SUBFST071_00221_SEQ_05",""
6,"TEXT_SUBFST071_00221_SEQ_06",""
7,"TEXT_SUBFST071_00221_SEQ_07",""
8,"TEXT_SUBFST071_00221_SEQ_08",""
9,"TEXT_SUBFST071_00221_SEQ_09",""
10,"TEXT_SUBFST071_00221_SEQ_10",""
11,"TEXT_SUBFST071_00221_SEQ_11",""
12,"TEXT_SUBFST071_00221_SEQ_12",""
13,"TEXT_SUBFST071_00221_SEQ_13",""
14,"TEXT_SUBFST071_00221_SEQ_14",""
15,"TEXT_SUBFST071_00221_SEQ_15",""
16,"TEXT_SUBFST071_00221_SEQ_16",""
17,"TEXT_SUBFST071_00221_SEQ_17",""
18,"TEXT_SUBFST071_00221_SEQ_18",""
19,"TEXT_SUBFST071_00221_SEQ_19",""
20,"TEXT_SUBFST071_00221_SEQ_20",""
21,"TEXT_SUBFST071_00221_SEQ_21",""
22,"TEXT_SUBFST071_00221_SEQ_22",""
23,"TEXT_SUBFST071_00221_SEQ_23",""
24,"TEXT_SUBFST071_00221_TODO_00","Accomplir le mandat “Escorte<Indent/>: en route pour Le Refuge”"
25,"TEXT_SUBFST071_00221_TODO_01","Faire votre rapport à Qina Lyehga"
26,"TEXT_SUBFST071_00221_TODO_02",""
27,"TEXT_SUBFST071_00221_TODO_03",""
28,"TEXT_SUBFST071_00221_TODO_04",""
29,"TEXT_SUBFST071_00221_TODO_05",""
30,"TEXT_SUBFST071_00221_TODO_06",""
31,"TEXT_SUBFST071_00221_TODO_07",""
32,"TEXT_SUBFST071_00221_TODO_08",""
33,"TEXT_SUBFST071_00221_TODO_09",""
34,"TEXT_SUBFST071_00221_TODO_10",""
35,"TEXT_SUBFST071_00221_TODO_11",""
36,"TEXT_SUBFST071_00221_TODO_12",""
37,"TEXT_SUBFST071_00221_TODO_13",""
38,"TEXT_SUBFST071_00221_TODO_14",""
39,"TEXT_SUBFST071_00221_TODO_15",""
40,"TEXT_SUBFST071_00221_TODO_16",""
41,"TEXT_SUBFST071_00221_TODO_17",""
42,"TEXT_SUBFST071_00221_TODO_18",""
43,"TEXT_SUBFST071_00221_TODO_19",""
44,"TEXT_SUBFST071_00221_TODO_20",""
45,"TEXT_SUBFST071_00221_TODO_21",""
46,"TEXT_SUBFST071_00221_TODO_22",""
47,"TEXT_SUBFST071_00221_TODO_23",""
48,"TEXT_SUBFST071_00221_QINALYEHGA_000_1","<If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>Bonsoirrr<Else/>Bonjourrr</If><Else/><If(LessThan(PlayerParameter(11),17))>Bonjourrr<Else/>Bonsoirrr</If></If>, <If(PlayerParameter(4))>aventurière<Else/>aventurier</If>. Si c'est du travail que vous cherchez, vous êtes au bon endroit. Je suis Qina Lyehga, mandante pour la guilde des aventuriers."
49,"TEXT_SUBFST071_00221_QINALYEHGA_000_2","Je peux vous proposer les mandats des environs. Cerrrtains vous demanderont d'abattre des créatures, d'autres vous enverront effectuer des livraisons."
50,"TEXT_SUBFST071_00221_QINALYEHGA_000_3","Mais il va d'abord falloir que j'évalue vos compétences. Beaucoup de ces mandats sont très dangerrreux, voyez-vous<Indent/>?"
51,"TEXT_SUBFST071_00221_QINALYEHGA_000_4","Je vais vous confier un mandat. Commencez donc par l'accomplirrr et on pourra en reparler."
52,"TEXT_SUBFST071_00221_QINALYEHGA_000_5","Je vous conseille d'<Emphasis>inviter</Emphasis> le Sylphe d'un signe de la main pour le faire venir à vous. Je vous souhaite bon courage<Indent/>!"
53,"TEXT_SUBFST071_00221_SYSTEM_000_6","L'emote “Inviter” vous permet de faire un signe pour attirer un personnage vers vous. Vous pouvez l'intégrer à la barre de raccourcis pour rendre son utilisation plus pratique."
54,"TEXT_SUBFST071_00221_QINALYEHGA_000_10","Ne le faites qu'une fois fin <If(PlayerParameter(4))>prrrête<Else/>prrrêt</If> et menez à bien votre mission."
55,"TEXT_SUBFST071_00221_QINALYEHGA_000_15","Vous avez bien travaillé. Voilà donc votre rrrécompense."
56,"TEXT_SUBFST071_00221_QINALYEHGA_000_20","Vous avez commencé ce mandat à ce que je vois. Je suis certaine qu'il ne vous causerrra aucune difficulté."
57,"TEXT_SUBFST071_00221_QINALYEHGA_000_25","Votre dévouement à la tâche est exemplairrre<Indent/>! Je sais maintenant que je peux vous faire confiance."
58,"TEXT_SUBFST071_00221_QINALYEHGA_000_26","Avec ces mains agiles et cette tête bien rrremplie, pas de doute, mes mandats de guilde ne vous poseront aucun problème<Indent/>!"
59,"TEXT_SUBFST071_00221_QINALYEHGA_000_30","Que la chance vous accompagne."
