key,0,1
#,,
int32,str,str
0,"TEXT_SUBSEA116_00413_SEQ_00","Ahtbyrm aimerait vous présenter à la chef des gardes du chantier naval de Moraby."
1,"TEXT_SUBSEA116_00413_SEQ_01","Satisfait de la façon dont vous avez aidé les gens sur le chantier naval jusqu'à présent, Ahtbyrm a décidé de vous recommander auprès de Ghimthota, la chef des gardes."
2,"TEXT_SUBSEA116_00413_SEQ_02","Ghimthota vous a confié la tâche d'enquêter sur des pirates qui traînent près du chantier naval. Allez à la porte de derrière demander à C'nangho des in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions sur l'endroit où ils se trouvent."
3,"TEXT_SUBSEA116_00413_SEQ_03","Cherchez les pirates louches qui se trouvent aux alentours de la pierre de Nymeia et parlez-leur."
4,"TEXT_SUBSEA116_00413_SEQ_04","Le chef des pirates vous a expliqué projeter de récupérer son fils, qui se trouverait au chantier naval de Moraby. Allez faire un rapport à Ghimthota."
5,"TEXT_SUBSEA116_00413_SEQ_05","Préoccupée par le fait que les pirates chercheraient à enlever quelqu'un du chantier, Ghimthota a décidé d'augmenter les patrouilles. L'identité du fils du chef pirate reste toutefois mystérieuse..."
6,"TEXT_SUBSEA116_00413_SEQ_06",""
7,"TEXT_SUBSEA116_00413_SEQ_07",""
8,"TEXT_SUBSEA116_00413_SEQ_08",""
9,"TEXT_SUBSEA116_00413_SEQ_09",""
10,"TEXT_SUBSEA116_00413_SEQ_10",""
11,"TEXT_SUBSEA116_00413_SEQ_11",""
12,"TEXT_SUBSEA116_00413_SEQ_12",""
13,"TEXT_SUBSEA116_00413_SEQ_13",""
14,"TEXT_SUBSEA116_00413_SEQ_14",""
15,"TEXT_SUBSEA116_00413_SEQ_15",""
16,"TEXT_SUBSEA116_00413_SEQ_16",""
17,"TEXT_SUBSEA116_00413_SEQ_17",""
18,"TEXT_SUBSEA116_00413_SEQ_18",""
19,"TEXT_SUBSEA116_00413_SEQ_19",""
20,"TEXT_SUBSEA116_00413_SEQ_20",""
21,"TEXT_SUBSEA116_00413_SEQ_21",""
22,"TEXT_SUBSEA116_00413_SEQ_22",""
23,"TEXT_SUBSEA116_00413_SEQ_23",""
24,"TEXT_SUBSEA116_00413_TODO_00","Parler à Ghimthota"
