key,0,1
#,,
int32,str,str
0,"TEXT_CLSWVR300_00593_SEQ_00","Redolent Rose semble au bord de la crise de nerf."
1,"TEXT_CLSWVR300_00593_SEQ_01","Wawarukka, un bon client de la guilde, a besoin non pas de vêtements de travail, mais d'une élégante paire de guêtres, et le maître vous demande d'honorer la commande. Allez voir Wawarukka près de la guilde des mineurs pour en savoir plus."
2,"TEXT_CLSWVR300_00593_SEQ_02","Il s'avère que Wawarukka voulait des nouvelles guêtres pour impressionner la jeune Kokomo, dont il est tombé éperdument amoureux. Confectionnez-lui <SheetFr(ItemHQ,1,3823,1,1)/> dans l'espoir que sa déclaration soit bien accueillie<Indent/>! Une fois l'objet terminé, apportez-le au maître."
3,"TEXT_CLSWVR300_00593_SEQ_03","Wawarukka était ravi <SheetFr(ItemHQ,9,3823,1,1)/> que vous avez con<SoftHyphen/>fec<SoftHyphen/>tion<SoftHyphen/>née. Hélas, le reste de sa tenue n'était pas tout à fait au point, au désespoir de maître Redolent Rose. L'élue de son cœur répondra-t-elle favorablement à sa déclaration<Indent/>?
* Redolent Rose propose la prochaine quête aux couturiers de niveau 35."
4,"TEXT_CLSWVR300_00593_SEQ_04",""
5,"TEXT_CLSWVR300_00593_SEQ_05",""
6,"TEXT_CLSWVR300_00593_SEQ_06",""
7,"TEXT_CLSWVR300_00593_SEQ_07",""
8,"TEXT_CLSWVR300_00593_SEQ_08",""
9,"TEXT_CLSWVR300_00593_SEQ_09",""
10,"TEXT_CLSWVR300_00593_SEQ_10",""
11,"TEXT_CLSWVR300_00593_SEQ_11",""
12,"TEXT_CLSWVR300_00593_SEQ_12",""
13,"TEXT_CLSWVR300_00593_SEQ_13",""
14,"TEXT_CLSWVR300_00593_SEQ_14",""
15,"TEXT_CLSWVR300_00593_SEQ_15",""
16,"TEXT_CLSWVR300_00593_SEQ_16",""
17,"TEXT_CLSWVR300_00593_SEQ_17",""
18,"TEXT_CLSWVR300_00593_SEQ_18",""
19,"TEXT_CLSWVR300_00593_SEQ_19",""
20,"TEXT_CLSWVR300_00593_SEQ_20",""
21,"TEXT_CLSWVR300_00593_SEQ_21",""
22,"TEXT_CLSWVR300_00593_SEQ_22",""
23,"TEXT_CLSWVR300_00593_SEQ_23",""
