key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSA107_00721_SEQ_00","Laxio a besoin d'aide pour éliminer des djiggas."
1,"TEXT_GAIUSA107_00721_SEQ_01","Laxio explique que lui et les siens se font harceler par des <SheetFr(BNpcName,12,587,2,1)/> à chaque fois qu'ils s'aventurent hors du Refuge pour prendre le soleil. Il a demandé à deux de ses congénères de servir d'appât afin que vous puissiez les exterminer."
2,"TEXT_GAIUSA107_00721_SEQ_02","Vous êtes venu<If(PlayerParameter(4))>e<Else/></If> à bout des <SheetFr(BNpcName,12,587,2,1)/>. Retournez faire votre rapport à Laxio, au Refuge."
3,"TEXT_GAIUSA107_00721_SEQ_03","De retour au Refuge, vous apprenez que les Sylphes tombent malades s'ils ne s'exposent pas ré<SoftHyphen/>gu<SoftHyphen/>liè<SoftHyphen/>re<SoftHyphen/>ment à la lumière du soleil. Grâce à vous, ils peuvent désormais satisfaire ce besoin vital sans être tourmentés par les djiggas."
4,"TEXT_GAIUSA107_00721_SEQ_04",""
5,"TEXT_GAIUSA107_00721_SEQ_05",""
6,"TEXT_GAIUSA107_00721_SEQ_06",""
7,"TEXT_GAIUSA107_00721_SEQ_07",""
8,"TEXT_GAIUSA107_00721_SEQ_08",""
9,"TEXT_GAIUSA107_00721_SEQ_09",""
10,"TEXT_GAIUSA107_00721_SEQ_10",""
11,"TEXT_GAIUSA107_00721_SEQ_11",""
12,"TEXT_GAIUSA107_00721_SEQ_12",""
13,"TEXT_GAIUSA107_00721_SEQ_13",""
14,"TEXT_GAIUSA107_00721_SEQ_14",""
15,"TEXT_GAIUSA107_00721_SEQ_15",""
16,"TEXT_GAIUSA107_00721_SEQ_16",""
17,"TEXT_GAIUSA107_00721_SEQ_17",""
18,"TEXT_GAIUSA107_00721_SEQ_18",""
19,"TEXT_GAIUSA107_00721_SEQ_19",""
20,"TEXT_GAIUSA107_00721_SEQ_20",""
21,"TEXT_GAIUSA107_00721_SEQ_21",""
22,"TEXT_GAIUSA107_00721_SEQ_22",""
23,"TEXT_GAIUSA107_00721_SEQ_23",""
24,"TEXT_GAIUSA107_00721_TODO_00","Attendre à l'endroit spécifié"
25,"TEXT_GAIUSA107_00721_TODO_01","Faire un rapport à Laxio"
26,"TEXT_GAIUSA107_00721_TODO_02",""
27,"TEXT_GAIUSA107_00721_TODO_03",""
28,"TEXT_GAIUSA107_00721_TODO_04",""
29,"TEXT_GAIUSA107_00721_TODO_05",""
30,"TEXT_GAIUSA107_00721_TODO_06",""
31,"TEXT_GAIUSA107_00721_TODO_07",""
32,"TEXT_GAIUSA107_00721_TODO_08",""
33,"TEXT_GAIUSA107_00721_TODO_09",""
34,"TEXT_GAIUSA107_00721_TODO_10",""
35,"TEXT_GAIUSA107_00721_TODO_11",""
36,"TEXT_GAIUSA107_00721_TODO_12",""
37,"TEXT_GAIUSA107_00721_TODO_13",""
38,"TEXT_GAIUSA107_00721_TODO_14",""
39,"TEXT_GAIUSA107_00721_TODO_15",""
40,"TEXT_GAIUSA107_00721_TODO_16",""
41,"TEXT_GAIUSA107_00721_TODO_17",""
42,"TEXT_GAIUSA107_00721_TODO_18",""
43,"TEXT_GAIUSA107_00721_TODO_19",""
44,"TEXT_GAIUSA107_00721_TODO_20",""
45,"TEXT_GAIUSA107_00721_TODO_21",""
46,"TEXT_GAIUSA107_00721_TODO_22",""
47,"TEXT_GAIUSA107_00721_TODO_23",""
48,"TEXT_GAIUSA107_00721_LAXIO_000_000","Il faut voler à notre secours !
Dites-moi que vous êtes pour !"
49,"TEXT_GAIUSA107_00721_LAXIO_000_001","De viles créatures nommées <SheetFr(BNpcName,12,587,2,1)/> nous causent du tracas<Indent/>!
Elles nous harcèlent sans arrêt, quand nous allons dans la forêt, là-bas<Indent/>!"
50,"TEXT_GAIUSA107_00721_LAXIO_000_002","Deux de mes compagnons sont partis attirer les créatures.
Attendez près d'eux que les importuns s'approchent et gare à leurs piqûres<Indent/>!"
51,"TEXT_GAIUSA107_00721_LAXIO_000_005","待機＆討伐仮"
52,"TEXT_GAIUSA107_00721_LAXIO_000_010","Nous avons besoin de la lumière du soleil pour notre survie.
Sans elle, nous tombons malades et c'est le début de notre agonie."
53,"TEXT_GAIUSA107_00721_LAXIO_000_011","Grâce à vous, nous pouvons à nouveau prendre des bains de soleil.
Laissez-moi vous récompenser de quelques merveilles !"
54,"TEXT_GAIUSA107_00721_POP_MESSAGE_000","Vous ressentez une présence hostile<Indent/>!"
